SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,2977 Alexandria Wellington Rd,Alexandria,AL,36250,289900,3,3.5,,,88862,1978,4,Garage,58,Active,,,,2016-03-21,299000,,,http://www.redfin.com/AL/Alexandria/2977-Alexandria-Wellington-Rd-36250/home/80657636,Greater Alabama MLS,738830,Keller Williams Realty Group,N,Y,33.7823,-85.8828,false
MLS Listing,Mobile/Manufactured Home,3435 Gladden Ln,Alexandria,AL,36250,149900,4,2.0,,,257004,2002,0,,7,Active,,,,,149900,,,http://www.redfin.com/AL/Alexandria/3435-Gladden-Ln-W-36250/home/80657803,Greater Alabama MLS,743913,ERA King Real Estate,N,Y,33.77,-85.9021,false
MLS Listing,Single Family Residential,250 E Glen Dr,Alexandria,AL,36250,76500,3,2.0,East Glen,,64904,1985,2,Garage,74,Active,,,,2016-01-20,80000,,,http://www.redfin.com/AL/Alexandria/250-W-Glen-Dr-36250/home/104086552,Greater Alabama MLS,737460,Keller Williams Realty Group,N,Y,33.7613,-85.8605,false
MLS Listing,Single Family Residential,935 Jones Rd,Ohatchee,AL,36250,239000,3,2.5,Alexandria,,115434,1990,2,Garage,2,Active,,,,,239000,,,http://www.redfin.com/AL/Alexandria/935-Jones-Rd-36250/home/101748637,Greater Alabama MLS,744393,Advantage Properties,N,Y,33.7665,-85.8951,false
MLS Listing,Single Family Residential,603 Lynnwood Ln,Alexandria,AL,36250,150000,3,3.0,Westwood,,18730,1989,2,Garage,145,Active,,,,2016-02-01,169900,,,http://www.redfin.com/AL/Alexandria/603-Lynnwood-Dr-36250/home/101751671,Greater Alabama MLS,731883,Keller Williams Realty Group,N,Y,33.7479,-85.858,false
MLS Listing,Single Family Residential,125 W Manor Ln,Alexandria,AL,36250,179900,3,2.0,West,,21344,1998,4,Garage,42,Active,,,,,179900,,,http://www.redfin.com/AL/Alexandria/125-W-Manor-Ln-36250/home/101751568,Greater Alabama MLS,740389,Keller Williams Realty Group,N,Y,33.7664,-85.8617,false
MLS Listing,Single Family Residential,150 Hammonds Dr,Alexandria,AL,36250,99900,4,2.5,Sun Valley,,15245,1981,0,,9,Active,,,,,99900,2015-05-14,86900.0,http://www.redfin.com/AL/Alexandria/150-Hammonds-Dr-36250/home/80660004,Greater Alabama MLS,743592,Keller Williams Realty Group,N,Y,33.7521997,-85.8719263,false
MLS Listing,Single Family Residential,254 Post Oak Rd,Alexandria,AL,36250,259900,4,2.5,,,23958,2009,2,Garage,9,Active,,,,,259900,,,http://www.redfin.com/AL/Alexandria/254-Post-Oak-Rd-36250/home/104200600,Greater Alabama MLS,743612,Keller Williams Realty Group,N,Y,33.7832082,-85.8860379,false
MLS Listing,Single Family Residential,241 Halls Chapel Rd,Alexandria,AL,36250,99000,3,1.0,,,392040,1939,2,,145,Active,,,,2016-03-07,109000,,,http://www.redfin.com/AL/Alexandria/241-Halls-Chapel-Rd-36250/home/80660479,Greater Alabama MLS,632333,Billy Isom Realty,N,Y,33.7409,-85.8781,false
MLS Listing,Single Family Residential,904 Lankford Ln,Alexandria,AL,36250,299900,5,3.5,,,57063,2005,2,Garage,145,Active,,,,,299900,,,http://www.redfin.com/AL/Alexandria/904-Lankford-Ln-36250/home/101748914,Greater Alabama MLS,722560,Gold Star Realty-Oxford,N,Y,33.7792,-85.9076,false
