SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,4624 Saks Rd,Anniston,AL,36206,27900,2,1.0,Hillcrest Heights,,11761,1945,0,,132,Active,,,,,27900,,,http://www.redfin.com/AL/Anniston/4624-Saks-Rd-36206/home/101852828,Greater Alabama MLS,733905,Keller Williams Realty Group,N,Y,33.7054,-85.8395,false
MLS Listing,Vacant Land,386 Belair Rd #8,Anniston,AL,36205,26500,,,Summerall,,30491,,0,,145,Active,,,,2015-12-15,29500,,,http://www.redfin.com/AL/Anniston/386-Belair-Rd-36205/unit-8/home/101764623,Greater Alabama MLS,723148,ERA King - Lincoln,N,Y,33.7078363448381,-85.8160241693258,false
MLS Listing,Vacant Land,337 Belair Rd #3,Anniston,AL,36205,26500,,,Summerall,,28314,,0,,145,Active,,,,2015-12-15,29500,,,http://www.redfin.com/AL/Anniston/337-Belair-Rd-36205/unit-3/home/101764620,Greater Alabama MLS,723112,ERA King - Lincoln,N,Y,33.7074883282185,-85.8157371729612,false
MLS Listing,Vacant Land,401 Belair Rd #1,Anniston,AL,36205,26500,,,Summerall,,25264,,0,,145,Active,,,,2015-12-15,29500,,,http://www.redfin.com/AL/Anniston/401-Belair-Rd-36205/unit-1/home/101764622,Greater Alabama MLS,723114,ERA King - Lincoln,N,Y,33.7078497558832,-85.8161991834641,false
MLS Listing,Single Family Residential,812 Blue Ridge Dr,Anniston,AL,36207,19000,2,1.0,Woodland Heights,,9583,1950,0,,91,Active,,,,,19000,,,http://www.redfin.com/AL/Anniston/812-Blue-Ridge-Dr-36207/home/80666840,Greater Alabama MLS,736411,Century 21 Harris McKay,N,Y,33.6723,-85.8178,false
MLS Listing,Vacant Land,96 Coxwell Ave #150,Anniston,AL,36205,10000,,,Cane Creek,,19602,,0,,145,Active,,,,,10000,,,http://www.redfin.com/AL/Anniston/96-Coxwell-Ave-36205/unit-150/home/101763758,Greater Alabama MLS,479966,Keller Williams Realty Group,N,Y,33.713939666748,-85.8036880493164,false
MLS Listing,Vacant Land,44 Coxwell Ave #152,Anniston,AL,36205,10000,,,Cane Creek,,30491,,0,,145,Active,,,,,10000,,,http://www.redfin.com/AL/Anniston/44-Coxwell-Ave-36205/unit-152/home/101763759,Greater Alabama MLS,479967,Keller Williams Realty Group,N,Y,33.713939666748,-85.8036880493164,false
MLS Listing,Vacant Land,14 Coxwell Ave #153,Anniston,AL,36205,10000,,,Cane Creek,,35283,,0,,145,Active,,,,,10000,,,http://www.redfin.com/AL/Anniston/14-Coxwell-Ave-36205/unit-153/home/101763760,Greater Alabama MLS,479968,Keller Williams Realty Group,N,Y,33.713939666748,-85.8036880493164,false
MLS Listing,Vacant Land,74 Coxwell Ave #151,Anniston,AL,36205,10000,,,Cane Creek,,19602,,0,,145,Active,,,,,10000,,,http://www.redfin.com/AL/Anniston/74-Coxwell-Ave-36205/unit-151/home/101765821,Greater Alabama MLS,499947,Keller Williams Realty Group,N,Y,33.713939666748,-85.8036880493164,false
MLS Listing,Vacant Land,1537 Littlebrant Rd #23,Anniston,AL,36205,26500,,,Summerall,,28314,,0,,145,Active,,,,2015-12-15,29500,,,http://www.redfin.com/AL/Anniston/1537-Littlebrant-Dr-36205/unit-23/home/101763478,Greater Alabama MLS,723088,ERA King - Lincoln,N,Y,33.7107438594103,-85.8158504962921,false
