SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,4000 4th Ave #16,Bessemer,AL,35020,6400,,,Bessemer/Hueytown/PleasantGrove,,87120,,0,,129,Active,,,,,6400,,,http://www.redfin.com/AL/Brighton/4000-4th-Ave-35020/unit-16/home/102006998,Greater Alabama MLS,734101,Southern Advantage Real Estate,N,Y,33.438559,-86.948227,false
MLS Listing,Vacant Land,3806 Sharon Ln #0,Bessemer,AL,35023,5000,,,,,32670,,0,,145,Active,,,,2015-11-17,7500,,,http://www.redfin.com/AL/Bessemer/3806-Sharon-Ln-35023/unit-0/home/101762579,Greater Alabama MLS,634035,"Great Western Realty, Inc.",N,Y,33.438233,-87.00185,false
MLS Listing,Vacant Land,40 Shady Trl S #408,Bessemer,AL,35022,37500,,,Timberlake,,39204,,0,,145,Active,,,,,37500,,,http://www.redfin.com/AL/Bessemer/40-Shade-ST-35020/unit-408/home/101762556,Greater Alabama MLS,627752,"Canterbury Realty Group, LLC",N,Y,33.3791053,-86.9635651,false
MLS Listing,Vacant Land,622 Carter Ave Unit 0.87 AC,Bessemer,AL,35020,12900,,,Raimund Village,,130,,0,,91,Active,,,,,12900,,,http://www.redfin.com/AL/Bessemer/622-Carter-Ave-35020/unit-087-AC/home/102290656,Greater Alabama MLS,736414,Weaver Land & Realty Inc.,N,Y,33.365922,-86.961415,false
MLS Listing,Vacant Land,4774 Lacey Chapel Loop Rd #4774,Bessemer,AL,35022,25000,,,Bessemer/Hueytown/PleasantGrove,,17424,,0,,84,Active,,,,,25000,,,http://www.redfin.com/AL/Bessemer/4774-Laceys-Chapel-Loop-Rd-35022/unit-4774/home/102356482,Greater Alabama MLS,736598,Luxury South Realty,N,Y,33.368611,-86.919863,false
MLS Listing,Vacant Land,112 Hazel Dr #1,Bessemer,AL,35023,5000,,,Bessemer/Hueytown/PleasantGrove,,14810,,0,,145,Active,,,,,5000,,,http://www.redfin.com/AL/Bessemer/112-Hazel-Dr-35023/unit-1/home/101766650,Greater Alabama MLS,727958,"Great Western Realty, Inc.",N,Y,33.448352,-87.016694,false
MLS Listing,Single Family Residential,1710 Arlington Ave,Bessemer,AL,35020,29900,3,2.0,Bessemer,,8276,2003,0,,85,Active,,,,,29900,,,http://www.redfin.com/AL/Bessemer/1710-Arlington-Ave-35020/home/81014745,Greater Alabama MLS,736542,Realty Consultants,N,Y,33.398446,-86.950906,false
MLS Listing,Single Family Residential,5616 Park Side Rd,Hoover,AL,35244,264900,3,2.5,Lake Cyrus,,,2016,2,Garage,85,Active,,,,,264900,,,http://www.redfin.com/AL/Birmingham/5616-Park-Side-Rd-35244/home/102334668,Greater Alabama MLS,736549,RealtySouth-Bldr & Developer,N,Y,33.3477948,-86.8942715,false
MLS Listing,Single Family Residential,5612 Park Side Rd,Hoover,AL,35244,224900,3,2.0,Lake Cyrus,,,2016,2,Garage,85,Active,,,,,224900,,,http://www.redfin.com/AL/Birmingham/5612-Park-Side-Rd-35244/home/102335926,Greater Alabama MLS,736554,RealtySouth-Bldr & Developer,N,Y,33.3477948,-86.8942715,false
MLS Listing,Vacant Land,3292 Hilltop Rd SE #1,Bessemer,AL,35022,32900,,,Greenwood,,82764,,0,,145,Active,,,,2015-12-31,35000,,,http://www.redfin.com/AL/Bessemer/3292-Hilltop-Rd-SE-35022/unit-1/home/101763249,Greater Alabama MLS,632217,RealtySouth-I459 Southwest,N,Y,33.346859,-86.90136,false
