SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,August Dr Unit 41.8,Columbiana,AL,35051,115000,,,Columbiana/Westover/Wilsonville,,1820807,,0,,87,Active,,,,,115000,,,http://www.redfin.com/AL/Columbiana/418-August-Rd-35051/unit-418/home/102301406,Greater Alabama MLS,736467,RealtySouth-Shelby Office,N,Y,33.1486592,-86.6460893,false
MLS Listing,Vacant Land,210 Briarwood Dr #3,Columbiana,AL,35051,29900,,,Hidden Springs,,23086,,0,,145,Active,,,,,29900,,,http://www.redfin.com/AL/Columbiana/210-Briarwood-DR-35051/unit-3/home/101764768,Greater Alabama MLS,601468,"Ellis Properties, Inc.",N,Y,33.173836,-86.5972487,false
MLS Listing,Vacant Land,206 Lee Dr #0,Columbiana,AL,35051,54900,,,,,52272,,0,,145,Active,,,,,54900,,,http://www.redfin.com/AL/Columbiana/206-Hub-Lee-RD-35051/unit-0/home/101764857,Greater Alabama MLS,633863,Down South Realty Inc,N,Y,33.1868798,-86.6131377,false
MLS Listing,Vacant Land,Mooney Rd Unit 2 LOTS,Columbiana,AL,35051,18000,,,,,,,0,,145,Active,,,,,18000,,,http://www.redfin.com/AL/Columbiana/Mooney-Rd-35051/unit-2-LOTS/home/101764262,Greater Alabama MLS,568463,Down South Realty Inc,N,Y,33.159774,-86.58603,false
MLS Listing,Single Family Residential,128 Phillips Cir,Columbiana,AL,35051,87700,2,1.0,Columbiana,,13939,1959,0,,145,Active,,,,,87700,2015-04-29,35000.0,http://www.redfin.com/AL/Columbiana/128-Phillips-Cir-35051/home/80756650,Greater Alabama MLS,723118,Down South Realty Inc,N,Y,33.179927,-86.61828,false
MLS Listing,Vacant Land,108 Carter Ln Unit 0.22 AC,Columbiana,AL,35051,19500,,,,,,,0,,134,Active,,,,,19500,,,http://www.redfin.com/AL/Columbiana/108-Carter-Ln-35051/unit-022AC/home/101839091,Greater Alabama MLS,733760,RE/MAX Advantage,N,Y,33.1800687,-86.6056378,false
MLS Listing,Single Family Residential,1181 W,Columbiana,AL,35051,174000,3,2.0,,,152460,1955,3,,145,Active,,,,,174000,,,http://www.redfin.com/AL/Columbiana/1181-Alabama-Ave-35051/home/101751137,Greater Alabama MLS,730399,Down South Realty Inc,N,Y,33.1652717590332,-86.6223907470703,false
MLS Listing,Single Family Residential,220 Billy Wayne Acres,Columbiana,AL,35051,569000,3,2.0,,,3245220,1986,4,Garage,145,Active,,,,,569000,,,http://www.redfin.com/AL/Columbiana/220-Billy-Wayne-Acres-35051/home/80707905,Greater Alabama MLS,631653,RE/MAX Southern Homes-280,N,Y,33.194419,-86.648317,false
MLS Listing,Single Family Residential,102 Donaldson Rd,Columbiana,AL,35051,118000,4,2.0,,,63162,1985,1,,145,Active,,,,,118000,,,http://www.redfin.com/AL/Columbiana/102-Donaldson-Rd-35051/home/80761532,Greater Alabama MLS,626594,"Realty Source, LLC",N,Y,33.150166,-86.655711,false
MLS Listing,Single Family Residential,70 Golden Rd,Columbiana,AL,35051,169900,3,3.0,,,260924,1993,1,,145,Active,,,,,169900,,,http://www.redfin.com/AL/Columbiana/70-Golden-Rd-35051/home/101751302,Greater Alabama MLS,590241,Down South Realty Inc,N,Y,33.1606094,-86.6569552,false
