SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,2105 Ridgebrook Rd #66,Fultondale,AL,35068,24900,,,Fultondale/Gardendale/MtOlive,,30491,,0,,99,Active,,,,,24900,,,http://www.redfin.com/AL/Fultondale/2105-Ridgebrook-Rd-35068/unit-66/home/102269142,Greater Alabama MLS,735982,RE/MAX Northern Properties,N,Y,33.617287,-86.812869,false
MLS Listing,Single Family Residential,3621 Burlington Dr,Fultondale,AL,35068,245535,5,3.5,Black Creek Station,,,2015,2,Garage,92,Active,,,,,245535,,,http://www.redfin.com/AL/Fultondale/3621-Burlington-DR-35068/unit-151/home/101749216,Greater Alabama MLS,736360,"Ingram & Associates, LLC",N,Y,33.6104464,-86.7929513,false
MLS Listing,Single Family Residential,3642 Burlington Dr,Fultondale,AL,35068,259900,4,2.5,Black Creek Station,,,2016,2,Garage,91,Active,,,,,259900,,,http://www.redfin.com/AL/Fultondale/3642-Burlington-Dr-35068/home/102290092,Greater Alabama MLS,736389,"Ingram & Associates, LLC",N,Y,33.610425,-86.7929239,false
MLS Listing,Single Family Residential,3654 Burlington Dr,Fultondale,AL,35068,196000,3,2.0,Black Creek Station,,,2016,2,Garage,92,Active,,,,,196000,,,http://www.redfin.com/AL/Fultondale/3654-Burlington-Dr-35068/home/102288597,Greater Alabama MLS,736349,"Ingram & Associates, LLC",N,Y,33.610425,-86.7929239,false
MLS Listing,Single Family Residential,3626 Grand Central Ave,Fultondale,AL,35068,225000,3,2.0,Black Creek Station,,,2016,2,Garage,81,Active,,,,,225000,,,http://www.redfin.com/AL/Fultondale/3626-Grand-Central-Ave-35068/home/102395789,Greater Alabama MLS,736753,"Ingram & Associates, LLC",N,Y,33.6097272,-86.7921201,false
MLS Listing,Single Family Residential,3018 Moonlight Ln,Fultondale,AL,35068,129900,3,2.0,Fox Hollow,,20473,1978,2,Garage,97,Active,,,,,129900,,,http://www.redfin.com/AL/Fultondale/3018-Moonlight-Ln-35068/home/80875407,Greater Alabama MLS,736139,Keller Williams Metro North,N,Y,33.628679,-86.795666,false
MLS Listing,Single Family Residential,5732 34th St N,Birmingham,AL,35217,82000,3,2.0,Lewisburg Gardens,,87,1958,1,Garage,145,Active,,,,,82000,,,http://www.redfin.com/AL/Birmingham/5732-34th-St-N-35207/home/80898178,Greater Alabama MLS,732255,RE/MAX Northern Properties,N,Y,33.581092,-86.799136,false
MLS Listing,Single Family Residential,3429 Chapel Hill Pkwy #146,Fultondale,AL,35068,299900,5,3.0,Chapel Hills,,,2015,3,Garage,145,Active,,,,,299900,,,http://www.redfin.com/AL/Fultondale/3429-Chapel-Hills-Pkwy-35068/unit-146/home/101748668,Greater Alabama MLS,729893,RE/MAX First Choice,N,Y,33.599622,-86.818038,false
MLS Listing,Single Family Residential,215 Main St,Fultondale,AL,35068,134900,3,2.0,Fultondale,,32670,1954,0,,145,Active,,,,,134900,,,http://www.redfin.com/AL/Fultondale/215-Main-St-35068/home/101749488,Greater Alabama MLS,732132,Keller Williams Metro North,N,Y,33.601899,-86.80006,false
MLS Listing,Vacant Land,817 Park Ln #176,Fultondale,AL,35068,10000,,,Fultondale Estates,,20603,,0,,145,Active,,,,,10000,,,http://www.redfin.com/AL/Fultondale/817-Park-Ln-35068/unit-176/home/101762799,Greater Alabama MLS,633476,Keller Williams Metro North,N,Y,33.603453,-86.788425,false
MLS Listing,Vacant Land,1304 4th Ave #0,Fultondale,AL,35068,9000,,,,,12763,,0,,145,Active,,,,,9000,,,http://www.redfin.com/AL/Fultondale/1304-4th-Ave-35068/unit-0/home/101763611,Greater Alabama MLS,611125,RealtySouth-Northern Office,N,Y,33.603126,-86.802064,false
MLS Listing,Vacant Land,3080 Five Mile Creek Rd #3080,Fultondale,AL,35068,69900,,,Fultondale/Gardendale/MtOlive,,426888,,0,,145,Active,,,,,69900,,,http://www.redfin.com/AL/Fultondale/3080-5-Mile-Creek-Rd-35068/unit-3080/home/101765087,Greater Alabama MLS,724674,RealtySouth-MB-Crestline,N,Y,33.595857,-86.845626,false
MLS Listing,Vacant Land,3230 Chapel Hill Pkwy #429,Fultondale,AL,35068,19900,,,Chapel Hills,,26136,,0,,145,Active,,,,,19900,,,http://www.redfin.com/AL/Fultondale/3230-Chapel-Hills-Pkwy-35068/unit-429/home/101765692,Greater Alabama MLS,621775,"Ingram & Associates, LLC",N,Y,33.592817,-86.830961,false
MLS Listing,Vacant Land,1317 2nd Ave #0,Fultondale,AL,35068,11900,,,Glendale,,17424,,0,,145,Active,,,,,11900,,,http://www.redfin.com/AL/Fultondale/1317-2nd-Ave-35068/unit-0/home/101765908,Greater Alabama MLS,619536,"Harris Doyle Properties, LLC",N,Y,33.601808,-86.802856,false
MLS Listing,Vacant Land,3227 Chapel Hill Pkwy #440,Fultondale,AL,35068,19900,,,Chapel Hills,,13068,,0,,145,Active,,,,,19900,,,http://www.redfin.com/AL/Fultondale/3227-Chapel-Hills-Pkwy-35068/unit-440/home/101765912,Greater Alabama MLS,621781,"Ingram & Associates, LLC",N,Y,33.592389,-86.830153,false
MLS Listing,Vacant Land,3242 Chapel Hill Pkwy #426,Fultondale,AL,35068,19900,,,Chapel Hills,,27007,,0,,145,Active,,,,,19900,,,http://www.redfin.com/AL/Fultondale/3242-Chapel-Hills-Pkwy-35068/unit-426/home/101765911,Greater Alabama MLS,621780,"Ingram & Associates, LLC",N,Y,33.593488,-86.830552,false
MLS Listing,Vacant Land,1329 8th Ave #0,Fultondale,AL,35068,49900,,,Fultondale/Gardendale/MtOlive,,43,,0,,103,Active,,,,,49900,,,http://www.redfin.com/AL/Fultondale/1329-8th-Ave-35068/unit-0/home/102252027,Greater Alabama MLS,735778,Webb & Company Realty,N,Y,33.607248,-86.803199,false
