SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,2360 Salem Rd,Montevallo,AL,35115,320000,2,2.0,Montevallo,,324086,1992,0,,145,Active,,,,2015-12-16,365000,,,http://www.redfin.com/AL/Montevallo/2360-Salem-Rd-35115/home/101748747,Greater Alabama MLS,723770,RE/MAX Advantage South,N,Y,33.14329,-86.854329,false
MLS Listing,Vacant Land,126 Patriot Park #115,Montevallo,AL,35115,25000,,,Heritage Trace,,13503,,0,,145,Active,,,,,25000,,,http://www.redfin.com/AL/Montevallo/126-Patriot-Park-Unknown/unit-115/home/101763244,Greater Alabama MLS,629481,RE/MAX Southern Homes-280,N,Y,33.1392965,-86.8209379,false
MLS Listing,Vacant Land,153 Patriot Park #82,Montevallo,AL,35115,25000,,,Calera/Montevallo/Wilton,,28749,,0,,145,Active,,,,,25000,,,http://www.redfin.com/AL/Montevallo/153-Patriot-Park-Unknown/unit-82/home/101764219,Greater Alabama MLS,732172,RE/MAX Southern Homes-280,N,Y,33.1391470134258,-86.8204215914011,false
MLS Listing,Vacant Land,156 Patriot Park #83,Montevallo,AL,35115,25000,,,Calera/Montevallo/Wilton,,20473,,0,,145,Active,,,,,25000,,,http://www.redfin.com/AL/Montevallo/156-Patriot-Park-Unknown/unit-83/home/101764220,Greater Alabama MLS,732181,RE/MAX Southern Homes-280,N,Y,33.1390450894833,-86.8203786760569,false
MLS Listing,Vacant Land,141 Patriot Park #79,Montevallo,AL,35115,25000,,,Calera/Montevallo/Wilton,,16117,,0,,145,Active,,,,,25000,,,http://www.redfin.com/AL/Montevallo/141-Patriot-Park-Unknown/unit-79/home/101764222,Greater Alabama MLS,732188,RE/MAX Southern Homes-280,N,Y,33.1392496079206,-86.8206341564655,false
MLS Listing,Single Family Residential,270 Ashville Cir,Montevallo,AL,35115,169000,3,2.0,Hubbard & Givhans,,45302,1964,2,,91,Active,,,,,169000,,,http://www.redfin.com/AL/Montevallo/270-Ashville-Cir-35115/home/80759704,Greater Alabama MLS,736386,Keller Williams Metro South,N,Y,33.112413,-86.855274,false
MLS Listing,Single Family Residential,245 Country Ridge Rd,Montevallo,AL,35115,559900,4,2.5,Country Hills,,1085950,2000,2,,145,Active,,,,,559900,,,http://www.redfin.com/AL/Montevallo/245-Country-Ridge-Rd-35115/home/80717497,Greater Alabama MLS,721221,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.159213,-86.8383,false
MLS Listing,Single Family Residential,108 Hidden Trace Ct,Montevallo,AL,35115,159900,3,2.5,Lakes At Hidden Forest,,6098,2007,2,Garage,145,Active,,,,,159900,,,http://www.redfin.com/AL/Montevallo/108-Hidden-Trace-Ct-35115/home/80735087,Greater Alabama MLS,629743,RealtySouth-Shelby Office,N,Y,33.167515,-86.82712,false
MLS Listing,Vacant Land,Spring Creek Rd Unit 30 AC,Montevallo,AL,35115,249000,,,,,1306800,,0,,130,Active,,,,,249000,,,http://www.redfin.com/AL/Montevallo/Spring-Creek-Rd-35115/unit-30-AC/home/102071619,Greater Alabama MLS,734071,RE/MAX First Choice,N,Y,33.110146,-86.831347,false
For-Sale-by-Owner Listing,Single Family Residential,415 Tecumseh St,Montevallo,AL,35115,179900,5,3.0,Montevallo,1700,44867,1991,2,Garage,196,Active,,,,,179900,2008-02-19,150000.0,http://www.redfin.com/AL/Montevallo/415-Tecumseh-St-35115/home/80759822,ForSaleByOwner.com,24004116,ForSaleByOwner.com,N,Y,33.113161,-86.847652,false
MLS Listing,Vacant Land,4 Montevallo Commons Pkwy #4,Montevallo,AL,35115,49900,,,,,28749,,0,,145,Active,,,,,49900,,,http://www.redfin.com/AL/Montevallo/4-Montevallo-Commons-Pkwy-35115/unit-4/home/101764701,Greater Alabama MLS,490797,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.0923004150391,-86.8463668823242,false
MLS Listing,Vacant Land,5 Montevallo Commons Pkwy #5,Montevallo,AL,35115,49900,,,,,25264,,0,,145,Active,,,,,49900,,,http://www.redfin.com/AL/Montevallo/5-Montevallo-Commons-Pkwy-35115/unit-5/home/101764703,Greater Alabama MLS,490799,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.0923004150391,-86.8463668823242,false
MLS Listing,Vacant Land,14 Montevallo Commons Pkwy #14,Montevallo,AL,35115,49900,,,,,33541,,0,,145,Active,,,,,49900,,,http://www.redfin.com/AL/Montevallo/14-Montevallo-Commons-Pkwy-35115/unit-14/home/101765364,Greater Alabama MLS,490804,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.0923004150391,-86.8463668823242,false
MLS Listing,Vacant Land,15 Montevallo Commons Pkwy #15,Montevallo,AL,35115,49900,,,,,29620,,0,,145,Active,,,,,49900,,,http://www.redfin.com/AL/Montevallo/15-Montevallo-Commons-Pkwy-35115/unit-15/home/101765365,Greater Alabama MLS,490807,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.0923004150391,-86.8463668823242,false
MLS Listing,Vacant Land,16 Montevallo Commons Pkwy #16,Montevallo,AL,35115,49900,,,,,38768,,0,,145,Active,,,,,49900,,,http://www.redfin.com/AL/Montevallo/16-Montevallo-Commons-Pkwy-35115/unit-16/home/101765366,Greater Alabama MLS,490808,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.0923004150391,-86.8463668823242,false
MLS Listing,Vacant Land,No Address Provided,Montevallo,AL,35115,390000,,,Calera/Montevallo/Wilton,,871200,,0,,145,Active,,,,,390000,,,http://www.redfin.com/AL/Montevallo/Unknown-35115/unit-1/home/101763350,Greater Alabama MLS,727029,RE/MAX Southern Homes-280,N,Y,33.0934526,-86.8849896,false
MLS Listing,Vacant Land,128 Mountainview Dr Lot 3,Montevallo,AL,35115,109900,,,,,392040,,0,,145,Active,,,,,109900,,,http://www.redfin.com/AL/Montevallo/128-Mountainview-Dr-35115/unit-3/home/101766567,Greater Alabama MLS,615858,RealtySouth-Chilton/Montgomery,N,Y,33.15168,-86.837939,false
MLS Listing,Single Family Residential,177 Heritage Trace Pkwy,Montevallo,AL,35115,309325,5,4.0,Heritage Trace,,,2015,2,Garage,104,Active,,,,,309325,,,http://www.redfin.com/AL/Montevallo/177-Heritage-Trace-PKWY-35115/unit-125/home/101749309,Greater Alabama MLS,735671,RealtySouth-Huntsville-BHM,N,Y,33.1391959,-86.8206756,false
MLS Listing,Single Family Residential,2314 Salem Rd,Montevallo,AL,35115,460000,4,4.5,Montevallo,,431244,1991,2,Garage,145,Active,,,,2015-12-07,870000,2007-11-30,350000.0,http://www.redfin.com/AL/Montevallo/2314-Salem-Rd-35115/home/80759374,Greater Alabama MLS,633046,RE/MAX Advantage South,N,Y,33.1427228,-86.8569243,false
MLS Listing,Single Family Residential,2256 Salem Rd,Montevallo,AL,35115,750000,4,4.5,Montevallo,,541015,2002,2,Garage,110,Active,,,,,750000,,,http://www.redfin.com/AL/Montevallo/2256-Salem-Rd-35115/home/80767010,Greater Alabama MLS,735287,ForSaleByOwner.com Referral Se,N,Y,33.142128,-86.85489,false
MLS Listing,Single Family Residential,125 Coeur D Alene,Montevallo,AL,35115,524900,4,4.5,Indian Cove,,211701,1995,1,Garage,145,Active,,,,,524900,,,http://www.redfin.com/AL/Montevallo/125-Coeur-Dalene-35115/home/80715900,Greater Alabama MLS,723632,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.11478,-86.846913,false
MLS Listing,Single Family Residential,2560,Montevallo,AL,35115,64900,3,1.0,Montevallo,,22215,1935,2,,145,Active,,,,,64900,,,http://www.redfin.com/AL/Montevallo/2560-Montevallo-Rd-35115/home/101748938,Greater Alabama MLS,603567,"Hope Realty, LLC",N,Y,33.1234518,-86.8446932,false
MLS Listing,Vacant Land,108 Heritage Trace Pkwy #186,Montevallo,AL,35115,25000,,,Heritage Trace,,,,0,,145,Active,,,,,25000,,,http://www.redfin.com/AL/Montevallo/108-Heritage-Trace-PKWY-35115/unit-186/home/101763245,Greater Alabama MLS,629482,RE/MAX Southern Homes-280,N,Y,33.1397398,-86.8215151,false
MLS Listing,Single Family Residential,2003 Discovery Dr,Montevallo,AL,35115,179900,4,3.0,Lexington Parc,,,2015,2,Garage,145,Active,,,,,179900,,,http://www.redfin.com/AL/Montevallo/2003-Discovery-DR-35115/unit-141/home/101749156,Greater Alabama MLS,732067,ARC Realty,N,Y,33.1426985,-86.8185295,false
MLS Listing,Single Family Residential,120 Moores Spring Rd,Montevallo,AL,35115,139900,3,2.0,Ammersee Lakes,,6534,2007,2,Garage,145,Active,,,,2016-02-02,144900,2008-04-28,147150.0,http://www.redfin.com/AL/Montevallo/120-Moores-Spring-Rd-35115/home/80735622,Greater Alabama MLS,632097,RE/MAX First Choice,N,Y,33.146913,-86.817644,false
MLS Listing,Single Family Residential,1016 Pilgrim Ln,Montevallo,AL,35115,149900,3,2.0,Lexington Parc,,,2010,2,Garage,50,Active,,,,,149900,,,http://www.redfin.com/AL/Montevallo/1016-Pilgrim-Ln-35115/home/80737965,Greater Alabama MLS,739583,RealtySouth-Chilton/Montgomery,N,Y,33.1431997,-86.821019,false
MLS Listing,Vacant Land,550 Middle St #0,Montevallo,AL,35115,700000,,,,,86684,,0,,145,Active,,,,,700000,,,http://www.redfin.com/AL/Montevallo/550-Middle-ST-35115/unit-0/home/101763723,Greater Alabama MLS,724309,"TEAMMASSEYPROPERTIES, LLC",N,Y,33.0991395,-86.8619434,false
MLS Listing,Single Family Residential,115 Strother St #0,Montevallo,AL,35115,134900,3,2.0,Wilmont,,14810,2009,1,Garage,145,Active,,,,,134900,,,http://www.redfin.com/AL/Montevallo/115-Strother-ST-35115/unit-0/home/101750219,Greater Alabama MLS,731212,LAH - Homewood,N,Y,33.0840226,-86.8758077,false
MLS Listing,Single Family Residential,41 White St,Montevallo,AL,35115,129900,3,2.0,Montevallo,,,1967,2,,37,Active,,,,,129900,,,http://www.redfin.com/AL/Montevallo/41-White-St-35115/home/103831850,Greater Alabama MLS,740798,RE/MAX Advantage South,N,Y,33.0965787,-86.8643669,false
MLS Listing,Townhouse,123 Gardner St,Montevallo,AL,35115,75000,2,1.5,Shaw Villas,,,1991,0,,30,Active,,,,,75000,,,http://www.redfin.com/AL/Montevallo/123-Gardner-St-35115/home/80762738,Greater Alabama MLS,741449,Keller Williams Metro South,N,Y,33.093608,-86.856895,false
MLS Listing,Single Family Residential,112 Hidden Trace Ct,Montevallo,AL,35115,159000,4,2.5,Lakes At Hidden Forest,,,2007,2,Garage,34,Active,,,,,159000,,,http://www.redfin.com/AL/Montevallo/112-Hidden-Trace-Ct-35115/home/80735090,Greater Alabama MLS,741125,Real Estate Practitioners 1,N,Y,33.167651,-86.827124,false
MLS Listing,Single Family Residential,100 Liberty Dr,Montevallo,AL,35115,109000,4,2.5,,,43560,1979,1,Garage,35,Active,,,,,109000,,,http://www.redfin.com/AL/Montevallo/100-Liberty-Dr-35115/home/80759539,Greater Alabama MLS,741010,Bradford Real Estate Group,N,Y,33.11492,-86.880957,false
