SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,743 Mohawk Trl,Ohatchee,AL,36271,225000,4,3.5,,,131986,1996,2,Garage,124,Active,2016-04-12,11:00,13:00,,225000,,,http://www.redfin.com/AL/Ohatchee/743-Mohawk-Trl-36271/home/101749730,Greater Alabama MLS,734459,ERA King Real Estate,N,Y,33.8125,-86.0464,false
MLS Listing,Vacant Land,668 Mohawk Bluff Dr Unit 6A,Ohatchee,AL,36271,45000,,,Mohawk Estates,,46609,,0,,145,Active,,,,,45000,,,http://www.redfin.com/AL/Ohatchee/668-Mohawk-Bluff-DR-36271/unit-6A/home/101765507,Greater Alabama MLS,630685,ERA King Real Estate,N,Y,33.8106625,-86.0606551,false
MLS Listing,Single Family Residential,199 Tomahawk Trl,Ohatchee,AL,36271,119900,4,2.0,,,346302,2004,0,,145,Active,,,,2016-03-18,149900,,,http://www.redfin.com/AL/Ohatchee/199-Tomahawk-Trl-36271/home/101750461,Greater Alabama MLS,732657,AlaHomes Realty,N,Y,33.78,-86.0087999,false
MLS Listing,Single Family Residential,166 Mohawk Trl,Ohatchee,AL,36271,290900,3,5.5,Glasscock,,20037,2008,1,Garage,145,Active,,,,2016-03-21,299900,,,http://www.redfin.com/AL/Ohatchee/166-Mohawk-Trl-36271/home/101749477,Greater Alabama MLS,728956,American Realty Company,N,Y,33.8126,-86.0386,false
MLS Listing,Vacant Land,0 Willow Point Ln #23,Ohatchee,AL,36271,79900,,,Willow Point,,,,0,,145,Active,,,,,79900,,,http://www.redfin.com/AL/Ohatchee/0-Willow-Point-Ln-36271/unit-23/home/101764747,Greater Alabama MLS,580075,Kell Realty,N,Y,33.8287086,-86.045723,false
MLS Listing,Single Family Residential,58 Windward Loop,Ohatchee,AL,36271,269900,3,2.0,Willow Point,,,2015,2,Garage,145,Active,,,,,269900,,,http://www.redfin.com/AL/Ohatchee/58-Windward-Loop-36271/unit-8/home/101749737,Greater Alabama MLS,732200,Kell Realty,N,Y,33.828582012935,-86.0461637312134,false
MLS Listing,Single Family Residential,1500 Mohawk Cliff Rd,Ohatchee,AL,36271,399000,4,3.5,Mohawk Estates,,392040,2009,2,Garage,23,Active,,,,,399000,2003-08-01,55000.0,http://www.redfin.com/AL/Ohatchee/1500-Mohawk-Cliff-Rd-36271/home/80658368,Greater Alabama MLS,742134,Home Realty Company,N,Y,33.8011,-86.0555,false
For-Sale-by-Owner Listing,Vacant Land,Mohawk Bluff Dr (Unable to map),Ohatchee,AL,36271,25000,,,Ohatchee,,60984,,0,,2597,Active,,,,2016-01-18,329000,,,http://www.redfin.com/AL/Ohatchee/Mohawk-Bluff-Dr-36271/home/18902855,ForSaleByOwner.com,21647959,ForSaleByOwner.com,N,Y,,,false
MLS Listing,Single Family Residential,318 Boulder Point Ln,Ohatchee,AL,36271,469900,4,3.0,Mohawk Estates,,20473,2003,2,Garage,43,Active,,,,,469900,,,http://www.redfin.com/AL/Ohatchee/318-Boulder-Point-Ln-36271/home/80658979,Greater Alabama MLS,740239,ERA King Real Estate,N,Y,33.8134,-86.0597,false
MLS Listing,Single Family Residential,1348 Mohawk Cliff Rd,Ohatchee,AL,36271,186900,3,2.5,Mohawk Estates,,41817,2007,2,Garage,35,Active,,,,,186900,,,http://www.redfin.com/AL/Ohatchee/1348-Mohawk-Cliff-Rd-36271/home/103911819,Greater Alabama MLS,740990,ERA King Real Estate,N,Y,33.8016597,-86.0519742,false
