SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,4 Bellerive Cir Lot 137A,Birmingham,AL,35242,238500,,,Shoal Creek,,56628,,0,,145,Active,,,,,238500,,,http://www.redfin.com/AL/Birmingham/4-Bellerive-Cir-35242/unit-137A/home/101762530,Greater Alabama MLS,614493,RE/MAX Southern Homes-280,N,Y,33.8978735,-86.563071,false
MLS Listing,Single Family Residential,1145 St Andrews Pkwy,Oneonta,AL,35121,369000,4,3.5,Limestone Springs,,30491,2000,4,Garage,145,Active,,,,,369000,,,http://www.redfin.com/AL/Oneonta/1145-Saint-Andrews-Pkwy-35121/home/101750175,Greater Alabama MLS,630589,RealtySouth-Oneonta/Blount Co,N,Y,33.891825,-86.565114,false
MLS Listing,Single Family Residential,76 Carnoustie,Oneonta,AL,35121,598750,4,4.5,Limestone Springs,,87120,2004,3,Garage,145,Active,,,,,598750,,,http://www.redfin.com/AL/Oneonta/76-Carnoustie-Ln-35121/home/101751538,Greater Alabama MLS,606226,RE/MAX Southern Homes-280,N,Y,33.903056,-86.55686,false
MLS Listing,Single Family Residential,2635 Sawyer Mountain Rd,Oneonta,AL,35121,344000,3,3.5,,,827640,2001,1,Garage,145,Active,,,,2016-01-21,349000,,,http://www.redfin.com/AL/Oneonta/2635-Sawyer-Mountain-Rd-35121/home/80803488,Greater Alabama MLS,729432,"M & R Realty, LLC",N,Y,33.954286,-86.5386258,false
MLS Listing,Single Family Residential,1510,Oneonta,AL,35121,374900,4,4.5,Straight Mountain,,827640,1988,2,Garage,145,Active,,,,,374900,,,http://www.redfin.com/AL/Oneonta/1510-Alabama-Ave-35121/home/101751917,Greater Alabama MLS,730682,RE/MAX Marketplace,N,Y,33.9483309,-86.4579427,false
MLS Listing,Vacant Land,No Address Provided,Oneonta,AL,35121,103000,,,,,958320,,0,,145,Active,,,,,103000,,,http://www.redfin.com/AL/Oneonta/N-N-Unknown/unit-22-AC/home/101763788,Greater Alabama MLS,585309,RealtySouth-Oneonta/Blount Co,N,Y,33.9380608,-86.4910583,false
For-Sale-by-Owner Listing,Ranch,Contact Owner (Unable to map),Oneonta,AL,,1695000,,,Oneonta,,230,,0,,196,Active,,,,,1695000,,,http://www.redfin.com/AL/Oneonta/Contact-Owner-Unknown/home/97892523,ForSaleByOwner.com,23991948,ForSaleByOwner.com,N,Y,,,false
MLS Listing,Single Family Residential,600 Mountain Springs Rd,Oneonta,AL,35121,435900,5,3.5,Heritage Green,,65340,2006,2,Garage,145,Active,,,,,435900,,,http://www.redfin.com/AL/Oneonta/600-Mountain-Springs-Rd-35121/home/97898509,Greater Alabama MLS,610846,RealtySouth Northeast Alabama,N,Y,33.9771245,-86.4555711,false
MLS Listing,Single Family Residential,225 Plain View Dr,Oneonta,AL,35121,89180,3,2.0,,,348044,1980,0,,145,Active,,,,,89180,,,http://www.redfin.com/AL/Oneonta/225-Plain-View-Dr-35121/home/80795312,Greater Alabama MLS,558108,RealtySouth-Oneonta/Blount Co,N,Y,33.966942,-86.497938,false
For-Sale-by-Owner Listing,Single Family Residential,405 Quail Ridge Rd,Oneonta,AL,35121,280000,4,3.5,Oneonta,3700,170,1999,2,Garage,196,Active,,,,,280000,2003-05-16,294000.0,http://www.redfin.com/AL/Oneonta/405-Quail-Ridge-Rd-35121/home/80795355,ForSaleByOwner.com,23990849,ForSaleByOwner.com,N,Y,33.977384,-86.462044,false
