SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,111 Allison St,Piedmont,AL,36272,85880,3,1.0,Piedmont,,22215,1964,1,,5,Active,,,,,85880,,,http://www.redfin.com/AL/Piedmont/111-Allison-St-36272/home/104215272,Greater Alabama MLS,744132,Pope Realty & Appraisal Serv.,N,Y,33.9268,-85.5964,false
MLS Listing,Single Family Residential,185 Meadowbrook Dr,Piedmont,AL,36272,179900,3,3.0,Piedmont,,298821,1986,2,Garage,140,Active,,,,2016-03-21,189900,,,http://www.redfin.com/AL/Piedmont/185-Meadowbrook-Dr-36272/home/80652792,Greater Alabama MLS,733303,Pope Realty & Appraisal Serv.,N,Y,33.9086825,-85.6031698,false
MLS Listing,Single Family Residential,503 1st Ave,Piedmont,AL,36272,26900,3,2.0,Piedmont,,6969,1949,1,,39,Active,,,,2016-03-14,29900,,,http://www.redfin.com/AL/Piedmont/503-1st-Ave-36272/home/80652960,Greater Alabama MLS,740682,Home Realty Company,N,Y,33.9287,-85.6131,false
MLS Listing,Single Family Residential,47 Pine St,Piedmont,AL,36272,45000,4,2.0,Lakeview,,9147,1985,0,,33,Active,,,,,45000,,,http://www.redfin.com/AL/Piedmont/47-Pine-St-36272/home/80650413,Greater Alabama MLS,741175,"Susie Weems Real Estate, LLC",N,Y,33.936,-85.6137,false
MLS Listing,Single Family Residential,406 Riddle Ave,Piedmont,AL,36272,39900,3,2.0,Piedmont,,17859,1968,2,,72,Active,,,,2016-02-26,49900,,,http://www.redfin.com/AL/Piedmont/406-Riddle-Ave-36272/home/102590427,Greater Alabama MLS,737615,"Vintage Properties, LLC",N,Y,33.9179,-85.6117,false
MLS Listing,Vacant Land,403 Piedmont Ave Unit 10&11,Piedmont,AL,36272,6500,,,Piedmont,,19166,,0,,145,Active,,,,2016-02-17,7500,,,http://www.redfin.com/AL/Piedmont/403-Piedmont-Ave-36272/unit-10-11/home/101764832,Greater Alabama MLS,626731,Keller Williams Realty Group,N,Y,33.9181,-85.615,false
MLS Listing,Single Family Residential,307 4th Ave,Piedmont,AL,36272,39900,3,1.0,Piedmont,,8712,1954,1,,75,Active,,,,,39900,,,http://www.redfin.com/AL/Piedmont/307-4th-Ave-36272/home/102616715,Greater Alabama MLS,737413,Pope Realty & Appraisal Serv.,N,Y,33.9261,-85.6169,false
MLS Listing,Mobile/Manufactured Home,599 Bramlett Rd,Piedmont,AL,36272,74900,3,2.0,,,708285,1999,0,,56,Active,,,,,74900,,,http://www.redfin.com/AL/Piedmont/599-Bramlett-Rd-36272/home/80649730,Greater Alabama MLS,739036,Pope Realty & Appraisal Serv.,N,Y,33.9542,-85.6531,false
MLS Listing,Single Family Residential,205 Barlow St,Piedmont,AL,36272,89900,2,2.0,Standard Coosa Thatcher,,6969,1920,0,,67,Active,,,,,89900,,,http://www.redfin.com/AL/Piedmont/205-Barlow-St-36272/home/102857333,Greater Alabama MLS,738099,Pope Realty & Appraisal Serv.,N,Y,33.9232,-85.6054,false
MLS Listing,Multi-Family (2-4 Unit),208 5th St,Piedmont,AL,36272,27500,4,2.0,Piedmont,,,1969,0,,69,Active,,,,,27500,,,http://www.redfin.com/AL/Piedmont/208-N-5th-Ave-36272/home/80652795,Greater Alabama MLS,737877,ERA King Real Estate,N,Y,33.924,-85.6172,false
