SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,525 Creek Ridge Dr #74,Riverside,AL,35135,20000,,,The Highlands,,20908,,0,,145,Active,,,,,20000,,,http://www.redfin.com/AL/Riverside/525-Creek-Ridge-DR-35135/unit-74/home/101762663,Greater Alabama MLS,546607,Fields/Gossett Realty,N,Y,33.6000068,-86.2356469,false
MLS Listing,Vacant Land,515 Creek Ridge Dr #75,Riverside,AL,35135,20000,,,The Highlands,,20908,,0,,145,Active,,,,,20000,,,http://www.redfin.com/AL/Riverside/515-Creek-Ridge-DR-35135/unit-75/home/101763107,Greater Alabama MLS,546660,Fields/Gossett Realty,N,Y,33.5999869,-86.2353547,false
MLS Listing,Vacant Land,Main St Unit 2.53 AC,Riverside,AL,35135,14500,,,,,110206,,0,,145,Active,,,,,14500,,,http://www.redfin.com/AL/Riverside/Main-St-35135/unit-253-AC/home/101764970,Greater Alabama MLS,577339,Fields/Gossett Realty,N,Y,33.603993,-86.204493,false
MLS Listing,Vacant Land,180 Highland Blvd #45,Riverside,AL,35135,20000,,,The Highlands,,24829,,0,,145,Active,,,,,20000,,,http://www.redfin.com/AL/Riverside/180-Highland-BLVD-35135/unit-45/home/101762468,Greater Alabama MLS,546649,Fields/Gossett Realty,N,Y,33.599124,-86.2345453,false
MLS Listing,Vacant Land,76 Morris Farms Dr E #0,Riverside,AL,35135,152000,,,,,3310560,,0,,145,Active,,,,,152000,,,http://www.redfin.com/AL/Riverside/76-Morris-Farms-Dr-E-35135/unit-0/home/101765855,Greater Alabama MLS,577128,Fields/Gossett Realty,N,Y,33.6055412,-86.207077,false
MLS Listing,Vacant Land,0 Hollys Ln #000,Riverside,AL,35135,20000,,,Riverside,,108900,,0,,145,Active,,,,,20000,,,http://www.redfin.com/AL/Riverside/0-Hollys-Ln-35135/unit-000/home/101763150,Greater Alabama MLS,596103,"Lake Haven Realty, Inc.",N,Y,33.639009,-86.17123,false
MLS Listing,Vacant Land,371 Hollys Ln #2,Riverside,AL,35135,18500,,,Lincoln/PellCity/Riverside,,87120,,0,,18,Active,,,,,18500,,,http://www.redfin.com/AL/Riverside/371-Hollys-Ln-35135/unit-2/home/104010859,Greater Alabama MLS,742723,RE/MAX Marketplace,N,Y,33.639503,-86.171351,false
MLS Listing,Single Family Residential,630 Cove Point Dr,Riverside,AL,35135,449900,4,3.5,Cove Point,,,1996,2,Garage,17,Active,,,,,449900,,,http://www.redfin.com/AL/Riverside/630-Cove-Point-Dr-35135/home/104012018,Greater Alabama MLS,742755,"Lake Homes Realty, LLC",N,Y,33.5964640447968,-86.1898641586304,false
MLS Listing,Single Family Residential,70 Arrowhead Dr,Riverside,AL,35135,49410,3,2.0,Broken Arrow Estates,,38768,1978,0,,113,Active,,,,2016-03-04,61000,2015-11-16,68247.0,http://www.redfin.com/AL/Riverside/70-Arrowhead-Dr-35135/home/80607913,Greater Alabama MLS,735067,RE/MAX Preferred,N,Y,33.645488,-86.179209,false
MLS Listing,Single Family Residential,279 Lake View Cir,Riverside,AL,35135,169000,3,2.0,Lake View,,2178,2004,2,Garage,21,Active,,,,,169000,,,http://www.redfin.com/AL/Riverside/279-Lake-View-Cir-35135/home/80608160,Greater Alabama MLS,742356,RE/MAX Hometown Properties,N,Y,33.611886,-86.209173,false
