SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,28 +/- acres #28,Roanoke,AL,36274,69900,,,,,1219680,,0,,22,Active,,,,,69900,,,http://www.redfin.com/AL/Roanoke/28-acres-36274/unit-28/home/103987797,Greater Alabama MLS,742156,South Home Realty,N,Y,33.158832,-85.351829,false
MLS Listing,Single Family Residential,125 Mcarthur Dr,Roanoke,AL,36274,105000,3,2.0,,,32670,1958,1,Garage,145,Active,,,,2016-02-23,113900,,,http://www.redfin.com/AL/Roanoke/125-McArthur-Dr-36274/home/95193698,Greater Alabama MLS,730134,RE/MAX Lakefront,N,Y,33.1514826,-85.3560405,false
MLS Listing,Single Family Residential,928 Mckinley Dr,Roanoke,AL,36274,39760,3,1.0,,,21780,1981,1,,34,Active,,,,,39760,,,http://www.redfin.com/AL/Roanoke/928-McKinley-Dr-36274/home/95197290,Greater Alabama MLS,741106,Keller Williams Realty Group,N,Y,33.1472423,-85.3966852,false
MLS Listing,Single Family Residential,522 Randolph St,Roanoke,AL,36274,34900,2,2.0,,,8712,1925,0,,92,Active,,,,,34900,,,http://www.redfin.com/AL/Roanoke/522-Randolph-St-36274/home/102288155,Greater Alabama MLS,736331,South Home Realty,N,Y,33.1575681,-85.3707071,false
MLS Listing,Vacant Land,123 Unit 22.94 Acres,Roanoke,AL,36274,150000,,,,,997959,,0,,145,Active,,,,2016-02-23,190800,,,http://www.redfin.com/AL/Roanoke/123-Alabama-1-36274/unit-2294-Acres/home/101763020,Greater Alabama MLS,721953,RE/MAX Lakefront,N,Y,33.1197869,-85.3604302,false
MLS Listing,Single Family Residential,260 Parris Cir,Roanoke,AL,36274,104900,3,2.0,Franks,,10890,1980,2,Garage,36,Active,,,,,104900,,,http://www.redfin.com/AL/Roanoke/260-Parris-Cir-36274/home/95193653,Greater Alabama MLS,740847,Southeastern Realty & Auction,N,Y,33.1522363,-85.3524667,false
MLS Listing,Single Family Residential,603 Cannon St,Roanoke,AL,36274,64900,4,2.0,,,,1920,2,,145,Active,,,,2016-02-10,69500,,,http://www.redfin.com/AL/Roanoke/603-Cannon-St-36274/home/95196710,Greater Alabama MLS,732742,Southeastern Realty & Auction,N,Y,33.1473441,-85.3682508,false
MLS Listing,Single Family Residential,1410 Main St,Roanoke,AL,36274,92000,3,2.0,,,10890,1920,1,,100,Active,,,,,92000,,,http://www.redfin.com/AL/Roanoke/1410-Main-St-36274/home/95197142,Greater Alabama MLS,735892,South Home Realty,N,Y,33.1601722,-85.3820622,false
MLS Listing,Single Family Residential,416 Cannon St,Roanoke,AL,36274,59900,3,1.0,,,13503,1958,2,,145,Active,,,,,59900,,,http://www.redfin.com/AL/Roanoke/416-Cannon-St-36274/home/101749022,Greater Alabama MLS,632192,South Home Realty,N,Y,33.1477447,-85.3643786,false
MLS Listing,Single Family Residential,92 Lakeside Dr,Roanoke,AL,36274,135000,3,2.0,Twin Oaks,,83635,1994,2,,112,Active,,,,,135000,,,http://www.redfin.com/AL/Roanoke/92-Lakeside-Dr-36274/home/102172438,Greater Alabama MLS,735116,Wedowee Lake & Lands Realty,N,Y,33.178366,-85.4091546,false
MLS Listing,Single Family Residential,6063,Roanoke,AL,36274,34900,1,2.0,,,103672,1985,1,Garage,57,Active,,,,,34900,,,http://www.redfin.com/AL/Roanoke/6063-Alabama-1-36274/home/103371557,Greater Alabama MLS,738903,Southeastern Realty & Auction,N,Y,33.1766023,-85.3926444,false
MLS Listing,Single Family Residential,408 Yellowhammer Dr,Roanoke,AL,36274,185000,3,2.0,Quail Run,,57063,1989,2,,61,Active,,,,,185000,,,http://www.redfin.com/AL/Roanoke/408-Yellow-Hammer-Dr-36274/home/103183419,Greater Alabama MLS,738627,FlatFee.com,N,Y,33.1578998,-85.3929779,false
MLS Listing,Vacant Land,Mccarter Rd Unit 139.8 ACRE,Roanoke,AL,36274,272610,,,,,6089688,,0,,145,Active,,,,2016-01-15,326650,,,http://www.redfin.com/AL/Roanoke/Mccarter-Rd-36274/unit-1398-ACRE/home/101762934,Greater Alabama MLS,608544,Southeastern Realty & Auction,N,Y,33.156551361084,-85.3830108642578,false
MLS Listing,Ranch,10811,Roanoke,AL,36274,3400000,3,3.0,,,7623000,2002,2,Garage,63,Active,,,,,3400000,,,http://www.redfin.com/AL/Roanoke/10811-Alabama-1-36274/home/102927881,Greater Alabama MLS,738462,Southeastern Realty & Auction,N,Y,33.1089023,-85.3550878,false
MLS Listing,Vacant Land,Pope Rd Unit 3.5 AC (Unable to map),Roanoke,AL,36274,22000,,,,,152460,,0,,145,Active,,,,2015-12-11,23000,,,http://www.redfin.com/AL/Roanoke/Pope-Rd-36274/unit-35-AC/home/101765005,Greater Alabama MLS,618321,Southeastern Realty & Auction,N,Y,,,false
MLS Listing,Vacant Land,No Address Provided,Roanoke,AL,36274,69900,,,,,871200,,0,,145,Active,,,,,69900,,,http://www.redfin.com/AL/Roanoke/Unknown-36274/unit-20/home/101764092,Greater Alabama MLS,625530,South Home Realty,N,Y,33.156586,-85.362455,false
MLS Listing,Vacant Land,32 Acres Unit N/A,Roanoke,AL,36274,58000,,,Randolph County,,1393920,,0,,20,Active,,,,,58000,,,http://www.redfin.com/AL/Roanoke/32-Acres-36274/unit-N-A/home/104003315,Greater Alabama MLS,742503,RE/MAX Lakefront,N,Y,33.1835864390343,-85.3799343109131,false
MLS Listing,Single Family Residential,3266,Roanoke,AL,36274,124900,3,2.0,,,130680,1973,2,Garage,140,Active,,,,,124900,,,http://www.redfin.com/AL/Roanoke/3266-Highway-1-36274/home/101784715,Greater Alabama MLS,733290,Southeastern Realty & Auction,N,Y,33.1783048,-85.3955363,false
MLS Listing,Vacant Land,No Address Provided,Roanoke,AL,36274,290000,,,,,1785960,,0,,145,Active,,,,,290000,,,http://www.redfin.com/AL/Roanoke/Unknown-36274/unit-41-ACRES/home/101765499,Greater Alabama MLS,628384,Southeastern Realty & Auction,N,Y,33.156586,-85.362455,false
MLS Listing,Vacant Land,Mccarter Dr #0,Roanoke,AL,36274,24000,,,Randolph County,,304920,,0,,16,Active,,,,,24000,,,http://www.redfin.com/AL/Roanoke/McCarter-Dr-36274/unit-0/home/104014515,Greater Alabama MLS,742866,SonUp Real Estate,N,Y,33.156304,-85.383742,false
MLS Listing,Single Family Residential,334 Rock Mills Rd,Roanoke,AL,36274,119000,3,2.0,Idle Acres,,13068,1955,2,,36,Active,,,,2016-03-15,124500,,,http://www.redfin.com/AL/Roanoke/334-Rock-Mills-Rd-36274/home/101749616,Greater Alabama MLS,740843,Southeastern Realty & Auction,N,Y,33.151577,-85.3536072,false
MLS Listing,Single Family Residential,165 Louina St,Roanoke,AL,36274,35000,3,1.0,,,10890,1950,0,,36,Active,,,,2016-03-15,36500,,,http://www.redfin.com/AL/Roanoke/165-Louina-Rd-36274/home/95196953,Greater Alabama MLS,740850,Southeastern Realty & Auction,N,Y,33.1524972,-85.3779098,false
MLS Listing,Single Family Residential,525 Handley Ave,Roanoke,AL,36274,19900,3,1.5,,,9583,1915,0,,69,Active,,,,2016-03-17,25500,,,http://www.redfin.com/AL/Roanoke/525-Handley-Ave-36274/home/95186331,Greater Alabama MLS,737848,South Home Realty,N,Y,33.158637,-85.3732765,false
MLS Listing,Vacant Land,Louina Rd #39,Roanoke,AL,36274,79900,,,,,1698840,,0,,145,Active,,,,,79900,,,http://www.redfin.com/AL/Roanoke/Louina-Rd-36274/unit-39/home/101762573,Greater Alabama MLS,631848,RE/MAX Lakefront,N,Y,33.147468,-85.39831,false
MLS Listing,Vacant Land,"Recreation Dr Unit 1,6,7,8,9",Roanoke,AL,36274,54500,,,,,87120,,0,,145,Active,,,,,54500,,,http://www.redfin.com/AL/Roanoke/Recreation-Dr-36274/unit-1-6-7-8-9/home/101763752,Greater Alabama MLS,732821,RE/MAX Lakefront,N,Y,33.141332,-85.385117,false
MLS Listing,Vacant Land,No Address Provided,Roanoke,AL,36274,76000,,,,,827640,,0,,145,Active,,,,,76000,,,http://www.redfin.com/AL/Roanoke/19-Highway-1-36274/unit-19/home/101765518,Greater Alabama MLS,634168,South Home Realty,N,Y,33.1198648,-85.3603857,false
MLS Listing,Single Family Residential,1882,Roanoke,AL,36274,449000,3,3.5,,,3441240,1982,2,Garage,145,Active,,,,,449000,,,http://www.redfin.com/AL/Roanoke/1882-Highway-1-36274/home/101750850,Greater Alabama MLS,725742,Southeastern Realty & Auction,N,Y,33.1294969,-85.356908,false
MLS Listing,Single Family Residential,2866,Roanoke,AL,36274,129900,3,2.0,,,435600,1973,2,,9,Active,,,,,129900,,,http://www.redfin.com/AL/Roanoke/2866-Alabama-1-36274/home/104201654,Greater Alabama MLS,743629,Southeastern Realty & Auction,N,Y,33.1294969,-85.356908,false
MLS Listing,Single Family Residential,879,Roanoke,AL,36278,99900,3,2.0,,,130680,1988,0,,145,Active,,,,,99900,,,http://www.redfin.com/AL/Roanoke/879-Highway-1-36274/home/101749152,Greater Alabama MLS,732046,Hunter Bend Realty,N,Y,33.1085434,-85.3547458,false
MLS Listing,Single Family Residential,9101 S,Roanoke,AL,36274,82500,3,1.0,,,41817,1980,0,,145,Active,,,,,82500,,,http://www.redfin.com/AL/Roanoke/9101-Alabama-1-36274/home/104086761,Greater Alabama MLS,730649,Wedowee Lake & Lands Realty,N,Y,33.1088405,-85.3550289,false
MLS Listing,Vacant Land,"22.53 ACRES Magnolia Ln Lot 1,2,3,5 & A",Roanoke,AL,36274,89000,,,Randolph County,,991861,,0,,145,Active,,,,,89000,,,http://www.redfin.com/AL/Roanoke/22-53-ACRES-Magnolia-Ln-36274/unit-1-2-3-5-A/home/101763964,Greater Alabama MLS,732759,RE/MAX Lakefront,N,Y,33.1135926658623,-85.4083871841431,false

