SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Mobile/Manufactured Home,515 #26,Shelby,AL,35143,29900,2,1.0,Lay Lake Okomo Marina,,,1960,0,,145,Active,,,,,29900,,,http://www.redfin.com/AL/Shelby/26-Shelby-Motel-Rd-35143/unit-26/home/101748765,Greater Alabama MLS,728584,RealtySouth-Chilton/Montgomery,N,Y,33.1120623,-86.5955457,false
MLS Listing,Mobile/Manufactured Home,752 S,Columbiana,AL,35051,125000,3,2.0,,,517057,1998,0,,30,Active,,,,,125000,,,http://www.redfin.com/AL/Columbiana/752-Alabama-Ave-35051/home/103939961,Greater Alabama MLS,741448,RealtySouth-Inverness Office,N,Y,33.1316057911694,-86.5786101818085,false
MLS Listing,Vacant Land,0 #0,Shelby,AL,35143,45000,,,Columbiana/Westover/Wilsonville,,217800,,0,,36,Active,,,,,45000,,,http://www.redfin.com/AL/Shelby/Unknown-35143/unit-0/home/103847746,Greater Alabama MLS,740873,"Hope Realty, LLC",N,Y,33.062759553287,-86.5594143867493,false
MLS Listing,Mobile/Manufactured Home,1255,Shelby,AL,35143,110000,3,2.0,Shelby,,263538,2000,3,,34,Active,,,,,110000,,,http://www.redfin.com/AL/Shelby/1255-35143/home/103927528,Greater Alabama MLS,741132,Keller Williams Realty Hoover,N,Y,33.0612053722143,-86.5402353554964,false
MLS Listing,Vacant Land,000 Egg & Butter Rd Unit None,Shelby,AL,35143,69500,,,Columbiana/Westover/Wilsonville,,1001880,,0,,145,Active,,,,2016-02-11,74000,,,http://www.redfin.com/AL/Shelby/000-Egg-Butter-Rd-35143/unit-None/home/101763480,Greater Alabama MLS,723919,TMI Real Estate,N,Y,33.120849,-86.615957,false
MLS Listing,Single Family Residential,140 L And M Trc,Shelby,AL,35143,275000,3,2.0,Lay Lake,,26136,1979,2,Garage,145,Active,,,,,275000,,,http://www.redfin.com/AL/Shelby/140-L-And-M-Trc-35143/home/102077194,Greater Alabama MLS,731612,Keller Williams Metro South,N,Y,33.0898446606281,-86.534149646759,false
MLS Listing,Single Family Residential,5094,Shelby,AL,35143,66250,2,1.0,,,91476,1952,1,Garage,145,Active,,,,,66250,,,http://www.redfin.com/AL/Shelby/5094-Shelby-Motel-Rd-35143/home/101748775,Greater Alabama MLS,381359,"Weichert Realtors, Lowe Realty",N,Y,33.101913,-86.58554,false
MLS Listing,Single Family Residential,7655,Shelby,AL,35143,134900,3,2.0,,,89733,1978,2,Garage,133,Active,,,,2016-01-08,138900,,,http://www.redfin.com/AL/Shelby/7655-35143/home/101849722,Greater Alabama MLS,733845,RealtySouth-Shelby Office,N,Y,33.070949,-86.566123,false
MLS Listing,Single Family Residential,171,Shelby,AL,35143,109900,3,2.0,,,74052,1971,0,,145,Active,,,,,109900,,,http://www.redfin.com/AL/Shelby/171-35143/home/101749425,Greater Alabama MLS,623764,Century 21 Advantage,N,Y,33.0603714,-86.5575333,false
MLS Listing,Single Family Residential,454 Shelby Hotel Rd,Shelby,AL,35143,79000,3,1.0,,,19602,1987,0,,145,Active,,,,,79000,2006-09-27,28000.0,http://www.redfin.com/AL/Shelby/454-Shelby-Motel-Rd-35143/home/80761659,Greater Alabama MLS,729679,RE/MAX Southern Homes-280,N,Y,33.1063791,-86.598892,false
