SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,421 Murphrees Valley Rd,Springville,AL,35146,349000,5,4.5,Springville,,174240,1965,2,Garage,145,Active,,,,2015-11-11,365000,,,http://www.redfin.com/AL/Springville/421-Murphrees-Valley-Rd-35146/home/80604926,Greater Alabama MLS,723549,"The Real Estate Group, Inc.",N,Y,33.777595,-86.4810339,false
MLS Listing,Vacant Land,"0 Smithfield Ln Unit 1,4,6,7,12,13,15,25,29,35,36,37,38,39",Springville,AL,35146,7700,,,Smithfield,,,,0,,145,Active,,,,,7700,,,http://www.redfin.com/AL/Springville/Smithfield-Ln-35146/unit-1-4-6-7-12-13-15-25-29-35-36-37-38-39/home/101763180,Greater Alabama MLS,610891,RE/MAX Realty Brokers,N,Y,33.7605590820313,-86.4047927856445,false
MLS Listing,Vacant Land,14 Smithfield Ln #14,Springville,AL,35146,7000,,,,,,,0,,145,Active,,,,,7000,,,http://www.redfin.com/AL/Springville/14-Smithfield-Ln-35146/unit-14/home/101764087,Greater Alabama MLS,618400,RE/MAX Realty Brokers,N,Y,33.7578703,-86.4032444,false
MLS Listing,Vacant Land,1 Crandall Dr Unit ACREAGE,Springville,AL,35146,300000,,,Argo/Springville/Steele,,1742400,,0,,145,Active,,,,,300000,,,http://www.redfin.com/AL/Springville/1-Crandall-Dr-35146/unit-ACREAGE/home/101764630,Greater Alabama MLS,724416,RE/MAX Realty Brokers,N,Y,33.7615585327148,-86.4880294799805,false
For-Sale-by-Owner Listing,Single Family Residential,1520 Jones Rd,Springville,AL,35146,320000,4,2.0,Springville,2900,135036,1886,1,Garage,196,Active,,,,,320000,,,http://www.redfin.com/AL/Springville/1520-Jones-Rd-35146/home/80604955,ForSaleByOwner.com,20706151,ForSaleByOwner.com,N,Y,33.772467,-86.433093,false
MLS Listing,Single Family Residential,90 Old Springs Rd,Springville,AL,35146,46500,3,1.0,,,20037,1955,0,,145,Active,,,,2015-12-03,69900,,,http://www.redfin.com/AL/Springville/90-Old-Springs-Rd-35146/home/80605461,Greater Alabama MLS,562719,ERA King Real Estate Pell City,N,Y,33.777881,-86.454447,false
MLS Listing,Single Family Residential,44 Pats Way,Springville,AL,35146,249900,3,2.5,Crandall Crest,,47916,2006,2,Garage,103,Active,,,,,249900,,,http://www.redfin.com/AL/Springville/44-Pats-Way-35146/home/80636940,Greater Alabama MLS,735781,ERA King Real Estate Pell City,N,Y,33.761807,-86.486265,false
MLS Listing,Single Family Residential,554 Village Springs Ln,Springville,AL,35146,152000,3,2.0,Legacy Springs,,,2010,2,Garage,143,Active,,,,,152000,,,http://www.redfin.com/AL/Springville/554-Village-Springs-Ln-35146/home/80641018,Greater Alabama MLS,733018,"Four Star Realty, LLC",N,Y,33.754373,-86.455913,false
MLS Listing,Single Family Residential,5050 Baxter Rd,Springville,AL,35146,278800,5,3.0,Sweetwater,,13068,2015,2,Garage,134,Active,,,,,278800,,,http://www.redfin.com/AL/Springville/5050-Baxter-Rd-35146/home/80642178,Greater Alabama MLS,733767,"Newcastle Homes, Inc.",N,Y,33.755557,-86.401672,false
MLS Listing,Single Family Residential,59 Maple St,Springville,AL,35146,89900,3,2.0,,,,1970,0,,126,Active,,,,,89900,2012-02-09,22000.0,http://www.redfin.com/AL/Springville/59-Maple-St-35146/home/80644015,Greater Alabama MLS,734310,ERA King Real Estate Pell City,N,Y,33.7807601,-86.4623962,false
