SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,Saunders Bridge Rd Lot 24,Sterrett,AL,35147,269900,,,Saunders Bridge,,135036,,0,,145,Active,,,,2016-02-28,279900,,,http://www.redfin.com/AL/Sterrett/Saunders-Bridge-Rd-35147/unit-24/home/101764543,Greater Alabama MLS,620791,RE/MAX First Choice,N,Y,33.4398674597247,-86.5131416320801,false
MLS Listing,Single Family Residential,151 Pumpkin Hollow Rd,Sterrett,AL,35147,995000,4,4.5,Pumpkin Hollow Lake,,79714,2000,4,Garage,37,Active,,,,,995000,,,http://www.redfin.com/AL/Sterrett/151-Pumpkin-Hollow-Rd-35147/home/103828175,Greater Alabama MLS,740638,RealtySouth-MB-Cahaba Rd,N,Y,33.4540356695652,-86.4586479216814,false
MLS Listing,Vacant Land,20505 #1,Sterrett,AL,35147,262000,,,Harpersville/Sterrett/Vandiver/Vincent,,839836,,0,,47,Active,,,,,262000,,,http://www.redfin.com/AL/Sterrett/20505-1st-Ave-35147/unit-1/home/103674444,Greater Alabama MLS,739966,RealtySouth-Inverness Office,N,Y,33.4833341091871,-86.4621294289827,false
MLS Listing,Vacant Land,Luquire road Luquire Ln Unit Luquire survey (Unable to map),Sterrett,AL,35147,12000,,,Harpersville/Sterrett/Vandiver/Vincent,,28314,,0,,145,Active,,,,,12000,,,http://www.redfin.com/AL/Sterrett/Luquire-road-Luquire-Ln-35147/unit-Luquire-survey/home/101764177,Greater Alabama MLS,725040,RE/MAX Southern Homes-280,N,Y,,,false
MLS Listing,Ranch,169 Rolling Hills Rd,Sterrett,AL,35147,1500000,3,2.5,,,1742400,1989,2,Garage,103,Active,,,,,1500000,,,http://www.redfin.com/AL/Sterrett/169-Rolling-Hills-Rd-35147/home/102252493,Greater Alabama MLS,735791,Brik Realty,N,Y,33.4539002180099,-86.5107397735119,false
MLS Listing,Single Family Residential,421 Pumpkin Hollow Rd,Sterrett,AL,35147,995000,4,4.0,Pumpkin Hollow Lake,,168141,2008,0,,145,Active,,,,,995000,,,http://www.redfin.com/AL/Sterrett/421-Pumpkin-Hollow-Rd-35147/unit-16-A/home/80744150,Greater Alabama MLS,521311,Ray & Poynor Properties,N,Y,33.451962,-86.453362,false
MLS Listing,Single Family Residential,273 Clarecastle Ln,Sterrett,AL,35178,449000,3,2.0,Sterrett,,1742400,1995,2,Garage,65,Active,,,,2016-01-18,499900,,,http://www.redfin.com/AL/Vincent/273-Clarecastle-Ln-35178/unit-40-AC/home/101749426,Greater Alabama MLS,738188,RE/MAX Advantage South,N,Y,33.4518509,-86.4868698,false
MLS Listing,Vacant Land,174 #174,Sterrett,AL,35147,21900,,,,,32670,,0,,145,Active,,,,2016-01-20,24900,,,http://www.redfin.com/AL/Sterrett/174-Sterrett-Dr-35147/unit-174/home/101763743,Greater Alabama MLS,728726,RE/MAX Southern Homes,N,Y,33.4456511,-86.4871426,false
MLS Listing,Vacant Land,No Address Provided,Westover,AL,35147,27500,,,,,21780,,0,,145,Active,,,,,27500,,,http://www.redfin.com/AL/Sterrett/0-Sterrett-Dr-35147/unit-000/home/102640408,Greater Alabama MLS,625870,"Canterbury Realty Group, LLC",N,Y,33.4464543,-86.4858657,false
MLS Listing,Vacant Land,No Address Provided,Sterrett,AL,35147,47000,,,Harpersville/Sterrett/Vandiver/Vincent,,515750,,0,,21,Active,,,,,47000,,,http://www.redfin.com/AL/Sterrett/Unknown-35147/unit-1/home/103994447,Greater Alabama MLS,742292,Joseph Realty,N,Y,33.4341671581646,-86.4638244098206,false
MLS Listing,Single Family Residential,1 Victory Ln,Sterrett,AL,35147,499000,6,5.5,,,958320,1994,2,Garage,28,Active,,,,2016-03-15,559000,,,http://www.redfin.com/AL/Sterrett/1-Victory-Ln-35147/home/101750536,Greater Alabama MLS,741619,RE/MAX Advantage South,N,Y,33.450015,-86.50353,false
MLS Listing,Vacant Land,Saunders Bridge Rd #23 (Unable to map),Sterrett,AL,35147,360000,,,Saunders Bridge,,165528,,0,,145,Active,,,,,360000,,,http://www.redfin.com/AL/Sterrett/Saunders-Bridge-Rd-35147/unit-23/home/101764821,Greater Alabama MLS,625435,Ray & Poynor Properties,N,Y,,,false
MLS Listing,Vacant Land,Lot 20 Saunders Bridge Rd #20,Sterrett,AL,35147,250000,,,Saunders Bridge,,130680,,0,,145,Active,,,,,250000,,,http://www.redfin.com/AL/Sterrett/Lot-20-Saunders-Bridge-Rd-35147/unit-20/home/101764577,Greater Alabama MLS,628750,RE/MAX First Choice,N,Y,33.4411387528636,-86.5106310844422,false
MLS Listing,Vacant Land,Saunders Bridge Rd Lot 13,Sterrett,AL,35147,269000,,,Saunders Bridge,,130680,,0,,145,Active,,,,,269000,,,http://www.redfin.com/AL/Sterrett/Saunders-Bridge-Rd-35147/unit-13/home/101763837,Greater Alabama MLS,618680,RE/MAX First Choice,N,Y,33.4411745636682,-86.5157809257507,false
MLS Listing,Ranch,273 E Clarecastle Ln,Sterrett,AL,35178,359900,3,2.0,Sterrett,,1045440,1995,2,Garage,145,Active,,,,,359900,,,http://www.redfin.com/AL/Vincent/273-E-Clarecastle-Ln-35178/unit-24-AC/home/101750406,Greater Alabama MLS,629458,RE/MAX Advantage South,N,Y,33.4518509,-86.4868698,false
MLS Listing,Single Family Residential,321 Pumpkin Hollow Rd,Sterrett,AL,35147,873000,4,4.5,Pumpkin Hollow Lake,,175546,2007,0,,145,Active,,,,2016-03-21,895000,,,http://www.redfin.com/AL/Sterrett/321-Pumpkin-Hollow-Rd-35147/home/101748738,Greater Alabama MLS,722467,LAH - Mountain Brook Branch,N,Y,33.4514881,-86.4529421,false

