SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Ranch,2235 New County Line Rd,Sylacauga,AL,35150,184900,3,1.0,,,392040,1971,4,Garage,145,Active,,,,2015-12-21,189900,,,http://www.redfin.com/AL/Sylacauga/2235-New-County-Line-Rd-35151/home/86066629,Greater Alabama MLS,559791,RE/MAX Classic,N,Y,33.114541,-86.30004,false
MLS Listing,Vacant Land,266 Billingsley Dr #1,Sylacauga,AL,35150,27000,,,TalladegaCounty,,522720,,0,,93,Active,,,,,27000,,,http://www.redfin.com/AL/Sylacauga/266-Billingsley-Dr-35151/unit-1/home/102284383,Greater Alabama MLS,736255,RE/MAX Classic,N,Y,33.1695594787598,-86.3188171386719,false
MLS Listing,Single Family Residential,1103 W Walnut St,Sylacauga,AL,35150,77900,3,1.0,Porter Wt,,87,1957,1,,84,Active,,,,,77900,2000-11-28,17850.0,http://www.redfin.com/AL/Sylacauga/1103-W-Walnut-St-35150/home/80783969,Greater Alabama MLS,736608,"Area Real Estate, Inc.",N,Y,33.163577,-86.268133,false
MLS Listing,Vacant Land,Marlen Cir #3,Sylacauga,AL,35150,16000,,,North Creek Village,,8450,,0,,145,Active,,,,,16000,,,http://www.redfin.com/AL/Sylacauga/3-Marlen-Cir-35150/unit-3/home/101764126,Greater Alabama MLS,629901,RE/MAX Classic,N,Y,33.221919,-86.239187,false
MLS Listing,Vacant Land,Marlen Cir #5,Sylacauga,AL,35150,16000,,,North Creek Village,,10149,,0,,145,Active,,,,,16000,,,http://www.redfin.com/AL/Sylacauga/5-Marlen-Cir-35150/unit-5/home/101764127,Greater Alabama MLS,629902,RE/MAX Classic,N,Y,33.221919,-86.239187,false
MLS Listing,Vacant Land,Marlen Cir #6,Sylacauga,AL,35150,16000,,,North Creek Village,,9452,,0,,145,Active,,,,,16000,,,http://www.redfin.com/AL/Sylacauga/6-Marlen-Cir-35150/unit-6/home/101764128,Greater Alabama MLS,629903,RE/MAX Classic,N,Y,33.221919,-86.239187,false
MLS Listing,Vacant Land,Marlen Cir #7,Sylacauga,AL,35150,16000,,,North Creek Village,,9452,,0,,145,Active,,,,,16000,,,http://www.redfin.com/AL/Sylacauga/7-Marlen-Cir-35150/unit-7/home/101764129,Greater Alabama MLS,629905,RE/MAX Classic,N,Y,33.221919,-86.239187,false
MLS Listing,Vacant Land,Marlen Cir #8,Sylacauga,AL,35150,16000,,,North Creek Village,,8581,,0,,145,Active,,,,,16000,,,http://www.redfin.com/AL/Sylacauga/8-Marlen-Cir-35150/unit-8/home/101764130,Greater Alabama MLS,629907,RE/MAX Classic,N,Y,33.221919,-86.239187,false
MLS Listing,Vacant Land,Marlen Cir #9,Sylacauga,AL,35150,16000,,,North Creek Village,,11891,,0,,145,Active,,,,,16000,,,http://www.redfin.com/AL/Sylacauga/9-Marlen-Cir-35150/unit-9/home/101764131,Greater Alabama MLS,629909,RE/MAX Classic,N,Y,33.221919,-86.239187,false
MLS Listing,Vacant Land,Marlen Cir #18,Sylacauga,AL,35150,21000,,,North Creek Village,,10410,,0,,145,Active,,,,,21000,,,http://www.redfin.com/AL/Sylacauga/18-Marlen-Cir-35150/unit-18/home/101764132,Greater Alabama MLS,629912,RE/MAX Classic,N,Y,33.221919,-86.239187,false
