SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,7.5 Acres Guntertown Rd Unit 7.5 ACRE,Talladega,AL,36251,30000,,,,,326700,,0,,145,Active,,,,,30000,,,http://www.redfin.com/AL/Talladega/7-5-Acres-Guntertown-Rd-36251/unit-75-ACRE/home/101763358,Greater Alabama MLS,581527,"Cheaha Realty Services, LLC",N,Y,33.4345093,-86.1026917,false
MLS Listing,Vacant Land,Camelot Cir Unit 20 LOTS,Talladega,AL,35160,30000,,,Camelot Acres,,871200,,0,,145,Active,,,,,30000,,,http://www.redfin.com/AL/Talladega/Camelot-Cir-35160/unit-20-LOTS/home/101762476,Greater Alabama MLS,568039,Hunter Bend Realty,N,Y,33.4649339146452,-86.078458029837,false
MLS Listing,Vacant Land,Talladega Creek Rd #3,Talladega,AL,35160,75000,,,,,437778,,0,,93,Active,,,,,75000,,,http://www.redfin.com/AL/Talladega/3-Talladega-Creek-Rd-35160/unit-3/home/102285136,Greater Alabama MLS,736280,AlaHomes Realty,N,Y,33.4085007,-86.1144994,false
MLS Listing,Single Family Residential,808 Cherry St,Talladega,AL,35160,65000,2,1.0,,,18730,1935,2,,145,Active,,,,2015-12-15,70000,,,http://www.redfin.com/AL/Talladega/808-Cherry-St-35160/home/80783241,Greater Alabama MLS,729937,ERA King - Lincoln,N,Y,33.423891,-86.096593,false
MLS Listing,Single Family Residential,382 Pinehurst Dr,Talladega,AL,35160,74900,3,1.0,The Pines,,10018,1958,1,Garage,83,Active,,,,,74900,,,http://www.redfin.com/AL/Talladega/382-Pinehurst-Dr-35160/home/86061083,Greater Alabama MLS,736686,Hometown Realty,N,Y,33.424711,-86.105885,false
MLS Listing,Vacant Land,Southridge Ln #29,Talladega,AL,35160,17500,,,,,130680,,0,,145,Active,,,,,17500,,,http://www.redfin.com/AL/Talladega/Southridge-Ln-35160/unit-29/home/101766545,Greater Alabama MLS,606044,Hometown Realty,N,Y,33.392339,-86.106054,false
MLS Listing,Single Family Residential,620 Cherry St,Talladega,AL,35160,99500,3,1.5,Moorefield,,2178,1955,3,Garage,145,Active,,,,,99500,,,http://www.redfin.com/AL/Talladega/620-Cherry-St-35160/home/101750010,Greater Alabama MLS,635523,Porter and Porter,N,Y,33.4279275,-86.0969201,false
MLS Listing,Single Family Residential,106 Briarwood Dr,Talladega,AL,35160,100000,3,2.5,Briarwood,,130,1977,2,Garage,145,Active,,,,,100000,,,http://www.redfin.com/AL/Talladega/106-Briarwood-Dr-35160/home/80769809,Greater Alabama MLS,725155,Keller Williams Realty Group,N,Y,33.417386,-86.092696,false
MLS Listing,Single Family Residential,1113 Southwood Ave,Talladega,AL,35160,260000,6,4.0,Indian Hills,,39204,1980,2,Garage,145,Active,,,,,255000,,,http://www.redfin.com/AL/Talladega/1113-Southwood-Ave-35160/home/80782059,Greater Alabama MLS,729361,Porter and Porter,N,Y,33.418121,-86.097642,false
MLS Listing,Single Family Residential,608 Hillandale Dr,Talladega,AL,35160,89500,3,2.0,Hillandale,,25264,1968,1,,145,Active,,,,,89500,,,http://www.redfin.com/AL/Talladega/608-Hillandale-Dr-35160/home/101749857,Greater Alabama MLS,635488,Porter and Porter,N,Y,33.4157781,-86.0917294,false
MLS Listing,Multi-Family (2-4 Unit),509 Damon Ave E,Talladega,AL,35160,75000,2,2.0,Bemiston,,,1930,0,,145,Active,,,,,75000,,,http://www.redfin.com/AL/Talladega/509-E-Damon-Ave-35160/home/101768386,Greater Alabama MLS,589688,ERA King - Lincoln,N,Y,33.4154242,-86.1166833,false
MLS Listing,Single Family Residential,86 Ironaton Rd,Talladega,AL,35160,117500,5,2.5,,,522720,1963,2,,145,Active,,,,,117500,,,http://www.redfin.com/AL/Talladega/86-Ironaton-Rd-35160/home/80769519,Greater Alabama MLS,634933,Porter and Porter,N,Y,33.432228,-86.07253,false
MLS Listing,Single Family Residential,355 Moorefield Dr,Talladega,AL,35160,130000,3,3.0,Moorefield,,20037,1963,2,,140,Active,,,,,130000,,,http://www.redfin.com/AL/Talladega/355-Moorefield-Dr-35160/home/80769612,Greater Alabama MLS,733330,ERA King - Lincoln,N,Y,33.430063,-86.095184,false
MLS Listing,Single Family Residential,500 Cherry St,Talladega,AL,35160,125000,3,2.0,,,17424,1953,2,Garage,145,Active,,,,,125000,,,http://www.redfin.com/AL/Talladega/500-Cherry-St-35160/home/80770965,Greater Alabama MLS,609773,Hometown Realty,N,Y,33.43106,-86.096673,false
MLS Listing,Single Family Residential,500 E South St,Talladega,AL,35160,154900,4,2.0,,,9147,1890,2,Garage,145,Active,,,,,154900,,,http://www.redfin.com/AL/Talladega/500-South-St-E-35160/home/80789084,Greater Alabama MLS,722847,ERA King - Lincoln,N,Y,33.4344649,-86.093772,false
MLS Listing,Single Family Residential,206 Damon Ave W,Talladega,AL,35160,128000,3,2.0,Bemiston,,43560,1946,2,Garage,145,Active,,,,,128000,,,http://www.redfin.com/AL/Talladega/206-W-Damon-Ave-35160/home/80784768,Greater Alabama MLS,566172,Porter and Porter,N,Y,33.406732,-86.122579,false
MLS Listing,Single Family Residential,102 Maine St,Talladega,AL,35160,128000,3,1.5,Highland Farms,,43560,1970,4,,145,Active,,,,,128000,,,http://www.redfin.com/AL/Talladega/102-Maine-St-35160/home/80771370,Greater Alabama MLS,722054,Keller Williams Realty Bham,N,Y,33.407635,-86.135409,false
MLS Listing,Single Family Residential,203 E Damon Ave,Talladega,AL,35160,83900,2,2.0,,,9583,1900,2,,145,Active,,,,2015-11-23,85000,,,http://www.redfin.com/AL/Talladega/203-E-Damon-Ave-35160/home/80776190,Greater Alabama MLS,730557,AlaHomes Realty,N,Y,33.410365,-86.116984,false
MLS Listing,Multi-Family (2-4 Unit),309 Wells Ave,Talladega,AL,35160,72500,4,2.0,Bemiston,,,1946,0,,139,Active,,,,,72500,,,http://www.redfin.com/AL/Talladega/309-Wells-Ave-35160/home/80780776,Greater Alabama MLS,733410,Porter and Porter,N,Y,33.412536,-86.116068,false
MLS Listing,Single Family Residential,408 Wells Ave,Talladega,AL,35160,79500,3,2.0,Bemiston,,13068,1976,1,,145,Active,,,,,79500,,,http://www.redfin.com/AL/Talladega/408-Wells-Ave-35160/home/80784220,Greater Alabama MLS,623776,Porter and Porter,N,Y,33.41363,-86.11561,false
MLS Listing,Single Family Residential,734 Stone Ave,Talladega,AL,35160,177500,3,1.0,Stone & Stapp,,137214,1960,2,,145,Active,,,,,177500,,,http://www.redfin.com/AL/Talladega/734-Stone-Ave-35160/home/80772675,Greater Alabama MLS,625810,LAH - Mountain Brook Branch,N,Y,33.440776,-86.087174,false
MLS Listing,Single Family Residential,607 Mcalpine St,Talladega,AL,35160,124900,3,2.0,,,,2014,0,,126,Active,,,,,124900,,,http://www.redfin.com/AL/Talladega/607-Mcalpine-St-35160/home/86060844,Greater Alabama MLS,734354,AlaHomes Realty,N,Y,33.438232421875,-86.1118698120117,false
MLS Listing,Single Family Residential,703 North St,Talladega,AL,35160,69990,3,2.0,,,14374,1900,0,,145,Active,,,,,69990,,,http://www.redfin.com/AL/Talladega/703-North-St-E-35160/home/101749644,Greater Alabama MLS,725123,ERA King - Lincoln,N,Y,33.437802,-86.089558,false
MLS Listing,Single Family Residential,104 Morgan St,Talladega,AL,35160,69900,2,2.0,,,,1925,1,,145,Active,,,,,69900,,,http://www.redfin.com/AL/Talladega/104-Morgan-St-35160/home/101750564,Greater Alabama MLS,631660,Keller Williams Realty Group,N,Y,33.4379477,-86.0916294,false
