SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,139 Cane Creek Rd #1,Warrior,AL,35180,75000,,,,,32234,,0,,145,Active,,,,,75000,,,http://www.redfin.com/AL/Warrior/139-Cane-Creek-Rd-35180/unit-1/home/101762748,Greater Alabama MLS,623220,Southern Homes Realty,N,Y,33.809048,-86.816233,false
MLS Listing,Vacant Land,9410 Warrior Kimberly Rd #1,Warrior,AL,35180,9900,,,Hamilton,,15245,,0,,84,Active,,,,,9900,,,http://www.redfin.com/AL/Warrior/9410-Warrior-Kimberly-Rd-35180/unit-1/home/102361212,Greater Alabama MLS,736622,RE/MAX Northern Properties,N,Y,33.809844,-86.80303,false
MLS Listing,Vacant Land,841 Weir Rd #9,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,21780,,0,,145,Active,,,,,14900,,,http://www.redfin.com/AL/Warrior/841-Weir-Rd-Unknown/unit-9/home/102077256,Greater Alabama MLS,723780,Cedar Crest Realty,N,Y,33.81739,-86.858207,false
MLS Listing,Single Family Residential,9486 Dads Hill Rd,Warrior,AL,35180,73000,3,1.0,,,43560,1962,0,,140,Active,,,,,73000,2009-04-07,23000.0,http://www.redfin.com/AL/Warrior/9486-Dads-Hill-Rd-35180/home/80815023,Greater Alabama MLS,733295,RealtySouth-Northern Office,N,Y,33.8347229,-86.772025,false
MLS Listing,Vacant Land,650 Arkadelphia Rd #0,Warrior,AL,35180,119700,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,723096,,0,,145,Active,,,,,119700,,,http://www.redfin.com/AL/Warrior/650-Arkadelphia-Rd-35180/unit-0/home/101762818,Greater Alabama MLS,723759,Cedar Crest Realty,N,Y,33.817324,-86.8543303,false
MLS Listing,Vacant Land,1072 Warrior Jasper Rd #0,Warrior,AL,35180,199000,,,,,1693177,,0,,145,Active,,,,,199000,,,http://www.redfin.com/AL/Warrior/1072-Warrior-Jasper-Rd-35180/unit-0/home/101762831,Greater Alabama MLS,726879,Cedar Crest Realty,N,Y,33.81142,-86.851034,false
MLS Listing,Vacant Land,847 Wier Rd #10,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,21344,,0,,145,Active,,,,,14900,2013-08-01,1000.0,http://www.redfin.com/AL/Warrior/847-Wier-Rd-35180/unit-10/home/101763028,Greater Alabama MLS,723768,Cedar Crest Realty,N,Y,33.817351,-86.858688,false
MLS Listing,Vacant Land,837 Wier Rd #8,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,16552,,0,,145,Active,,,,,14900,2013-08-01,1000.0,http://www.redfin.com/AL/Warrior/837-Wier-Rd-35180/unit-8/home/101763030,Greater Alabama MLS,723782,Cedar Crest Realty,N,Y,33.817374,-86.857814,false
MLS Listing,Vacant Land,833 Wier Rd #7,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,16988,,0,,145,Active,,,,,14900,2013-08-01,1000.0,http://www.redfin.com/AL/Warrior/833-Wier-Rd-35180/unit-7/home/101763031,Greater Alabama MLS,723785,Cedar Crest Realty,N,Y,33.817364,-86.857475,false
MLS Listing,Vacant Land,829 Wier Rd #6,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,16117,,0,,145,Active,,,,,14900,2013-08-01,1000.0,http://www.redfin.com/AL/Warrior/829-Wier-Rd-35180/unit-6/home/101763032,Greater Alabama MLS,723787,Cedar Crest Realty,N,Y,33.817354,-86.857138,false
MLS Listing,Vacant Land,825 Wier Rd #5,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,26136,,0,,145,Active,,,,,14900,2013-08-01,1000.0,http://www.redfin.com/AL/Warrior/825-Wier-Rd-35180/unit-5/home/101763033,Greater Alabama MLS,723788,Cedar Crest Realty,N,Y,33.817466,-86.856794,false
MLS Listing,Vacant Land,821 Wier Rd #4,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,21344,,0,,145,Active,,,,,14900,2013-08-01,1000.0,http://www.redfin.com/AL/Warrior/821-Wier-Rd-35180/unit-4/home/101763034,Greater Alabama MLS,723789,Cedar Crest Realty,N,Y,33.817394,-86.856446,false
MLS Listing,Vacant Land,817 Wier Rd #3,Warrior,AL,35180,14900,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,15681,,0,,145,Active,,,,,14900,,,http://www.redfin.com/AL/Warrior/817-Wier-Rd-35180/unit-3/home/101763035,Greater Alabama MLS,723792,Cedar Crest Realty,N,Y,33.817334,-86.856115,false
MLS Listing,Vacant Land,9283 Asberry Rd #0,Warrior,AL,35180,9000,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,141570,,0,,145,Active,,,,,9000,,,http://www.redfin.com/AL/Warrior/9283-Asberry-Rd-35180/unit-0/home/101763087,Greater Alabama MLS,732676,Southern Homes Realty,N,Y,33.81793,-86.795784,false
MLS Listing,Vacant Land,9942 Cooper Dr #0,Warrior,AL,35180,125000,,,,,3746160,,0,,145,Active,,,,,125000,,,http://www.redfin.com/AL/Warrior/9942-Cooper-Dr-35180/unit-0/home/101764847,Greater Alabama MLS,631228,RealtySouth-Northern Office,N,Y,33.808952,-86.823779,false
MLS Listing,Vacant Land,416 Cane Creek Cemetery Rd Unit 1.6 AC,Warrior,AL,35180,38400,,,,,69696,,0,,145,Active,,,,,38400,,,http://www.redfin.com/AL/Warrior/416-Cane-Creek-Cemetery-Rd-35180/unit-16AC/home/101764971,Greater Alabama MLS,579888,Keller Williams Realty Hoover,N,Y,33.813327,-86.845008,false
MLS Listing,Single Family Residential,713 Hilltop Rd,Warrior,AL,35180,107000,3,2.0,Cherokee Estates,,22215,1972,2,Garage,75,Active,,,,,107000,1996-08-01,81475.0,http://www.redfin.com/AL/Warrior/713-Hilltop-Rd-35180/home/80845216,Greater Alabama MLS,737374,RealtySouth-Northern Office,N,Y,33.80002,-86.832355,true
MLS Listing,Vacant Land,805 Cheyenne Dr #2,Warrior,AL,35180,9900,,,Indian Acres,,16552,,0,,145,Active,,,,2016-01-13,11500,,,http://www.redfin.com/AL/Warrior/805-Cheyenne-Dr-35180/unit-2/home/101765759,Greater Alabama MLS,725257,"Ingram & Associates, LLC",N,Y,33.824189,-86.787571,false
MLS Listing,Vacant Land,804 Cheyenne Dr #22,Warrior,AL,35180,9900,,,Indian Acres,,17424,,0,,145,Active,,,,2016-01-13,11500,,,http://www.redfin.com/AL/Warrior/804-Cheyenne-Dr-35180/unit-22/home/101765760,Greater Alabama MLS,725263,"Ingram & Associates, LLC",N,Y,33.8246554,-86.7875857,false
MLS Listing,Single Family Residential,308 7th St,Warrior,AL,35180,53000,3,1.0,,,,1969,0,,140,Active,,,,,53000,,,http://www.redfin.com/AL/Warrior/308-7th-St-35180/home/102077050,Greater Alabama MLS,733288,RealtySouth-Northern Office,N,Y,33.8231493,-86.7971537,false
MLS Listing,Single Family Residential,610 Highland Ave,Warrior,AL,35180,29000,2,1.0,,,7405,1959,0,,79,Active,,,,,29000,2008-08-26,17500.0,http://www.redfin.com/AL/Warrior/610-Highland-Ave-35180/home/80843523,Greater Alabama MLS,736807,RealtySouth-Northern Office,N,Y,33.8219,-86.803056,false
MLS Listing,Single Family Residential,406 E 2nd St,Warrior,AL,35180,67900,3,1.0,Warrior,,6534,1950,0,,133,Active,,,,2016-01-29,69900,2015-03-20,15500.0,http://www.redfin.com/AL/Warrior/406-2nd-St-E-35180/home/81034986,Greater Alabama MLS,733815,Avast Realty - Birmingham,N,Y,33.814264,-86.803653,false
MLS Listing,Vacant Land,0 Love Ln #0,Warrior,AL,35180,100000,,,Corner/Kimberly/Morris/SmokeRise/Warrior,,500940,,0,,145,Active,,,,,100000,,,http://www.redfin.com/AL/Warrior/0-Love-Ln-35180/unit-0/home/101762857,Greater Alabama MLS,730053,ERA Waldrop Real Estate,N,Y,33.79851,-86.813781,false
MLS Listing,Single Family Residential,412 Kemp Dr,Warrior,AL,35180,55000,2,1.0,,,,1940,1,Garage,145,Active,,,,2016-01-07,59900,,,http://www.redfin.com/AL/Warrior/412-Kemp-Dr-35180/home/80843691,Greater Alabama MLS,724111,Century 21 Patty Snell & Assoc,N,Y,33.8161247,-86.8136404,false
