SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,01 Turkey Run #2,Ragland,AL,35131,24000,,,Ashville/Odenville/Ragland,,252648,,0,,138,Active,,,,,24000,,,http://www.redfin.com/AL/Ragland/01-Turkey-Run-35131/unit-2/home/101820780,Greater Alabama MLS,733519,Fields/Gossett Realty,N,Y,33.7045035315868,-86.2627096176147,false
MLS Listing,Vacant Land,03 Turkey Run #4,Ragland,AL,35131,24000,,,Ashville/Odenville/Ragland,,252648,,0,,138,Active,,,,,24000,,,http://www.redfin.com/AL/Ragland/03-Turkey-Run-35131/unit-4/home/101820941,Greater Alabama MLS,733536,Fields/Gossett Realty,N,Y,33.7056816804592,-86.2638897895813,false
MLS Listing,Vacant Land,04 Turkey Run #5,Ragland,AL,35131,24000,,,Ashville/Odenville/Ragland,,252648,,0,,138,Active,,,,,24000,,,http://www.redfin.com/AL/Ragland/04-Turkey-Run-35131/unit-5/home/101821036,Greater Alabama MLS,733542,Fields/Gossett Realty,N,Y,33.7066634588419,-86.2646837234497,false
MLS Listing,Vacant Land,05 Turkey Run #6,Ragland,AL,35131,24000,,,Ashville/Odenville/Ragland,,252648,,0,,138,Active,,,,,24000,,,http://www.redfin.com/AL/Ragland/05-Turkey-Run-35131/unit-6/home/101821037,Greater Alabama MLS,733545,Fields/Gossett Realty,N,Y,33.7073953226989,-86.2648768424988,false
MLS Listing,Vacant Land,37 Friendship Mountain Ln #37,Ashville,AL,35953,46900,,,Friendship Mountain,,348480,,0,,145,Active,,,,,46900,,,http://www.redfin.com/AL/Ashville/37-Friendship-Mountain-Ln-35953/unit-37/home/101763501,Greater Alabama MLS,725746,Clairmont Realty,N,Y,33.7303484538933,-86.3370217565389,false
MLS Listing,Vacant Land,Turkey Rdg Unit 36 AC,Ragland,AL,35131,89000,,,Timber Ridge,,1568160,,0,,145,Active,,,,,89000,,,http://www.redfin.com/AL/Ragland/Turkey-Rdg-35131/unit-36-AC/home/101764536,Greater Alabama MLS,617185,Fields/Gossett Realty,N,Y,33.6998596,-86.2655563,false
MLS Listing,Vacant Land,0 Turkey Run #1,Ragland,AL,35131,25650,,,Ashville/Odenville/Ragland,,235224,,0,,138,Active,,,,,25650,,,http://www.redfin.com/AL/Ragland/0-Turkey-Run-35131/unit-1/home/101820078,Greater Alabama MLS,733506,Fields/Gossett Realty,N,Y,33.7035727191076,-86.2624449729919,false
MLS Listing,Vacant Land,0 River Ranch Rd Unit 111 AC,Ragland,AL,35131,279900,,,,,4835160,,0,,145,Active,,,,,279900,,,http://www.redfin.com/AL/Ragland/0-River-Ranch-Rd-35131/unit-111-AC/home/101765621,Greater Alabama MLS,595042,Fields/Gossett Realty,N,Y,33.6731911,-86.2194672,false
MLS Listing,Single Family Residential,1796 Deer Trace Dr,Pell City,AL,35125,89900,3,2.0,Pell City,,39639,1992,0,,9,Active,,,,,89900,2015-06-29,69500.0,http://www.redfin.com/AL/Pell-City/1796-Deer-Trace-Rd-35125/home/80607702,Greater Alabama MLS,743664,LAH - Mountain Brook Branch,N,Y,33.636622,-86.219065,false
MLS Listing,Vacant Land,Pleasant Valley Rd Unit 3 ac,Ashville,AL,35953,59900,,,Ashville/Odenville/Ragland,,130680,,0,,14,Active,,,,,59900,,,http://www.redfin.com/AL/Ashville/Pleasant-Valley-Rd-35953/unit-3-ac/home/104045042,Greater Alabama MLS,743043,Lovejoy Realty,N,Y,33.7126197814941,-86.3423461914063,false
MLS Listing,Vacant Land,02 Turkey Run #3,Ragland,AL,35131,24000,,,Ashville/Odenville/Ragland,,252648,,0,,138,Active,,,,,24000,,,http://www.redfin.com/AL/Branchville/02-Turkey-Run-35131/unit-3/home/101820861,Greater Alabama MLS,733524,Fields/Gossett Realty,N,Y,33.7057530829018,-86.2636322975159,false
MLS Listing,Single Family Residential,193 Shoal Crest Dr,Ashville,AL,35953,116600,3,2.0,Pleasant Valley,,40946,2009,2,Garage,21,Active,,,,,116600,,,http://www.redfin.com/AL/Ashville/193-Shoal-Crest-Dr-35953/home/80637813,Greater Alabama MLS,742298,OWNERS.COM,N,Y,33.731649,-86.330052,false
MLS Listing,Vacant Land,0 Refuge Rd Unit 2.5 Ac,Ragland,AL,35131,22000,,,,,108900,,0,,145,Active,,,,,22000,,,http://www.redfin.com/AL/Ragland/0-Refuge-Rd-35131/unit-25-Ac/home/101764879,Greater Alabama MLS,726444,Lovejoy Realty,N,Y,33.6800117492676,-86.2202835083008,false
MLS Listing,Mobile/Manufactured Home,2600 Center Star Rd,Ragland,AL,35131,5300,3,2.0,,,43560,1997,0,,31,Active,,,,,5300,2014-04-09,12000.0,http://www.redfin.com/AL/Ragland/2600-Center-Star-Rd-35131/home/80648306,Greater Alabama MLS,741336,Home Realty Company,N,Y,33.652409,-86.232838,false
MLS Listing,Vacant Land,"445 Crawfish Ln Unit 14,15",Ragland,AL,35131,59900,,,Ashville/Odenville/Ragland,,113256,,0,,28,Active,,,,,59900,,,http://www.redfin.com/AL/Ragland/445-Crawfish-Ln-35131/unit-14-15/home/103946258,Greater Alabama MLS,741613,Kell Realty,N,Y,33.6798563,-86.2134285,false
MLS Listing,Single Family Residential,3285 Popes Chapel Rd,Ragland,AL,35131,379000,5,3.5,,,871200,1993,2,Garage,145,Active,,,,2015-11-07,399000,,,http://www.redfin.com/AL/Ragland/3285-Popes-Chapel-Rd-35131/home/80607374,Greater Alabama MLS,632501,Kell Realty,N,Y,33.71608,-86.2474639,false
MLS Listing,Single Family Residential,2435 Manning Rd,Ragland,AL,35131,169000,4,2.0,,,100187,1986,0,,86,Active,,,,,169000,,,http://www.redfin.com/AL/Ragland/2435-Manning-Rd-35131/home/80645455,Greater Alabama MLS,736526,RE/MAX Southern Homes,N,Y,33.678694,-86.286483,false
MLS Listing,Vacant Land,50 Katy Beau Ln Unit 1.6,Pell City,AL,35125,15000,,,Lincoln/PellCity/Riverside,,69696,,0,,145,Active,,,,,15000,,,http://www.redfin.com/AL/Pell-City/50-Katy-Beau-Ln-35125/unit-16/home/101763741,Greater Alabama MLS,727443,ERA King Real Estate Pell City,N,Y,33.632195,-86.300906,false
MLS Listing,Mobile/Manufactured Home,1580 Baker Rd,Ashville,AL,35953,99900,2,2.0,,,871200,1988,0,,145,Active,,,,2015-11-06,107900,,,http://www.redfin.com/AL/Ashville/1580-Baker-Rd-35953/home/80618687,Greater Alabama MLS,626854,Lovejoy Realty,N,Y,33.709765,-86.319754,false
MLS Listing,Single Family Residential,23620,Ragland,AL,35131,75000,2,2.0,,,135471,1960,1,,116,Active,,,,,75000,,,http://www.redfin.com/AL/Ragland/23620-Old-County-Al-City-35131/home/102135148,Greater Alabama MLS,734886,RE/MAX Hometown Properties,N,Y,33.6866035461426,-86.2802658081055,false
