SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,711 Astor Ave,Weaver,AL,36277,90000,3,1.0,Weaver Plan Of,,31363,1922,1,,7,Active,,,,,90000,,,http://www.redfin.com/AL/Weaver/711-Astor-Ave-36277/home/80661685,Greater Alabama MLS,743839,Keller Williams Realty Group,N,Y,33.7538,-85.8124,false
MLS Listing,Single Family Residential,527 Kilarney Ave,Weaver,AL,36277,109900,3,2.0,Shannon Hills,,22651,1973,2,,6,Active,,,,,109900,,,http://www.redfin.com/AL/Weaver/527-Kilarney-Ave-36277/home/104213113,Greater Alabama MLS,744042,Billy Isom Realty,N,Y,33.7539,-85.7961,false
MLS Listing,Single Family Residential,505 Shamrock Ave,Weaver,AL,36277,64900,5,2.0,Shannon Hills,,87120,1955,4,Garage,145,Active,,,,2016-03-21,79000,,,http://www.redfin.com/AL/Weaver/505-Shamrock-Ave-36277/home/101750882,Greater Alabama MLS,601779,Century 21 Harris McKay,N,Y,33.7532,-85.7971,false
MLS Listing,Vacant Land,Connemara Pl Unit D,Weaver,AL,36277,9260,,,Weaver,,25264,,0,,145,Active,,,,,9260,,,http://www.redfin.com/AL/Weaver/Connemara-Pl-36277/unit-D/home/101763100,Greater Alabama MLS,531628,Keller Williams Realty Group,N,Y,33.755572,-85.797186,false
MLS Listing,Vacant Land,0 Dolphin Dr #0,Weaver,AL,36277,5100,,,,,16988,,0,,145,Active,,,,,5100,,,http://www.redfin.com/AL/Weaver/0-Dolphin-Dr-36277/unit-0/home/101763101,Greater Alabama MLS,531629,Keller Williams Realty Group,N,Y,33.749957,-85.801546,false
MLS Listing,Single Family Residential,1107 Alpine Dr,Weaver,AL,36277,75000,3,1.5,,,14810,1964,0,,145,Active,,,,2016-03-11,85000,,,http://www.redfin.com/AL/Weaver/1107-Alpine-Dr-36277/home/97901768,Greater Alabama MLS,724968,Gold Star Realty-Oxford,N,Y,33.7542,-85.8317,false
MLS Listing,Single Family Residential,70 Zoe Ct,Weaver,AL,36277,199000,4,3.0,Buckhorn,,,2014,2,Garage,145,Active,,,,2016-02-24,212000,,,http://www.redfin.com/AL/Weaver/70-Zoe-Ct-36277/home/80677468,Greater Alabama MLS,557193,Keller Williams Realty Group,N,Y,33.7764940126071,-85.8169422150968,false
MLS Listing,Vacant Land,Meharg St #1,Weaver,AL,36277,40000,,,Mccullars,,,,0,,145,Active,,,,,40000,,,http://www.redfin.com/AL/Weaver/Meharg-St-36277/unit-1/home/101762655,Greater Alabama MLS,373009,Century 21 Harris McKay,N,Y,33.749468,-85.816707,false
MLS Listing,Multi-Family (2-4 Unit),0 Forest Dr,Weaver,AL,36277,50000,4,3.0,Weaver,,,1955,0,,145,Active,,,,,50000,,,http://www.redfin.com/AL/Weaver/0-Forest-Dr-36277/home/101768390,Greater Alabama MLS,595305,Home Realty Company,N,Y,33.748376,-85.810365,false
MLS Listing,Single Family Residential,307 Hilltop Rd,Weaver,AL,36277,99900,3,2.0,,,30056,1985,2,Garage,19,Active,,,,,99900,,,http://www.redfin.com/AL/Weaver/307-Hilltop-Rd-36277/home/104007759,Greater Alabama MLS,742644,"Freedom Realty, LLC",N,Y,33.7611083984375,-85.8099594116211,false
