SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,84 Hills Mine Ave,West Blocton,AL,35184,96000,3,2.0,Hills Creek Estates,,,2006,2,Garage,145,Active,,,,2016-01-04,98000,,,http://www.redfin.com/AL/West-Blocton/84-Hills-Mine-Ave-35184/home/95227202,Greater Alabama MLS,724146,ARC Realty,N,Y,33.1318122,-87.1330374,false
MLS Listing,Single Family Residential,6216 Truman Aldrich Pkwy,West Blocton,AL,35184,589000,4,4.5,,,158994,1985,3,Garage,115,Active,,,,,589000,,,http://www.redfin.com/AL/West-Blocton/6216-Truman-Aldridge-Pkwy-35184/home/95227205,Greater Alabama MLS,734893,ARC Realty,N,Y,33.1333353,-87.1432075,false
MLS Listing,Vacant Land,81 Hills Mine Ave Lot 63,West Blocton,AL,35184,15000,,,Hills Creek Estates,,,,0,,145,Active,,,,,15000,,,http://www.redfin.com/AL/West-Blocton/81-Hills-Mine-Ave-35184/unit-63/home/101763602,Greater Alabama MLS,601749,Weaver Land & Realty Inc.,N,Y,33.1312782,-87.1343729,false
MLS Listing,Vacant Land,93 Hills Mine Ave Lot 62,West Blocton,AL,35184,15000,,,Hills Creek Estates,,,,0,,145,Active,,,,,15000,,,http://www.redfin.com/AL/West-Blocton/93-Hills-Mine-Ave-35184/unit-62/home/101763597,Greater Alabama MLS,601701,Weaver Land & Realty Inc.,N,Y,33.1312782,-87.1343729,false
MLS Listing,Vacant Land,184 Hills Mine Ave Lot 12,West Blocton,AL,35184,18900,,,Hills Creek Estates,,,,0,,145,Active,,,,,18900,,,http://www.redfin.com/AL/West-Blocton/184-Hills-Mine-Ave-35184/unit-12/home/101764767,Greater Alabama MLS,601450,Weaver Land & Realty Inc.,N,Y,33.1328149,-87.1321735,false
MLS Listing,Single Family Residential,407 Elm St,West Blocton,AL,35184,35000,2,1.0,,,,1900,3,Garage,106,Active,,,,,35000,,,http://www.redfin.com/AL/West-Blocton/407-Elm-St-35184/home/95228459,Greater Alabama MLS,735526,Klassey Realty,N,Y,33.1196667,-87.1268984,false
MLS Listing,Single Family Residential,00 Maine St,West Blocton,AL,35184,45000,3,2.0,Uriah Smith,,,1900,2,Garage,145,Active,,,,,45000,,,http://www.redfin.com/AL/West-Blocton/00-Maine-St-35184/home/101751813,Greater Alabama MLS,724849,Klassey Realty,N,Y,33.1177101135254,-87.1239929199219,false
MLS Listing,Vacant Land,Hills Mine Ave Lot 64,West Blocton,AL,35184,15000,,,Hills Creek Estates,,,,0,,145,Active,,,,,15000,,,http://www.redfin.com/AL/West-Blocton/64-Hills-Mine-Ave-35184/unit-64/home/101763368,Greater Alabama MLS,601760,Weaver Land & Realty Inc.,N,Y,33.131889,-87.132964,false
MLS Listing,Vacant Land,Truman Aldrich Pkwy Unit 22 ACRES,West Blocton,AL,35184,279900,,,Hills Creek Estates,,980100,,0,,145,Active,,,,,279900,,,http://www.redfin.com/AL/West-Blocton/Truman-Aldrich-Pkwy-35184/unit-22-ACRES/home/101764763,Greater Alabama MLS,601400,Weaver Land & Realty Inc.,N,Y,33.122156,-87.128191,false
MLS Listing,Vacant Land,0 Unit N/A,West Blocton,AL,35184,124500,,,Green Pond,,827640,,0,,145,Active,,,,,124500,,,http://www.redfin.com/AL/West-Blocton/0-Highway-5-35184/unit-N-A/home/101764456,Greater Alabama MLS,731672,Keller Williams Metro South,N,Y,33.1336439,-87.1446353,false
MLS Listing,Vacant Land,Lot 4 Marigold St Lot 4,West Blocton,AL,35184,6500,,,West Blocton,,10018,,0,,145,Active,,,,,6500,,,http://www.redfin.com/AL/West-Blocton/Lot-4-Marigold-Ln-35184/unit-4/home/101766652,Greater Alabama MLS,728401,Weaver Land & Realty Inc.,N,Y,33.1209602355957,-87.1258697509766,false

