SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,0 Weatherton Trl #2,Westover,AL,35185,37900,,,Weatherton Woods Estates,,143748,,0,,30,Active,,,,,37900,,,http://www.redfin.com/AL/Westover/0-Weatherton-Trl-35185/unit-2/home/101764052,Greater Alabama MLS,741422,RealtySouth-Inverness Office,N,Y,33.344598,-86.535471,false
MLS Listing,Vacant Land,0 Weatherton Trl #3,Westover,AL,35185,33000,,,Weatherton Woods Estates,,232174,,0,,30,Active,,,,,33000,,,http://www.redfin.com/AL/Westover/0-Weatherton-Trl-35185/unit-3/home/101763364,Greater Alabama MLS,741425,RealtySouth-Inverness Office,N,Y,33.344598,-86.535471,false
MLS Listing,Vacant Land,0 Weatherton Trl #4,Westover,AL,35185,33000,,,Weatherton Woods Estates,,131115,,0,,30,Active,,,,,33000,,,http://www.redfin.com/AL/Westover/0-Weatherton-Trl-35185/unit-4/home/101763365,Greater Alabama MLS,741427,RealtySouth-Inverness Office,N,Y,33.344598,-86.535471,false
MLS Listing,Vacant Land,0 Weatherton Trl #5,Westover,AL,35185,37900,,,Weatherton Woods Estates,,130680,,0,,30,Active,,,,,37900,,,http://www.redfin.com/AL/Westover/0-Weatherton-Trl-35185/unit-5/home/101764507,Greater Alabama MLS,741429,RealtySouth-Inverness Office,N,Y,33.344598,-86.535471,false
MLS Listing,Single Family Residential,1316 Willow Oaks Dr,Chelsea,AL,35186,269900,4,3.0,Willow Oaks,,18730,2008,2,Garage,68,Active,,,,2016-02-14,279900,2008-12-17,255000.0,http://www.redfin.com/AL/Wilsonville/1316-Willow-Oaks-Dr-35186/home/80737322,Greater Alabama MLS,738046,RE/MAX Southern Homes-280,N,Y,33.327992,-86.542306,false
MLS Listing,Single Family Residential,104 Sharpe St,Chelsea,AL,35147,154900,3,2.0,Villages Of Westover,,7405,2009,2,Garage,104,Active,,,,,154900,,,http://www.redfin.com/AL/Westover/104-Sharpe-St-35147/home/80737075,Greater Alabama MLS,735636,RE/MAX Advantage South,N,Y,33.3379317,-86.556708,false
MLS Listing,Vacant Land,No Address Provided,Westover,AL,35185,299500,,,Chelsea,,1511532,,0,,44,Active,,,,,299500,,,http://www.redfin.com/AL/Westover/26-Westover-Cir-35147/unit-026/home/103702293,Greater Alabama MLS,740161,LAH - Mountain Brook Branch,N,Y,33.362597,-86.486941,false
For-Sale-by-Owner Listing,Single Family Residential,9192 Highway 55,Harpersville,AL,35078,485000,4,3.5,Harpersville,3109,421225,2002,2,Garage,196,Active,,,,,485000,,,http://www.redfin.com/AL/Harpersville/9192-Highway-55-35078/home/80740333,ForSaleByOwner.com,24027905,ForSaleByOwner.com,N,Y,33.343568,-86.538476,false
MLS Listing,Single Family Residential,243 Christopher Cv,Sterrett,AL,35147,374900,4,4.5,Westover,,156380,2008,2,Garage,78,Active,,,,,374900,,,http://www.redfin.com/AL/Westover/243-Christopher-Cv-35147/home/80736288,Greater Alabama MLS,736952,UNU Group,N,Y,33.3633434,-86.481496,false
MLS Listing,Single Family Residential,122 Willow Lake Ln,Wilsonville,AL,35186,220385,3,2.0,Willow Oaks,,13503,2015,2,Garage,145,Active,,,,,220385,,,http://www.redfin.com/AL/Wilsonville/122-Willow-Lake-LN-35186/unit-121/home/101749941,Greater Alabama MLS,725281,"Ingram & Associates, LLC",N,Y,33.3305279,-86.5449942,false
MLS Listing,Single Family Residential,1381 Willow Oaks Dr,Wilsonville,AL,35186,259900,4,2.5,Willow Oaks,,20037,2015,2,Garage,145,Active,,,,,259900,,,http://www.redfin.com/AL/Wilsonville/1381-Willow-Oaks-DR-35186/unit-325/home/101749254,Greater Alabama MLS,732034,"Ingram & Associates, LLC",N,Y,33.3282249,-86.5423289,false
MLS Listing,Single Family Residential,1363 Willow Oaks Dr,Wilsonville,AL,35186,304900,4,3.5,Willow Oaks,,35719,2015,3,Garage,115,Active,,,,,294900,,,http://www.redfin.com/AL/Wilsonville/1363-Willow-Oaks-Dr-35186/home/102139778,Greater Alabama MLS,734901,"Ingram & Associates, LLC",N,Y,33.3282246,-86.5423289,false
MLS Listing,Single Family Residential,7980,Sterrett,AL,35147,299900,3,2.0,,,133729,1969,1,Garage,145,Active,,,,,299900,,,http://www.redfin.com/AL/Sterrett/7980-Sterrett-Dr-35147/home/102639725,Greater Alabama MLS,723572,RE/MAX Classic,N,Y,33.3587493561618,-86.550291836262,false
