SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,Crest Dr #2,Wilsonville,AL,35186,9500,,,Columbiana/Westover/Wilsonville,,217,,0,,49,Active,,,,,9500,,,http://www.redfin.com/AL/Wilsonville/2-Crest-Dr-35186/unit-2/home/103650142,Greater Alabama MLS,739751,RE/MAX Southern Homes-280,N,Y,33.2073124,-86.4792604,false
MLS Listing,Single Family Residential,221 Mitchell St,Wilsonville,AL,35186,142900,3,2.0,Mitchell,,40075,1978,1,Garage,35,Active,,,,,142900,2005-05-16,102500.0,http://www.redfin.com/AL/Wilsonville/221-Mitchell-St-35186/home/80755734,Greater Alabama MLS,740969,Down South Realty Inc,N,Y,33.22941,-86.480191,false
MLS Listing,Single Family Residential,285 Mcgowan Rd,Wilsonville,AL,35186,135000,4,2.0,,,43560,1960,0,,51,Active,,,,2016-02-18,137500,,,http://www.redfin.com/AL/Wilsonville/285-Mcgowan-Rd-35186/home/103636392,Greater Alabama MLS,739553,RE/MAX Advantage South,N,Y,33.2373008728027,-86.4789505004883,false
MLS Listing,Single Family Residential,105 Sunrise Cir,Wilsonville,AL,35186,139000,3,2.0,Sunrise Cove,,37026,1999,0,,63,Active,,,,2016-02-12,149000,2015-11-13,75000.0,http://www.redfin.com/AL/Wilsonville/105-Sunrise-Cir-35186/home/80766200,Greater Alabama MLS,738449,Down South Realty Inc,N,Y,33.210267,-86.495312,false
MLS Listing,Single Family Residential,497 Cove Rd,Wilsonville,AL,35186,399900,3,3.0,Parker,,104544,2001,4,Garage,42,Active,,,,,399900,2015-03-03,154000.0,http://www.redfin.com/AL/Wilsonville/497-Cove-Rd-35186/home/80756178,Greater Alabama MLS,740417,RealtySouth-Over the Mtn,N,Y,33.207943,-86.484895,false
MLS Listing,Vacant Land,145 Farmstead Rd Lot 16,Wilsonville,AL,35186,29900,,,Bulley Creek Farms,,22651,,0,,145,Active,,,,,29900,,,http://www.redfin.com/AL/Wilsonville/145-Taylor-Farm-Rd-35186/unit-16/home/101762614,Greater Alabama MLS,722313,Joseph Realty,N,Y,33.2261056,-86.5113386,false
MLS Listing,Vacant Land,2250 #0,Wilsonville,AL,35186,95000,,,,,958320,,0,,99,Active,,,,,95000,,,http://www.redfin.com/AL/Wilsonville/2250-35186/unit-0/home/102268938,Greater Alabama MLS,735969,ARC Realty,N,Y,33.2603412866592,-86.517875790596,false
MLS Listing,Single Family Residential,737 Homestead Dr,Wilsonville,AL,35186,199000,3,2.0,Homestead,,43560,1995,2,Garage,76,Active,,,,,199000,,,http://www.redfin.com/AL/Wilsonville/737-Homestead-Dr-35186/home/80707651,Greater Alabama MLS,737252,RE/MAX Southern Homes-280,N,Y,33.20242,-86.46712,false
MLS Listing,Mobile/Manufactured Home,32723,Wilsonville,AL,35186,115500,4,2.0,Wilsonville,,370260,2000,0,,110,Active,,,,,115500,,,http://www.redfin.com/AL/Wilsonville/32723-35186/home/102183644,Greater Alabama MLS,735264,Down South Realty Inc,N,Y,33.2563032209873,-86.4615447074175,false
MLS Listing,Vacant Land,0 Lot 25,Wilsonville,AL,35186,75000,,,Walters Cove,,87120,,0,,145,Active,,,,,75000,,,http://www.redfin.com/AL/Wilsonville/0-Alabama-25-35186/unit-25/home/101765895,Greater Alabama MLS,618133,"Weichert Realtors, Lowe Realty",N,Y,33.2414999,-86.4784163,false
MLS Listing,Single Family Residential,773 Old Lokey Ferry Rd,Wilsonville,AL,35186,450000,3,3.5,Wilsonville,,43560,2000,3,Garage,128,Active,,,,,450000,,,http://www.redfin.com/AL/Wilsonville/773-Old-Lokey-Ferry-Rd-35186/home/80707451,Greater Alabama MLS,734108,ARC Realty,N,Y,33.2048774,-86.4949479,false
MLS Listing,Mobile/Manufactured Home,120 Valentine Trl,Wilsonville,AL,35186,22380,2,1.0,,,58370,1970,3,Garage,145,Active,,,,2015-11-16,27240,,,http://www.redfin.com/AL/Wilsonville/120-Valentine-Trl-35186/home/101751612,Greater Alabama MLS,561671,"Weichert Realtors, Lowe Realty",N,Y,33.223909,-86.471486,false
MLS Listing,Single Family Residential,380 Howard Hill Dr,Wilsonville,AL,35186,219900,3,3.0,Homestead,,32670,1985,2,Garage,145,Active,,,,,219900,,,http://www.redfin.com/AL/Wilsonville/380-Howard-Hill-Dr-35186/home/80707016,Greater Alabama MLS,606875,Down South Realty Inc,N,Y,33.20408,-86.463934,false
MLS Listing,Single Family Residential,121 Carleton Point Ln,Wilsonville,AL,35186,325000,3,2.5,Carleton Point,,56192,1990,2,Garage,109,Active,,,,,325000,,,http://www.redfin.com/AL/Wilsonville/121-Carleton-Point-Ln-35186/home/80707130,Greater Alabama MLS,735318,Keller Williams Metro South,N,Y,33.204501,-86.475495,false
MLS Listing,Single Family Residential,103 Paradise Way,Wilsonville,AL,35186,254900,3,2.0,,,566280,1999,2,Garage,145,Active,,,,2016-01-23,259000,,,http://www.redfin.com/AL/Wilsonville/103-Paradise-Way-35186/home/80716454,Greater Alabama MLS,728261,Down South Realty Inc,N,Y,33.214411,-86.48075,false
MLS Listing,Vacant Land,147 Southhills Dr #13 (Unable to map),Wilsonville,AL,35186,5000,,,Southhills,,16117,,0,,145,Active,,,,,5000,,,http://www.redfin.com/AL/Wilsonville/147-Southhills-Dr-Unknown/unit-13/home/101764267,Greater Alabama MLS,579101,Keller Williams Metro South,N,Y,,,false
MLS Listing,Vacant Land,000 River Rd #3,Wilsonville,AL,35186,27500,,,Riverview,,20037,,0,,145,Active,,,,,27500,,,http://www.redfin.com/AL/Wilsonville/0-River-DR-35186/unit-3/home/101763719,Greater Alabama MLS,723001,Down South Realty Inc,N,Y,33.2112964,-86.480677,false
MLS Listing,Vacant Land,0 Cove Rd #8,Wilsonville,AL,35186,20000,,,Parkers,,39639,,0,,145,Active,,,,,20000,,,http://www.redfin.com/AL/Wilsonville/0-Cove-RD-35186/unit-8/home/101764873,Greater Alabama MLS,722989,Down South Realty Inc,N,Y,33.2115674,-86.4818768,false
MLS Listing,Vacant Land,00 Cove Rd #9,Wilsonville,AL,35186,20000,,,Parkers,,33541,,0,,145,Active,,,,,20000,,,http://www.redfin.com/AL/Wilsonville/0-Cove-RD-35186/unit-9/home/101764875,Greater Alabama MLS,722991,Down South Realty Inc,N,Y,33.2115674,-86.4818768,false
MLS Listing,Vacant Land,Cove Rd Lot 6,Wilsonville,AL,35186,16000,,,Parker,,,,0,,145,Active,,,,,16000,,,http://www.redfin.com/AL/Wilsonville/6-Cove-Rd-35186/unit-6/home/101765190,Greater Alabama MLS,605038,Down South Realty Inc,N,Y,33.209131,-86.485646,false
MLS Listing,Vacant Land,285 River Dr #0,Wilsonville,AL,35186,34500,,,Riverview,,,,0,,145,Active,,,,,34500,,,http://www.redfin.com/AL/Wilsonville/285-River-DR-35186/unit-0/home/101765945,Greater Alabama MLS,629747,"Trading Earth, Inc.",N,Y,33.2070904,-86.4807542,false
MLS Listing,Single Family Residential,140 Landings Ln,Wilsonville,AL,35186,239000,5,3.0,Carleton Point,,131551,1991,2,Garage,68,Active,,,,2016-03-15,249000,,,http://www.redfin.com/AL/Wilsonville/140-Landings-Ln-35186/home/80707539,Greater Alabama MLS,737993,Down South Realty Inc,N,Y,33.2092,-86.478105,false
MLS Listing,Vacant Land,0000 River Rd #4,Wilsonville,AL,35186,27500,,,Riverview,,19602,,0,,145,Active,,,,,27500,,,http://www.redfin.com/AL/Wilsonville/0-Riverwalk-DR-35186/unit-4/home/101763720,Greater Alabama MLS,723003,Down South Realty Inc,N,Y,33.240496,-86.520494,false
MLS Listing,Vacant Land,00 River Rd #2,Wilsonville,AL,35186,27500,,,Riverview,,20037,,0,,145,Active,,,,,27500,,,http://www.redfin.com/AL/Wilsonville/0-Riverwalk-DR-35186/unit-2/home/101765989,Greater Alabama MLS,722998,Down South Realty Inc,N,Y,33.240496,-86.520494,false
MLS Listing,Vacant Land,"Quail Run Cir Unit 1,6,7,8,9,10,11,12,14,17",Wilsonville,AL,35186,151000,,,Columbiana/Westover/Wilsonville,,,,0,,145,Active,,,,,151000,,,http://www.redfin.com/AL/Wilsonville/Quail-Run-Cir-35186/unit-1-6-7-8-9-10-11-12-14-17/home/101763718,Greater Alabama MLS,722541,"Realty Source, LLC",N,Y,33.224465,-86.524401,false
MLS Listing,Vacant Land,307 Paradise Way #0,Wilsonville,AL,35186,189900,,,Columbiana/Westover/Wilsonville,,438213,,0,,145,Active,,,,2015-11-18,195000,,,http://www.redfin.com/AL/Wilsonville/307-Paradise-WAY-35186/unit-0/home/101765765,Greater Alabama MLS,727062,Coldwell Banker Preferred Prop,N,Y,33.2134367,-86.4770228,false
MLS Listing,Vacant Land,1 Vick Rd #0,Wilsonville,AL,35078,129000,,,,,1782910,,0,,145,Active,,,,2015-11-04,133000,,,http://www.redfin.com/AL/Wilsonville/1-Vick-DR-35186/unit-0/home/101764331,Greater Alabama MLS,618467,RE/MAX Over the Mountain,N,Y,33.269313,-86.4676473,false
