SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,5000 Shannon Dr,Adamsville,AL,35005,119900,4,2.0,Shady Grove,,,1976,2,Garage,145,Active,,,,,119900,2000-08-01,105000.0,http://www.redfin.com/AL/Adamsville/5000-Shannon-Dr-35005/home/80891691,Greater Alabama MLS,732518,Town Square Realty,N,Y,33.592079,-87.004164,false
MLS Listing,Vacant Land,424 Forsythe St #0,Birmingham,AL,35214,6000,,,,,15855,,0,,121,Active,,,,,6000,,,http://www.redfin.com/AL/Birmingham/424-Forsythe-St-35214/unit-0/home/102083707,Greater Alabama MLS,734590,RealtySouth-Northern Office,N,Y,33.5690979,-86.920276,false
MLS Listing,Single Family Residential,3413 Oakwood Dr,Adamsville,AL,35005,159000,3,2.0,Adamsville,,156816,1965,1,,145,Active,,,,,159000,,,http://www.redfin.com/AL/Adamsville/3413-Oakwood-Dr-35005/home/80894310,Greater Alabama MLS,629193,Keller Williams Metro North,N,Y,33.580013,-86.942213,false
MLS Listing,Single Family Residential,122 Woodland Dr #7,Adamsville,AL,35005,94500,3,3.0,Woodland Estates,,19166,1963,2,Garage,145,Active,,,,,94500,,,http://www.redfin.com/AL/Adamsville/122-Woodland-Dr-35005/unit-7/home/101750434,Greater Alabama MLS,725478,Avast Realty - Birmingham,N,Y,33.588997,-86.931853,false
MLS Listing,Vacant Land,2529 Palomino Ln #0,Birmingham,AL,35214,3000,,,,,17990,,0,,145,Active,,,,,3000,,,http://www.redfin.com/AL/Birmingham/2529-Palomino-Ln-35214/unit-0/home/101764816,Greater Alabama MLS,625391,"Allen & Associates Realty, Inc",N,Y,33.584013,-86.920815,false
MLS Listing,Single Family Residential,402 6th St,Docena,AL,35060,9900,3,1.0,Docena,,6098,1930,0,,145,Active,,,,,9900,2001-09-17,32100.0,http://www.redfin.com/AL/Docena/402-6th-St-35060/home/80895238,Greater Alabama MLS,732071,"Romano Properties, LLC",N,Y,33.5578,-86.9283379,true
MLS Listing,Vacant Land,1500 Minor Pkwy #1,Birmingham,AL,35224,195000,,,,,217800,,0,,145,Active,,,,,195000,,,http://www.redfin.com/AL/Birmingham/1500-Minor-Pkwy-35224/unit-1/home/101765809,Greater Alabama MLS,440413,"Tortorigi Properties, Inc.",N,Y,33.552873,-86.927141,false
MLS Listing,Vacant Land,0 Union Grove Rd Unit 3 AC,Adamsville,AL,35005,32500,,,,,133729,,0,,145,Active,,,,,32500,,,http://www.redfin.com/AL/Adamsville/0-Union-Grove-Rd-35005/unit-3-AC/home/101764919,Greater Alabama MLS,416224,"Allen & Associates Realty, Inc",N,Y,33.593913,-86.991889,false
MLS Listing,Single Family Residential,3006 Westview Dr,Adamsville,AL,35005,97900,3,1.5,Westwood Heights,,87,1971,1,Garage,145,Active,,,,,97900,,,http://www.redfin.com/AL/Adamsville/3006-Westview-Dr-35005/home/80892472,Greater Alabama MLS,731387,RealtySouth-Over the Mtn,N,Y,33.592584,-86.928458,false
MLS Listing,Vacant Land,4224 School St #0,Adamsville,AL,35005,12500,,,Adamsville,,20037,,0,,145,Active,,,,,12500,,,http://www.redfin.com/AL/Adamsville/4224-School-St-35005/unit-0/home/101764345,Greater Alabama MLS,626930,"Alabama Realty Brokers, LLC",N,Y,33.594068,-86.946879,false
MLS Listing,Vacant Land,1101 Hillcrest Rd #0,Adamsville,AL,35005,29900,,,,,470448,,0,,145,Active,,,,,29900,,,http://www.redfin.com/AL/Adamsville/1101-Hillcrest-Rd-35005/unit-0/home/101764812,Greater Alabama MLS,625384,"Allen & Associates Realty, Inc",N,Y,33.5978543,-86.9261803,false
MLS Listing,Vacant Land,1080 Hillcrest Rd #0,Adamsville,AL,35005,12000,,,,,104544,,0,,145,Active,,,,,12000,,,http://www.redfin.com/AL/Adamsville/1080-Hillcrest-Rd-35005/unit-0/home/101764814,Greater Alabama MLS,625386,"Allen & Associates Realty, Inc",N,Y,33.597106,-86.925747,false
MLS Listing,Vacant Land,3103 Scaleybark Dr #0,Birmingham,AL,35005,2000,,,Hillcrest Estates,,28618,,0,,145,Active,,,,,2000,,,http://www.redfin.com/AL/Adamsville/3103-Scaleybark-Dr-35005/unit-0/home/101764815,Greater Alabama MLS,625390,"Allen & Associates Realty, Inc",N,Y,33.598756,-86.928979,false
MLS Listing,Vacant Land,W W Longview Dr #0,Adamsville,AL,35005,19900,,,Longview Estate,,154638,,0,,145,Active,,,,,19900,,,http://www.redfin.com/AL/Adamsville/W-W-Longview-Dr-35005/unit-0/home/101762886,Greater Alabama MLS,557248,The Property Shop,N,Y,33.601885,-86.973435,false
MLS Listing,Single Family Residential,4429 Tate Ave,Adamsville,AL,35005,39500,3,2.0,Adamsville,,30056,1950,1,,145,Active,,,,,39500,,,http://www.redfin.com/AL/Adamsville/4429-Tate-Ave-35005/home/80889994,Greater Alabama MLS,726012,Spartan Realty LLC,N,Y,33.597374,-86.948869,false
MLS Listing,Single Family Residential,112 Brown St,Adamsville,AL,35005,29500,2,1.0,Adamsville,,,1958,1,,145,Active,,,,2015-11-10,34500,,,http://www.redfin.com/AL/Adamsville/112-Brown-St-35005/home/80893661,Greater Alabama MLS,721686,RealtySouth-Northern Office,N,Y,33.594494,-86.948055,false
MLS Listing,Single Family Residential,4008 Flowers St,Adamsville,AL,35005,84500,3,1.0,Westwood Gardens,,14810,1970,1,Garage,145,Active,,,,2015-11-06,85000,,,http://www.redfin.com/AL/Adamsville/4008-Flowers-St-35005/home/80893799,Greater Alabama MLS,721053,Red Mountain Real Estate,N,Y,33.588137,-86.948382,false
MLS Listing,Single Family Residential,300 Burgundy Dr,Adamsville,AL,35005,149900,5,3.0,Westwood Acres,,20037,1972,2,Garage,145,Active,,,,2015-11-16,154900,1988-07-01,80500.0,http://www.redfin.com/AL/Adamsville/300-Burgundy-Dr-35005/home/80894074,Greater Alabama MLS,728655,Essential Properties and Int,N,Y,33.593471,-86.96055,false
MLS Listing,Single Family Residential,622 Basswood Dr,Adamsville,AL,35005,98000,3,2.0,Westwood Gardens,,15245,1975,1,Garage,113,Active,,,,,98000,,,http://www.redfin.com/AL/Adamsville/622-Basswood-Dr-35005/home/80894097,Greater Alabama MLS,735059,Keller Williams Realty Bham,N,Y,33.585713,-86.95493,false
