SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Mobile/Manufactured Home,43070,Vincent,AL,35178,99500,3,3.0,,,59677,2003,0,,75,Active,,,,,99500,,,http://www.redfin.com/AL/Vincent/43070-Vincent-Park-Rd-35178/home/102593699,Greater Alabama MLS,737364,Down South Realty Inc,N,Y,33.3890638500452,-86.4098404347897,false
MLS Listing,Ranch,1120,Vincent,AL,35178,950000,2,1.0,,,2352240,1933,0,,84,Active,,,,,950000,,,http://www.redfin.com/AL/Vincent/1120-Vincent-Park-Rd-35178/home/102359070,Greater Alabama MLS,736611,LAH - Mountain Brook Branch,N,Y,33.3710619,-86.3565968,false
MLS Listing,Mobile/Manufactured Home,365 Goodwin Cir,Vincent,AL,35178,65000,3,2.0,Hanna Farms,,44431,2008,0,,40,Active,,,,,65000,,,http://www.redfin.com/AL/Vincent/365-Goodwin-Crk-35178/home/103831800,Greater Alabama MLS,740575,Realty 2000,N,Y,33.4101799,-86.3843082,false
MLS Listing,Vacant Land,Liberty Shores Blvd Lot 4B,Vincent,AL,35178,98000,,,Liberty Shores,,121967,,0,,28,Active,,,,,98000,,,http://www.redfin.com/AL/Vincent/Liberty-Shores-Blvd-Unknown/unit-4B/home/103946460,Greater Alabama MLS,741622,RE/MAX Southern Homes-280,N,Y,33.359142,-86.350752,false
MLS Listing,Vacant Land,40990 #1,Vincent,AL,35178,5000,,,Harpersville/Sterrett/Vandiver/Vincent,,14157,,0,,100,Active,,,,,5000,,,http://www.redfin.com/AL/Vincent/40990-Vincent-Park-Rd-35178/unit-1/home/101765205,Greater Alabama MLS,735869,Realty 2000,N,Y,33.363864,-86.426467,false
MLS Listing,Vacant Land,No Address Provided,Vincent,AL,35178,59900,,,,,1001880,,0,,145,Active,,,,2016-02-17,69900,,,http://www.redfin.com/AL/Vincent/0-Vincent-Park-Rd-35178/unit-0/home/101764067,Greater Alabama MLS,606384,"Lake Homes Realty, LLC",N,Y,33.3714704,-86.3698143,false
MLS Listing,Single Family Residential,105 Amanda Dr,Vincent,AL,35178,163500,3,2.0,The Willows,,21780,2005,2,Garage,125,Active,,,,2016-02-18,168500,,,http://www.redfin.com/AL/Vincent/105-Amanda-Dr-35178/home/80763506,Greater Alabama MLS,733560,Keller Williams Realty Trussvi,N,Y,33.368572,-86.446968,false
MLS Listing,Single Family Residential,450,Vincent,AL,35178,145000,3,1.0,,,217800,1960,1,Garage,145,Active,,,,2015-12-03,160000,,,http://www.redfin.com/AL/Vincent/450-Vincent-Park-Rd-35178/home/101752156,Greater Alabama MLS,633666,Keller Williams Metro South,N,Y,33.3714806,-86.3634572,false
MLS Listing,Vacant Land,0000 Unit 2 PARCLS,Vincent,AL,35178,274500,,,,,2657160,,0,,104,Active,,,,,274500,,,http://www.redfin.com/AL/Vincent/0-Vincent-Park-Rd-35178/unit-2-PARCLS/home/102233198,Greater Alabama MLS,735643,RE/MAX Advantage South,N,Y,33.3714704,-86.3698143,false
MLS Listing,Mobile/Manufactured Home,106 Whitney Cir,Vincent,AL,35178,143900,4,2.0,Hanna Farms,,87120,2002,2,Garage,145,Active,,,,,143900,,,http://www.redfin.com/AL/Vincent/106-Whitney-Cir-35178/home/80763541,Greater Alabama MLS,728757,"Weichert Realtors, Lowe Realty",N,Y,33.408864,-86.385918,false
MLS Listing,Single Family Residential,623 Phillips Dr,Vincent,AL,35178,74900,3,1.5,,,13068,1973,1,Garage,42,Active,,,,,74900,2005-12-16,32500.0,http://www.redfin.com/AL/Vincent/623-Phillips-Dr-35178/home/80744433,Greater Alabama MLS,740351,RE/MAX Hometown Properties,N,Y,33.3850932,-86.4222538,false
MLS Listing,Vacant Land,6751 S #1,Vincent,AL,35178,50000,,,Harpersville/Sterrett/Vandiver/Vincent,,29185,,0,,111,Active,,,,,50000,,,http://www.redfin.com/AL/Vincent/6751-S-35178/unit-1/home/102179939,Greater Alabama MLS,735173,"Weichert Realtors, Lowe Realty",N,Y,33.385799407959,-86.4100036621094,false
MLS Listing,Single Family Residential,4781,Vincent,AL,35178,116500,3,1.0,,,27007,1922,0,,58,Active,,,,,116500,,,http://www.redfin.com/AL/Vincent/4781-Vincent-Park-Rd-35178/home/103249795,Greater Alabama MLS,738824,Realty 2000,N,Y,33.384555,-86.414558,false
MLS Listing,Single Family Residential,618,Vincent,AL,35178,825000,3,2.0,,,3985740,1996,2,,116,Active,,,,2016-03-12,875000,,,http://www.redfin.com/AL/Vincent/618-Vincent-Park-Rd-35178/home/102134766,Greater Alabama MLS,734667,Keller Williams Realty Trussvi,N,Y,33.3714589,-86.3606241,false
MLS Listing,Single Family Residential,1110,Vincent,AL,35178,187500,3,2.0,,,348480,1962,3,Garage,6,Active,,,,,187500,,,http://www.redfin.com/AL/Vincent/1110-Vincent-Park-Rd-35178/home/104212196,Greater Alabama MLS,744009,Realty 2000,N,Y,33.3710619,-86.3565968,false
MLS Listing,Vacant Land,lot 9 Liberty Shores Blvd #9,Vincent,AL,35178,179900,,,Harpersville/Sterrett/Vandiver/Vincent,,871200,,0,,145,Active,,,,2015-11-06,184900,,,http://www.redfin.com/AL/Vincent/lot-9-Liberty-Shores-Blvd-35178/unit-9/home/101765554,Greater Alabama MLS,724850,"Weichert, REALTORS-Access",N,Y,33.3580561869539,-86.3471212387085,false
