SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,801 Shady Oaks Ln #1,Alabaster,AL,35007,25000,,,Alabaster/Maylene/Saginaw,,27878,,0,,145,Active,,,,,25000,,,http://www.redfin.com/AL/Alabaster/801-Shady-Oak-LN-35007/unit-1/home/101765278,Greater Alabama MLS,721541,Keller Williams Metro South,N,Y,33.1872549,-86.8453953,false
MLS Listing,Single Family Residential,117 Southfield Dr,Alabaster,AL,35007,159900,3,2.0,Southfield Gardens,,8624,2012,2,Garage,145,Active,,,,,159900,2013-07-08,135000.0,http://www.redfin.com/AL/Alabaster/117-Southfield-Dr-Unknown/home/80737724,Greater Alabama MLS,731095,RE/MAX Advantage South,N,Y,33.1772927194834,-86.8214475363493,false
MLS Listing,Vacant Land,E Oakwood Dr E Unit 14.37 acres,Alabaster,AL,35007,287400,,,Alabaster/Maylene/Saginaw,,625957,,0,,100,Active,,,,,287400,,,http://www.redfin.com/AL/Alabaster/Oakwood-Dr-35007/unit-1437-acres/home/102265440,Greater Alabama MLS,735889,Pace Properties,N,Y,33.2194404602051,-86.7940292358398,false
MLS Listing,Vacant Land,16 Mitch Ln Lot 16,Alabaster,AL,35007,19500,,,Scottsdale,,12196,,0,,145,Active,,,,,19500,,,http://www.redfin.com/AL/Alabaster/16-Mitch-Ln-35007/unit-16/home/101763563,Greater Alabama MLS,550550,gkhouses.com,N,Y,33.2045403,-86.8200607,false
MLS Listing,Vacant Land,17 Mitch Ln Lot 17,Alabaster,AL,35007,19500,,,Scottsdale,,11325,,0,,145,Active,,,,,19500,,,http://www.redfin.com/AL/Alabaster/17-Mitch-Ln-35007/unit-17/home/101763564,Greater Alabama MLS,550555,gkhouses.com,N,Y,33.2045403,-86.8200607,false
MLS Listing,Vacant Land,133 Widgeon Dr #13,Alabaster,AL,35007,339900,,,Alabaster/Maylene/Saginaw,,13068,,0,,145,Active,,,,,339900,,,http://www.redfin.com/AL/Alabaster/133-Widgeon-DR-35007/unit-13/home/101763746,Greater Alabama MLS,728782,Keller Williams Metro South,N,Y,33.2083167,-86.8189053,false
MLS Listing,Vacant Land,13 Mitch Ln Lot 13,Alabaster,AL,35007,28500,,,Scottsdale,,19166,,0,,145,Active,,,,,28500,,,http://www.redfin.com/AL/Alabaster/13-Mitch-Ln-35007/unit-13/home/101763772,Greater Alabama MLS,550541,gkhouses.com,N,Y,33.2045403,-86.8200607,false
MLS Listing,Vacant Land,14 Mitch Ln Lot 14,Alabaster,AL,35007,28500,,,Scottsdale,,16552,,0,,145,Active,,,,,28500,,,http://www.redfin.com/AL/Alabaster/14-Mitch-Ln-35007/unit-14/home/101763773,Greater Alabama MLS,550548,gkhouses.com,N,Y,33.2045403,-86.8200607,false
MLS Listing,Single Family Residential,1313 Allen Dr,Alabaster,AL,35007,65900,2,1.0,,,130,1971,0,,112,Active,,,,,65900,,,http://www.redfin.com/AL/Alabaster/1313-Allen-Dr-35007/home/80702823,Greater Alabama MLS,735153,RE/MAX First Choice,N,Y,33.2603104,-86.80455,false
MLS Listing,Townhouse,1604 King James Dr,Alabaster,AL,35007,89000,2,1.5,Kingwood Townhomes,,,1995,0,,99,Active,,,,,89000,2013-09-13,75000.0,http://www.redfin.com/AL/Alabaster/1604-King-James-Dr-35007/unit-34/home/80752565,Greater Alabama MLS,735985,Morgan Realty,N,Y,33.266932,-86.821763,false
MLS Listing,Vacant Land,205 Fox Valley Highlands Dr #6,Maylene,AL,35114,100000,,,Fox Valley Highlands,,310147,,0,,145,Active,,,,,100000,,,http://www.redfin.com/AL/Alabaster/205-Fox-Valley-Highland-Dr-35114/unit-6/home/101763628,Greater Alabama MLS,617293,Keller Williams Metro South,N,Y,33.2437431,-86.8705239,false
MLS Listing,Single Family Residential,213 Forest Pkwy,Alabaster,AL,35007,189900,3,2.5,Park Forest,,,1993,2,Garage,145,Active,,,,,189900,,,http://www.redfin.com/AL/Alabaster/213-Forest-Pkwy-35007/home/80710975,Greater Alabama MLS,727520,RE/MAX Advantage South,N,Y,33.179798,-86.829804,false
MLS Listing,Vacant Land,No Address Provided,Alabaster,AL,35007,23900,,,,,87120,,0,,145,Active,,,,,23900,,,http://www.redfin.com/AL/Alabaster/Unknown-Unknown/unit-2-AC/home/101765873,Greater Alabama MLS,599415,RealtySouth-Inverness Office,N,Y,33.260506,-86.806374,false
For-Sale-by-Owner Listing,Single Family Residential,304 Stoney Trl,Alabaster,AL,35114,191000,4,2.0,Maylene,2020,14375,2006,2,Garage,196,Active,,,,,191000,,,http://www.redfin.com/AL/Alabaster/304-Stoney-Trl-35114/home/80734235,ForSaleByOwner.com,24000324,ForSaleByOwner.com,N,Y,33.248284,-86.847643,false
MLS Listing,Townhouse,125 Timberleaf Cir,Alabaster,AL,35007,103900,2,2.0,Timberleaf,,4356,1997,0,,145,Active,,,,,103900,2005-03-18,101500.0,http://www.redfin.com/AL/Alabaster/125-Timberleaf-Cir-35007/home/80752479,Greater Alabama MLS,723709,Keller Williams Metro South,N,Y,33.259845,-86.803849,false
MLS Listing,Single Family Residential,110 6th St SW,Alabaster,AL,35007,109900,3,1.5,Mcmillian,,,1977,0,,145,Active,,,,2015-11-18,114900,,,http://www.redfin.com/AL/Alabaster/110-6th-St-SW-35007/home/80757130,Greater Alabama MLS,722635,Champion Realty,N,Y,33.243455,-86.823389,false
MLS Listing,Vacant Land,0 Smokey Rd #0,Alabaster,AL,35007,140000,,,Alabaster/Maylene/Saginaw,,313632,,0,,114,Active,,,,,140000,,,http://www.redfin.com/AL/Alabaster/0-Smokey-Rd-35007/unit-0/home/102151969,Greater Alabama MLS,734954,Keller Williams Metro South,N,Y,33.2012409,-86.8270733,false
MLS Listing,Single Family Residential,124 lot 7 Wisteria Dr,Alabaster,AL,35007,309900,5,4.5,Wisteria,,10018,2015,2,Garage,145,Active,,,,,309900,,,http://www.redfin.com/AL/Alabaster/124-Wisteria-DR-35007/unit-7/home/101750174,Greater Alabama MLS,629527,RealtySouth-Shelby Office,N,Y,33.2081072,-86.8223608,false
MLS Listing,Single Family Residential,2004 Butler Rd,Alabaster,AL,35007,199900,3,2.0,Alabaster,,108900,1978,0,,145,Active,,,,,199900,,,http://www.redfin.com/AL/Alabaster/2004-Butler-Rd-35007/home/80711372,Greater Alabama MLS,624759,RE/MAX First Choice,N,Y,33.19931,-86.829195,false
MLS Listing,Single Family Residential,3021 N Grande View Cv,Maylene,AL,35114,335000,4,3.5,Grande View,,26571,2003,3,Garage,145,Active,,,,,335000,,,http://www.redfin.com/AL/Alabaster/3021-N-Grande-View-Cv-35114/home/80718521,Greater Alabama MLS,732542,Keller Williams Metro South,N,Y,33.208037,-86.849875,false
For-Sale-by-Owner Listing,Single Family Residential,197 Grande View Pkwy,Alabaster,AL,35114,269999,4,3.0,Maylene,4321,15246,1998,2,Garage,132,Active,,,,,269999,,,http://www.redfin.com/AL/Alabaster/197-Grande-View-Pkwy-35114/home/80742254,ForSaleByOwner.com,24046250,ForSaleByOwner.com,N,Y,33.202311,-86.855214,false
MLS Listing,Single Family Residential,125 Gardenside Dr,Alabaster,AL,35115,149900,3,2.0,Grande View,,,2001,2,Garage,145,Active,,,,,149900,2004-06-29,129900.0,http://www.redfin.com/AL/Alabaster/125-Gardenside-Dr-35007/home/80766972,Greater Alabama MLS,633456,Century 21 Advantage,N,Y,33.192714,-86.856206,false
MLS Listing,Vacant Land,417 Acer Trl Lot 16,Alabaster,AL,35007,60000,,,Maple Ridge,,44431,,0,,145,Active,,,,,60000,,,http://www.redfin.com/AL/Alabaster/417-Acer-Trl-35007/unit-16/home/101763511,Greater Alabama MLS,729201,Keller Williams Metro South,N,Y,33.192684,-86.8421872,false
MLS Listing,Vacant Land,328 Logos Trc #36,Alabaster,AL,35007,59900,,,Alabaster/Maylene/Saginaw,,43995,,0,,135,Active,,,,,59900,,,http://www.redfin.com/AL/Alabaster/328-Logos-Trce-35007/unit-36/home/101834816,Greater Alabama MLS,733641,Keller Williams Metro South,N,Y,33.1923072,-86.8476416,false
MLS Listing,Single Family Residential,3469 Smokey Rd,Alabaster,AL,35007,484000,4,4.5,Highpoint,,217800,1992,8,Garage,145,Active,,,,,484000,,,http://www.redfin.com/AL/Alabaster/3469-Smokey-Rd-35007/home/80720278,Greater Alabama MLS,723557,RE/MAX Southern Homes-280,N,Y,33.169613,-86.79817,false
MLS Listing,Single Family Residential,121 Star View Cir,Alabaster,AL,35007,139900,3,2.0,Stagecoach Trace,,16552,2001,4,Garage,145,Active,,,,,139900,,,http://www.redfin.com/AL/Alabaster/121-Star-View-Cir-35007/home/101750470,Greater Alabama MLS,613949,ARC Realty,N,Y,33.170478,-86.81153,false
MLS Listing,Single Family Residential,1214 Bunting Dr,Alabaster,AL,35007,171500,3,2.0,Meadowlark,,,1987,2,Garage,145,Active,,,,,171500,,,http://www.redfin.com/AL/Alabaster/1214-Bunting-Dr-35007/home/80702735,Greater Alabama MLS,726827,Joseph Realty,N,Y,33.259715,-86.822602,false
For-Sale-by-Owner Listing,Single Family Residential,1121 Elm Dr,Alabaster,AL,35007,194500,5,3.0,Alabaster,1732,,1990,2,Garage,196,Active,,,,,194500,2013-08-15,187500.0,http://www.redfin.com/AL/Alabaster/1121-Elm-Dr-35007/home/80753842,ForSaleByOwner.com,24024799,ForSaleByOwner.com,N,Y,33.264458,-86.836151,false
MLS Listing,Vacant Land,309 Fox Valley Highlands Cir #11,Maylene,AL,35114,84000,,,Fox Valley Highlands,,273992,,0,,145,Active,,,,,84000,,,http://www.redfin.com/AL/Unknown/309-Fox-Valley-Highlands-Cir-35114/unit-11/home/101763629,Greater Alabama MLS,617294,Keller Williams Metro South,N,Y,33.2420707,-86.8703911,false
MLS Listing,Vacant Land,305 Fox Valley Highlands Cir #12,Maylene,AL,35114,127000,,,Fox Valley Highlands,,380278,,0,,145,Active,,,,,127000,,,http://www.redfin.com/AL/Unknown/305-Fox-Valley-Highlands-Cir-35114/unit-12/home/101763630,Greater Alabama MLS,617295,Keller Williams Metro South,N,Y,33.2428513,-86.8702222,false
MLS Listing,Single Family Residential,116 Buckskin Trc,Alabaster,AL,35007,410000,4,3.5,Saddle Lake Farms,,56628,1999,2,Garage,145,Active,,,,,410000,,,http://www.redfin.com/AL/Alabaster/116-Buckskin-Trce-35007/home/80708538,Greater Alabama MLS,721491,Advanced Realty,N,Y,33.232127,-86.768492,false
MLS Listing,Single Family Residential,72 Ridgeview Lake Rd,Alabaster,AL,35007,250000,5,2.5,,,87120,1991,2,Garage,145,Active,,,,,250000,,,http://www.redfin.com/AL/Alabaster/72-Ridgeview-Lake-Rd-35007/home/80708572,Greater Alabama MLS,615568,Keller Williams Metro South,N,Y,33.235781,-86.772584,false
MLS Listing,Single Family Residential,132 Victoria Sta,Maylene,AL,35114,167900,3,2.5,Sterling Gate Victoria Station,,12196,2000,2,Garage,145,Active,,,,,167900,,,http://www.redfin.com/AL/Alabaster/132-Victoria-Sta-35114/home/80766792,Greater Alabama MLS,728324,RealtySouth-Shelby Office,N,Y,33.237685,-86.850412,false
MLS Listing,Vacant Land,Butler Rd Unit 2.5 AC,Alabaster,AL,35007,125000,,,,,108900,,0,,145,Active,,,,,125000,,,http://www.redfin.com/AL/Alabaster/Butler-Rd-35007/unit-25-AC/home/101765892,Greater Alabama MLS,617710,RE/MAX First Choice,N,Y,33.197662,-86.844901,false
MLS Listing,Single Family Residential,1200 Camp Branch Rd,Alabaster,AL,35007,369500,3,2.0,Camp Branch,,331056,1985,3,Garage,145,Active,,,,,369500,,,http://www.redfin.com/AL/Alabaster/1200-Camp-Branch-Rd-35007/home/80708593,Greater Alabama MLS,731077,Don Murphy Real Estate Co,N,Y,33.224382,-86.756627,false
