SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,159 Brookwood Rd,Ashland,AL,35160,99900,3,2.0,,,159865,1993,2,Garage,60,Active,,,,2016-02-19,104900,,,http://www.redfin.com/AL/Ashland/159-Brookwood-Ave-36251/home/95223090,Greater Alabama MLS,738701,AlaHomes Realty,N,Y,33.2880455,-85.8167348,false
MLS Listing,Single Family Residential,9152,Ashland,AL,36251,99500,3,1.0,,,130680,1961,1,,86,Active,,,,,99500,,,http://www.redfin.com/AL/Ashland/9152-Highway-9-36251/home/102313194,Greater Alabama MLS,736524,SonUp Real Estate,N,Y,33.2719389,-85.8362697,false
MLS Listing,Single Family Residential,203 4th St,Ashland,AL,36251,45000,4,2.0,,,21780,1961,4,Garage,145,Active,,,,2015-12-31,54000,,,http://www.redfin.com/AL/Ashland/203-4th-St-NW-36251/home/80679294,Greater Alabama MLS,634322,AlaHomes Realty,N,Y,33.2858102,-85.8447621,false
MLS Listing,Single Family Residential,269 3rd Ave SW,Ashland,AL,36251,164900,2,2.0,,,43560,1962,0,,93,Active,,,,,164900,,,http://www.redfin.com/AL/Ashland/269-3rd-Ave-S-36251/home/102285495,Greater Alabama MLS,736298,Southeastern Realty & Auction,N,Y,33.2714126,-85.8413292,false
MLS Listing,Single Family Residential,179 Eagle Ln,Ashland,AL,36251,124999,3,2.0,,,174240,1996,0,,145,Active,,,,,124999,,,http://www.redfin.com/AL/Ashland/179-Eagle-Ln-36251/home/101750258,Greater Alabama MLS,725312,Southeastern Realty & Auction,N,Y,33.2646903,-85.8173421,false
MLS Listing,Single Family Residential,11 Richmond Ridge Rd,Ashland,AL,36251,110000,3,2.0,Richmond Ridge,,43560,2008,0,,50,Active,,,,,110000,,,http://www.redfin.com/AL/Ashland/11-Richmond-Ridge-Rd-36251/home/95223565,Greater Alabama MLS,739597,"Mountain Streams Realty, Inc.",N,Y,33.2392175,-85.8400883,false
MLS Listing,Vacant Land,Thomas Ln Unit 4 AC,Ashland,AL,36251,15000,,,,,174240,,0,,145,Active,,,,2016-02-29,20000,,,http://www.redfin.com/AL/Ashland/Thomas-Ln-36251/unit-4-AC/home/101762920,Greater Alabama MLS,596806,"Cheaha Realty Services, LLC",N,Y,33.28436,-85.866815,false
MLS Listing,Vacant Land,No Address Provided,Ashland,AL,36251,42900,,,,,1742400,,0,,145,Active,,,,,42900,,,http://www.redfin.com/AL/Ashland/N-36251/unit-40-ACRES/home/101763142,Greater Alabama MLS,585491,"Cheaha Realty Services, LLC",N,Y,33.2739716,-85.8357697,false
MLS Listing,Vacant Land,3.1 acres Thomas Ln Lot 2,Ashland,AL,36251,14900,,,Clay County,,135036,,0,,145,Active,,,,,14900,,,http://www.redfin.com/AL/Ashland/3-1-acres-Thomas-Ln-36251/unit-2/home/101764194,Greater Alabama MLS,728924,"Cheaha Realty Services, LLC",N,Y,33.2829390631964,-85.8651552200317,false
MLS Listing,Vacant Land,3.27 acres Thomas Ln Lot 3,Ashland,AL,36251,14900,,,Clay County,,142441,,0,,145,Active,,,,,14900,,,http://www.redfin.com/AL/Ashland/3-27-acres-Thomas-Ln-36251/unit-3/home/101764196,Greater Alabama MLS,728928,"Cheaha Realty Services, LLC",N,Y,33.2829390631964,-85.8651552200317,false
MLS Listing,Vacant Land,3.05 acres Thomas Ln Lot 4,Ashland,AL,36251,14900,,,Clay County,,132858,,0,,145,Active,,,,,14900,,,http://www.redfin.com/AL/Ashland/3-05-acres-Thomas-Ln-36251/unit-4/home/101764197,Greater Alabama MLS,728931,"Cheaha Realty Services, LLC",N,Y,33.2829390631964,-85.8651552200317,false
MLS Listing,Vacant Land,3.77 acres Thomas Ln Lot 5,Ashland,AL,36251,15900,,,Clay County,,164221,,0,,145,Active,,,,,15900,,,http://www.redfin.com/AL/Ashland/3-77-acres-Thomas-Ln-36251/unit-5/home/101764198,Greater Alabama MLS,728933,"Cheaha Realty Services, LLC",N,Y,33.2829390631964,-85.8651552200317,false
MLS Listing,Vacant Land,4.13 acres Thomas Ln Lot 6,Ashland,AL,36251,16900,,,Clay County,,179902,,0,,145,Active,,,,,16900,,,http://www.redfin.com/AL/Ashland/4-13-acres-Thomas-Ln-36251/unit-6/home/101764200,Greater Alabama MLS,728935,"Cheaha Realty Services, LLC",N,Y,33.2829390631964,-85.8651552200317,false
MLS Listing,Vacant Land,3.91 acres Thomas Ln Lot 9,Ashland,AL,36251,16900,,,Clay County,,170319,,0,,145,Active,,,,,16900,,,http://www.redfin.com/AL/Ashland/3-91-acres-Thomas-Ln-36251/unit-9/home/101764202,Greater Alabama MLS,728937,"Cheaha Realty Services, LLC",N,Y,33.2831543187806,-85.8641681671142,false
MLS Listing,Vacant Land,3.73 acres Thomas Ln Lot 10,Ashland,AL,36251,15900,,,Clay County,,162478,,0,,145,Active,,,,,15900,,,http://www.redfin.com/AL/Ashland/3-73-acres-Thomas-Ln-36251/unit-10/home/101764203,Greater Alabama MLS,728938,"Cheaha Realty Services, LLC",N,Y,33.2831543187806,-85.8641681671142,false
MLS Listing,Vacant Land,4.17 acres Thomas Ln Lot 8,Ashland,AL,36251,16900,,,Clay County,,135036,,0,,145,Active,,,,,16900,,,http://www.redfin.com/AL/Ashland/4-17-acres-Thomas-Ln-36251/unit-8/home/101764201,Greater Alabama MLS,728936,"Cheaha Realty Services, LLC",N,Y,33.2822574170109,-85.8639965057373,false
MLS Listing,Single Family Residential,1625 Owens Rd,Ashland,AL,36251,147000,3,2.5,,,43560,2000,0,,145,Active,,,,2016-03-04,164995,,,http://www.redfin.com/AL/Ashland/1625-Owens-Rd-36251/home/95223453,Greater Alabama MLS,729564,SonUp Real Estate,N,Y,33.2492745,-85.8310216,false
MLS Listing,Single Family Residential,40888,Ashland,AL,36251,239000,4,4.0,,,217800,1915,1,,145,Active,,,,,239000,,,http://www.redfin.com/AL/Ashland/40888-Highway-9-36251/home/101750372,Greater Alabama MLS,731378,"Mountain Streams Realty, Inc.",N,Y,33.2719914,-85.8362692,false
MLS Listing,Vacant Land,0 Unit 96.6 AC,Ashland,AL,36251,132825,,,,,4207896,,0,,145,Active,,,,,132825,,,http://www.redfin.com/AL/Ashland/0-Ashland-Gardens-Rd-36251/unit-966-AC/home/101763795,Greater Alabama MLS,603594,"Cheaha Realty Services, LLC",N,Y,33.2824685,-85.8191526,false

