SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,191 Pineview Cir,Blountsville,AL,35031,109900,3,1.5,,,,1970,1,,5,Active,,,,,109900,,,http://www.redfin.com/AL/Blountsville/191-Pineview-Cir-35031/home/103631385,Greater Alabama MLS,744219,"M & R Realty, LLC",N,Y,34.086873,-86.584294,false
MLS Listing,Single Family Residential,161 Pineview Cir,Blountsville,AL,35031,99500,2,2.0,Blountsville,,,1972,1,Garage,145,Active,,,,2016-01-27,109000,,,http://www.redfin.com/AL/Blountsville/161-Pineview-Cir-35031/home/101748841,Greater Alabama MLS,727218,"Blount Realty Team, Inc.",N,Y,34.086592,-86.584658,false
MLS Listing,Vacant Land,No Address Provided,Blountsville,AL,35031,180000,,,BlountSprings/Blountsville/Hayden,,2308680,,0,,14,Active,,,,,180000,,,http://www.redfin.com/AL/Blountsville/Unknown-35031/unit-53-acres/home/104061792,Greater Alabama MLS,743138,Lovejoy Realty,N,Y,34.090881,-86.604694,false
MLS Listing,Single Family Residential,378 Bright Dr,Blountsville,AL,35031,149900,5,4.0,Blountsville,,17424,1999,0,,13,Active,,,,,149900,2015-12-17,51900.0,http://www.redfin.com/AL/Blountsville/378-Bright-Dr-35031/home/101748552,Greater Alabama MLS,743216,Champion Realty,N,Y,34.0834114,-86.5808506,false
MLS Listing,Single Family Residential,511 College St,Blountsville,AL,35031,45000,3,2.0,,,,1999,0,,145,Active,,,,2016-02-23,66900,,,http://www.redfin.com/AL/Blountsville/511-College-St-35031/home/101751466,Greater Alabama MLS,620695,"Blount Realty Team, Inc.",N,Y,34.0814136,-86.5894614,false
MLS Listing,Single Family Residential,68893 Main St S,Blountsville,AL,35031,99900,6,3.5,,,,1900,3,Garage,145,Active,,,,,99900,,,http://www.redfin.com/AL/Blountsville/68893-Main-St-S-35031/home/80794231,Greater Alabama MLS,622166,Webb & Company Realty,N,Y,34.0795977,-86.5909642,false
MLS Listing,Vacant Land,Main St #10,Blountsville,AL,35031,12500,,,Ratliff,,,,0,,145,Active,,,,,12500,,,http://www.redfin.com/AL/Blountsville/Main-St-35031/unit-10/home/103682197,Greater Alabama MLS,633586,"Blount Realty Team, Inc.",N,Y,34.0743824837557,-86.5893575917071,false
MLS Listing,Single Family Residential,337 Ketchum Rd,Blountsville,AL,35031,59900,2,1.0,,,17424,1970,0,,41,Active,,,,,59900,,,http://www.redfin.com/AL/Blountsville/337-Ketchum-Rd-35031/home/80793953,Greater Alabama MLS,740528,Sweet Homelife,N,Y,34.0912624,-86.5993192,false
For-Sale-by-Owner Listing,Single Family Residential,65643 U.S. Highway 231 (Unable to map),Blountsville,AL,35031,160000,3,2.5,Blountsville,1900,126324,1991,0,,76,Active,,,,,160000,,,http://www.redfin.com/AL/Blountsville/65643-U-S-Highway-231-35031/home/102547674,ForSaleByOwner.com,24054130,ForSaleByOwner.com,N,Y,,,false
MLS Listing,Single Family Residential,69425 Main St,Blountsville,AL,35031,135020,2,2.0,Blountsville,,34848,1954,2,Garage,145,Active,,,,,135020,,,http://www.redfin.com/AL/Blountsville/69425-Main-St-35031/home/101748965,Greater Alabama MLS,634763,"Blount Realty Team, Inc.",N,Y,34.0867536,-86.5893504,false
MLS Listing,Single Family Residential,231 Water St,Blountsville,AL,35031,39900,3,1.0,Blountsville,,,1920,1,Garage,145,Active,,,,,39900,,,http://www.redfin.com/AL/Blountsville/231-Water-St-35031/home/80793719,Greater Alabama MLS,610046,"Blount Realty Team, Inc.",N,Y,34.0821932,-86.5918445,false
MLS Listing,Vacant Land,Unable to map,Blountsville,AL,35031,89900,,,,,1147806,,0,,145,Active,,,,,89900,,,http://www.redfin.com/AL/Blountsville/Unknown-35031/unit-26-AC/home/101762868,Greater Alabama MLS,455498,RealtySouth Northeast Alabama,N,Y,,,false
For-Sale-by-Owner Listing,Single Family Residential,7509 County Highway 47,Blountsville,AL,35031,132000,3,2.0,Blountsville,1600,,2014,1,Garage,196,Active,,,,,132000,,,http://www.redfin.com/AL/Blountsville/7509-County-Highway-47-35031/home/97899837,ForSaleByOwner.com,23987763,ForSaleByOwner.com,N,Y,34.083369,-86.593846,false

