SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,0 Chigger Ridge Rd #0,Cleveland,AL,35049,25000,,,Cleveland/LocustFork/Oneonta,,43560,,0,,145,Active,,,,,25000,,,http://www.redfin.com/AL/Cleveland/0-Chigger-Ridge-RD-35049/unit-0/home/101763051,Greater Alabama MLS,729041,Keller Williams Metro North,N,Y,34.009261,-86.5795498,false
MLS Listing,Vacant Land,0 #16 (Unable to map),Cleveland,AL,35049,65000,,,,,696960,,0,,145,Active,,,,2016-02-12,100000,,,http://www.redfin.com/AL/Cleveland/521-Park-Rd-35049/unit-16/home/101765775,Greater Alabama MLS,729615,RealtySouth-Oneonta/Blount Co,N,Y,,,false
MLS Listing,Vacant Land,No Address Provided,Cleveland,AL,35049,45000,,,Cleveland,,169884,,0,,145,Active,,,,2016-01-25,49000,,,http://www.redfin.com/AL/Cleveland/Unknown-Unknown/unit-39/home/101766594,Greater Alabama MLS,628297,RealtySouth-Oneonta/Blount Co,N,Y,33.9873695,-86.5872498,false
MLS Listing,Single Family Residential,161 Five Points Rd,Cleveland,AL,35049,49900,3,1.0,,,17424,1922,1,,64,Active,,,,,49900,,,http://www.redfin.com/AL/Cleveland/161-Five-Points-Rd-35049/home/102897976,Greater Alabama MLS,738322,RealtySouth-Oneonta/Blount Co,N,Y,33.9934357,-86.5746298,false
MLS Listing,Single Family Residential,5239,Cleveland,AL,35049,47500,3,1.0,,,104544,1950,0,,71,Active,,,,,47500,,,http://www.redfin.com/AL/Cleveland/5239-35049/home/102793406,Greater Alabama MLS,737687,Keller Williams Realty Trussvi,N,Y,33.9791789962765,-86.5764544524718,false
MLS Listing,Single Family Residential,2889 Swann Bridge Rd,Cleveland,AL,35049,169900,3,1.0,Cleveland,,43560,1954,2,Garage,145,Active,,,,2015-12-31,177900,,,http://www.redfin.com/AL/Cleveland/2889-Swann-Bridge-Rd-35049/home/101751220,Greater Alabama MLS,731680,"Blount Realty Team, Inc.",N,Y,33.9946852,-86.5817766,false
MLS Listing,Single Family Residential,526 Tuscaloosa Pike,Cleveland,AL,35049,174900,3,2.0,,,43560,2000,1,Garage,145,Active,,,,,174900,,,http://www.redfin.com/AL/Cleveland/526-Tuscaloosa-Pike-35049/home/80802387,Greater Alabama MLS,720251,RealtySouth-Oneonta/Blount Co,N,Y,33.9912898,-86.5840717,false
MLS Listing,Vacant Land,River Heights Dr #3,Cleveland,AL,35049,24900,,,River Heights,,34848,,0,,145,Active,,,,,24900,,,http://www.redfin.com/AL/Cleveland/3-River-Heights-Dr-35049/unit-3/home/101765524,Greater Alabama MLS,635484,RealtySouth-Oneonta/Blount Co,N,Y,34.010629,-86.58133,false
MLS Listing,Vacant Land,Mercedes Ln Lot 5,Cleveland,AL,35049,19900,,,River Heights,,21780,,0,,145,Active,,,,,19900,,,http://www.redfin.com/AL/Cleveland/Mercedes-Ln-35049/unit-5/home/101765526,Greater Alabama MLS,635494,RealtySouth-Oneonta/Blount Co,N,Y,34.011702,-86.580839,false
MLS Listing,Vacant Land,Mercedes Ln Lot 10,Cleveland,AL,35049,19900,,,River Heights,,22215,,0,,145,Active,,,,,19900,,,http://www.redfin.com/AL/Cleveland/Mercedes-Ln-35049/unit-10/home/101765728,Greater Alabama MLS,635500,RealtySouth-Oneonta/Blount Co,N,Y,34.011702,-86.580839,false
MLS Listing,Vacant Land,River Heights Dr #15,Cleveland,AL,35049,24900,,,River Heights,,43995,,0,,145,Active,,,,,24900,,,http://www.redfin.com/AL/Cleveland/15-River-Heights-Dr-35049/unit-15/home/101765729,Greater Alabama MLS,635511,RealtySouth-Oneonta/Blount Co,N,Y,34.010629,-86.58133,false
MLS Listing,Vacant Land,River Heights Dr Lot 16,Cleveland,AL,35049,29900,,,River Heights,,41382,,0,,145,Active,,,,,29900,,,http://www.redfin.com/AL/Cleveland/16-River-Heights-Dr-35049/unit-16/home/101765964,Greater Alabama MLS,635522,RealtySouth-Oneonta/Blount Co,N,Y,34.010629,-86.58133,false
MLS Listing,Vacant Land,Mercedes Ln Lot 9,Cleveland,AL,35049,19900,,,River Heights,,28314,,0,,145,Active,,,,,19900,,,http://www.redfin.com/AL/Cleveland/Mercedes-Ln-35049/unit-9/home/101765968,Greater Alabama MLS,635546,RealtySouth-Oneonta/Blount Co,N,Y,34.011702,-86.580839,false
MLS Listing,Vacant Land,River Heights Dr Lot 1,Cleveland,AL,35049,24900,,,River Heights,,39204,,0,,145,Active,,,,,24900,,,http://www.redfin.com/AL/Cleveland/1-River-Heights-Dr-35049/unit-1/home/101765969,Greater Alabama MLS,635551,RealtySouth-Oneonta/Blount Co,N,Y,34.010629,-86.58133,false

