SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,4223 Levine Ave Unit 5ACRES,Graysville,AL,35073,25000,,,,,217800,,0,,91,Active,,,,,25000,,,http://www.redfin.com/AL/Graysville/4223-Levine-Ave-35073/unit-5ACRES/home/102290600,Greater Alabama MLS,736410,Weaver Land & Realty Inc.,N,Y,33.7082965,-86.9830418,false
MLS Listing,Vacant Land,1105 Main St #1,Graysville,AL,35063,128000,,,Graysville,,1045440,,0,,145,Active,,,,,128000,,,http://www.redfin.com/AL/Graysville/1105-Main-St-35073/unit-1/home/101762865,Greater Alabama MLS,308834,RE/MAX Classic,N,Y,33.6316198,-86.9295117,false
MLS Listing,Single Family Residential,135 1st St NW,Graysville,AL,35073,70000,3,2.0,Graysville,,14374,1952,1,,145,Active,,,,2015-11-24,73000,,,http://www.redfin.com/AL/Graysville/135-1st-St-NW-35073/home/80888237,Greater Alabama MLS,632748,Century 21 Meyer Real Estate,N,Y,33.631133,-86.973079,false
MLS Listing,Single Family Residential,230 SE 12th Ave,Graysville,AL,35073,70000,3,2.0,Yerby,,24829,1980,2,Garage,145,Active,,,,,70000,,,http://www.redfin.com/AL/Graysville/230-12th-Ave-SE-35073/home/80888575,Greater Alabama MLS,731958,Keller Williams Metro South,N,Y,33.615868,-86.96644,false
MLS Listing,Single Family Residential,259 Portercrest Rd,Graysville,AL,35073,63000,3,2.0,Sherwood Hills,,,1970,2,Garage,145,Active,,,,,63000,,,http://www.redfin.com/AL/Graysville/259-Portercrest-Rd-35073/home/80889310,Greater Alabama MLS,625859,RE/MAX Southern Homes,N,Y,33.625031,-86.979549,false
MLS Listing,Single Family Residential,411 7th St SW,Graysville,AL,35073,149900,4,2.5,Sherwood Hills,,50965,1965,2,Garage,145,Active,,,,,149900,,,http://www.redfin.com/AL/Graysville/411-7th-St-SW-35073/home/80889343,Greater Alabama MLS,632763,RE/MAX Elite,N,Y,33.624517,-86.984896,false
MLS Listing,Vacant Land,183 3rd Ave SE #0,Graysville,AL,35073,17000,,,Graysville,,65340,,0,,145,Active,,,,,17000,,,http://www.redfin.com/AL/Graysville/183-3rd-Ave-SE-35073/unit-0/home/101764686,Greater Alabama MLS,389832,RealtySouth-Over the Mtn,N,Y,33.626086,-86.970064,false
MLS Listing,Vacant Land,50 SE 4th Ave #0,Graysville,AL,35073,4000,,,Adamsville/Forestdale/Graysville/PrattCity,,5401,,0,,135,Active,,,,,4000,,,http://www.redfin.com/AL/Graysville/50-4th-Ave-SE-35073/unit-0/home/101836425,Greater Alabama MLS,733699,Keller Williams Metro North,N,Y,33.625882,-86.971983,false
MLS Listing,Vacant Land,277 7th Ave SW #1,Graysville,AL,35073,20200,,,Adamsville/Forestdale/Graysville/PrattCity,,304920,,0,,83,Active,,,,,20200,,,http://www.redfin.com/AL/Graysville/277-7th-Ave-SW-35073/unit-1/home/102393341,Greater Alabama MLS,736698,Southern Homes Realty,N,Y,33.619951,-86.977169,false
MLS Listing,Single Family Residential,165 Portercrest Rd,Graysville,AL,35073,129900,3,2.5,Sherwood Hills,,26136,1973,3,Garage,69,Active,,,,,129900,2014-07-14,114250.0,http://www.redfin.com/AL/Graysville/165-Portercrest-Rd-35073/home/80889271,Greater Alabama MLS,737833,Keller Williams Realty Trussvi,N,Y,33.624486,-86.979034,false
MLS Listing,Single Family Residential,4542 Palace Rd,Graysville,AL,35073,88000,3,1.0,Graysville,,159429,1935,2,,145,Active,,,,2015-11-04,94900,,,http://www.redfin.com/AL/Graysville/4542-Palace-Rd-35073/home/80847335,Greater Alabama MLS,728116,Keller Williams Metro North,N,Y,33.7076149,-86.990678,false
MLS Listing,Single Family Residential,3791 Cherry Ave,Graysville,AL,35214,50000,2,1.0,,,32670,1940,0,,140,Active,,,,,50000,2008-03-12,46411.0,http://www.redfin.com/AL/Birmingham/3791-Cherry-Ave-35214/home/80888392,Greater Alabama MLS,631136,RealtySouth-Northern Office,N,Y,33.621365,-86.9271909,false
MLS Listing,Single Family Residential,147 N Main St,Graysville,AL,35073,99900,3,2.0,,,9147,1974,2,,145,Active,,,,,99900,,,http://www.redfin.com/AL/Graysville/147-Main-St-N-35073/home/80888238,Greater Alabama MLS,727301,Cedar Crest Realty,N,Y,33.6311729,-86.972087,false
MLS Listing,Single Family Residential,733 8th Ave SW,Graysville,AL,35073,129900,3,2.0,Sherwood Hills,,37026,1979,2,Garage,33,Active,,,,,129900,,,http://www.redfin.com/AL/Graysville/733-8th-Ave-SW-35073/home/80889818,Greater Alabama MLS,741197,RealtySouth-Over the Mtn,N,Y,33.619064,-86.984202,false
MLS Listing,Mobile/Manufactured Home,3700 Cherry Ave N,Birmingham,AL,35214,79900,4,2.0,,,10018,2005,0,,97,Active,,,,2016-01-19,89900,2015-11-09,20150.0,http://www.redfin.com/AL/Birmingham/3700-Cherry-Ave-35214/home/80888904,Greater Alabama MLS,736086,"Canterbury Realty Group, LLC",N,Y,33.6182723,-86.9251527,false
MLS Listing,Single Family Residential,5 NE 1st St NE,Graysville,AL,35073,29900,3,1.0,Graysville,,87,1950,1,Garage,145,Active,,,,2016-02-25,34900,,,http://www.redfin.com/AL/Graysville/5-1st-St-NE-35073/home/80888260,Greater Alabama MLS,724965,Keller Williams Realty Trussvi,N,Y,33.629596,-86.971442,false
MLS Listing,Single Family Residential,265 2nd Pl SW,Graysville,AL,35073,72000,2,1.0,,,11325,1950,1,Garage,22,Active,,,,,72000,,,http://www.redfin.com/AL/Graysville/265-2nd-Pl-SW-35073/home/80888210,Greater Alabama MLS,742149,RE/MAX First Choice,N,Y,33.627563,-86.975088,false

