SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,174 Deerwood Lake Dr Unit 7 & 7A,Harpersville,AL,35078,75000,,,Deerwood Lake,,77754,,0,,145,Active,,,,,75000,,,http://www.redfin.com/AL/Harpersville/174-Deerwood-Lake-Dr-35078/unit-7-7A/home/101764380,Greater Alabama MLS,632720,"Boothby Realty, Inc.",N,Y,33.3704251,-86.4781433,false
MLS Listing,Single Family Residential,45 Mulberry Ln,Harpersville,AL,35078,119500,4,2.0,,,21780,1978,0,,112,Active,,,,,119500,2005-08-11,90000.0,http://www.redfin.com/AL/Harpersville/45-Mulberry-Ln-35078/home/80755648,Greater Alabama MLS,735099,Realty 2000,N,Y,33.32002,-86.413775,false
MLS Listing,Vacant Land,130 Farmingdale Dr #18,Harpersville,AL,35078,27000,,,Farmingdale Estates,,19122,,0,,145,Active,,,,,27000,,,http://www.redfin.com/AL/Harpersville/130-Farmingdale-DR-35078/unit-18/home/101766446,Greater Alabama MLS,632366,Realty 2000,N,Y,33.337329,-86.4468459,false
MLS Listing,Vacant Land,1 Sun Valley Rd Unit 120 AC,Harpersville,AL,35078,732000,,,,,5227200,,0,,145,Active,,,,,732000,,,http://www.redfin.com/AL/Harpersville/1-Sun-Valley-Rd-35078/unit-120AC/home/101765879,Greater Alabama MLS,606182,"Ebsco Development Co., Inc.",N,Y,33.3375334,-86.4274738,false
MLS Listing,Vacant Land,No Address Provided,Harpersville,AL,35078,202125,,,,,1796850,,0,,145,Active,,,,2015-11-06,218625,,,http://www.redfin.com/AL/Harpersville/Unknown-Unknown/unit-41-AC/home/101764773,Greater Alabama MLS,608817,Realty 2000,N,Y,33.3625298,-86.4562302,false
MLS Listing,Vacant Land,Dead Hollow Rd #0,Vincent,AL,35078,100000,,,,,871200,,0,,145,Active,,,,,100000,,,http://www.redfin.com/AL/Harpersville/0-Dead-Hollow-RD-N-35078/unit-0/home/101762450,Greater Alabama MLS,632381,ARC Realty,N,Y,33.3347708,-86.453475,false
MLS Listing,Ranch,1403 Glaze Ferry Rd,Harpersville,AL,35078,469900,4,3.0,,,1877871,2012,1,,79,Active,,,,,469900,,,http://www.redfin.com/AL/Harpersville/1403-Glaze-Ferry-RD-35078/home/80763304,Greater Alabama MLS,630065,Adair Land Company,N,Y,33.3497223,-86.3995147,false
MLS Listing,Vacant Land,lot 55 Farmingdale Trc #55,Harpersville,AL,35078,18000,,,Harpersville/Sterrett/Vandiver/Vincent,,17859,,0,,76,Active,,,,,18000,,,http://www.redfin.com/AL/Harpersville/lot-55-Farmingdale-Trc-Unknown/unit-55/home/102546099,Greater Alabama MLS,737209,Down South Realty Inc,N,Y,33.3359627220839,-86.4451532661915,false
MLS Listing,Vacant Land,lot 50 Farmingdale Trc #50,Harpersville,AL,35078,18000,,,Harpersville/Sterrett/Vandiver/Vincent,,21344,,0,,76,Active,,,,,18000,,,http://www.redfin.com/AL/Harpersville/lot-50-Farmingdale-Trc-Unknown/unit-50/home/102546145,Greater Alabama MLS,737212,Down South Realty Inc,N,Y,33.3375262857669,-86.4452411085367,false
MLS Listing,Vacant Land,lot 48 Farmingdale Trc #48,Harpersville,AL,35078,18000,,,Harpersville/Sterrett/Vandiver/Vincent,,18730,,0,,76,Active,,,,,18000,,,http://www.redfin.com/AL/Harpersville/lot-48-Farmingdale-Trc-Unknown/unit-48/home/102546197,Greater Alabama MLS,737222,Down South Realty Inc,N,Y,33.3382730441862,-86.4452954232694,false
MLS Listing,Vacant Land,lot 40 Farmingdale Trc #40,Harpersville,AL,35078,18000,,,Harpersville/Sterrett/Vandiver/Vincent,,17859,,0,,76,Active,,,,,18000,,,http://www.redfin.com/AL/Harpersville/lot-40-Farmingdale-Trc-Unknown/unit-40/home/102546146,Greater Alabama MLS,737216,Down South Realty Inc,N,Y,33.3364725219973,-86.4459217190743,false
MLS Listing,Vacant Land,lot 41 Farmingdale Trc #41,Harpersville,AL,35078,18000,,,Harpersville/Sterrett/Vandiver/Vincent,,17859,,0,,76,Active,,,,,18000,,,http://www.redfin.com/AL/Harpersville/lot-41-Farmingdale-Trc-Unknown/unit-41/home/102546193,Greater Alabama MLS,737217,Down South Realty Inc,N,Y,33.3368064113126,-86.4459136724473,false
MLS Listing,Vacant Land,lot 43 Farmingdale Trc #43,Harpersville,AL,35078,18000,,,Harpersville/Sterrett/Vandiver/Vincent,,17859,,0,,76,Active,,,,,18000,,,http://www.redfin.com/AL/Harpersville/lot-43-Farmingdale-Trc-Unknown/unit-43/home/102546195,Greater Alabama MLS,737219,Down South Realty Inc,N,Y,33.3373218084141,-86.4458922147752,false
MLS Listing,Single Family Residential,2125 Sun Valley Rd,Harpersville,AL,35078,156000,4,3.0,,,43560,1979,0,,145,Active,,,,,156000,,,http://www.redfin.com/AL/Harpersville/2125-Sun-Valley-Rd-35078/home/80722312,Greater Alabama MLS,613467,RE/MAX Southern Homes-280,N,Y,33.322528,-86.418477,false
MLS Listing,Single Family Residential,89 Deerwood Lake Dr,Harpersville,AL,35078,599000,3,2.5,Deerwood Lake,,86248,2000,4,Garage,145,Active,,,,,599000,,,http://www.redfin.com/AL/Harpersville/89-Deerwood-Lake-Dr-35078/home/101751392,Greater Alabama MLS,625478,RE/MAX Southern Homes-280,N,Y,33.367973,-86.4784896,false
MLS Listing,Vacant Land,0000 #0000,Harpersville,AL,35078,259000,,,Harpersville/Sterrett/Vandiver/Vincent,,1611720,,0,,145,Active,,,,,259000,,,http://www.redfin.com/AL/Harpersville/0-Highway-76-35078/unit-0000/home/101765302,Greater Alabama MLS,728170,RealtySouth-Inverness Office,N,Y,33.282891,-86.4499552,false
MLS Listing,Vacant Land,67 Creekside Dr #0,Harpersville,AL,35078,80000,,,Harpersville/Sterrett/Vandiver/Vincent,,435600,,0,,34,Active,,,,,80000,2015-06-26,60000.0,http://www.redfin.com/AL/Harpersville/67-Creekside-Dr-35078/unit-0/home/101767956,Greater Alabama MLS,741075,RealtySouth-Inverness Office,N,Y,33.343252,-86.475575,false
MLS Listing,Single Family Residential,1323 Farmingdale Rd,Harpersville,AL,35078,324900,5,3.0,Harpersville,,435600,1966,2,,107,Active,,,,2016-02-12,329900,,,http://www.redfin.com/AL/Harpersville/1323-Farmingdale-Rd-35078/home/80763268,Greater Alabama MLS,735438,RealtySouth-Inverness Office,N,Y,33.339907,-86.458172,false
