SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,0 E Mill Rd Unit 37 acres,Lineville,AL,36266,105000,,,,,1611720,,0,,30,Active,,,,,105000,,,http://www.redfin.com/AL/Lineville/0-Old-Mill-Rd-36266/unit-37-acres/home/103940007,Greater Alabama MLS,741450,"Mountain Streams Realty, Inc.",N,Y,33.2976354,-85.7576028,false
MLS Listing,Vacant Land,Youngs Mill Rd Unit 62 AC,Lineville,AL,36266,124000,,,,,2700720,,0,,145,Active,,,,,124000,,,http://www.redfin.com/AL/Lineville/Youngs-Mill-Rd-36266/unit-62-AC/home/101762745,Greater Alabama MLS,621420,SonUp Real Estate,N,Y,33.321274,-85.725248,false
MLS Listing,Vacant Land,Undisclosed,Lineville,AL,36266,130000,,,,,30491,,0,,145,Active,,,,2016-02-29,165000,,,http://www.redfin.com/AL/Lineville/Undisclosed-address-36266/home/101765042,Greater Alabama MLS,629819,Lake Wedowee Brokers,N,Y,33.3122736,-85.7525023,false
MLS Listing,Single Family Residential,19 Bobcat St,Lineville,AL,36266,73000,1,1.0,,,43560,2004,0,,145,Active,,,,2016-01-06,89900,2008-07-01,66000.0,http://www.redfin.com/AL/Lineville/19-Bobcat-St-36266/home/95191904,Greater Alabama MLS,722102,Southeastern Realty & Auction,N,Y,33.3444633483887,-85.7308578491211,false
MLS Listing,Single Family Residential,60 Hooton Ln,Lineville,AL,36266,54900,2,1.0,,,43560,1930,0,,35,Active,,,,,54900,,,http://www.redfin.com/AL/Lineville/60-Hooten-Ln-36266/home/103911821,Greater Alabama MLS,740992,SonUp Real Estate,N,Y,33.3017044067383,-85.7575378417969,false
MLS Listing,Single Family Residential,115 Gay Ave,Lineville,AL,36266,119000,3,2.0,,,13068,2003,2,,37,Active,,,,,119000,,,http://www.redfin.com/AL/Lineville/115-Gay-Ave-36266/home/103828009,Greater Alabama MLS,740737,"Cheaha Realty Services, LLC",N,Y,33.3091399,-85.752182,false
MLS Listing,Vacant Land,80 Acres Olive Branch Rd Unit 80 Acres,Lineville,AL,36266,400000,,,Clay County,,3484800,,0,,99,Active,,,,,400000,,,http://www.redfin.com/AL/Lineville/80-Acres-Olive-Branch-Rd-Unknown/unit-80-Acres/home/102268845,Greater Alabama MLS,735966,Keller Williams Realty Group,N,Y,33.3120617657817,-85.7943511009216,false
MLS Listing,Single Family Residential,60 Ivy Oak Dr,Lineville,AL,36266,154000,3,3.0,,,43560,2000,0,,145,Active,,,,,154000,,,http://www.redfin.com/AL/Lineville/60-Ivy-Oak-Dr-36266/home/101750914,Greater Alabama MLS,632813,"Cheaha Realty Services, LLC",N,Y,33.312561,-85.7158203,false
MLS Listing,Single Family Residential,3 Westshore Landing Dr (Unable to map),Lineville,AL,36266,580000,4,4.0,Westshore Landing,,31798,2009,3,Garage,145,Active,,,,,580000,,,http://www.redfin.com/AL/Lineville/3-Westshore-Landing-Dr-Unknown/home/101751143,Greater Alabama MLS,585800,Wedowee Lake & Lands Realty,N,Y,,,false
MLS Listing,Vacant Land,40 Acres Cooper Dr Unit 40 Acres,Lineville,AL,36266,46000,,,Clay County,,1742400,,0,,110,Active,,,,,46000,,,http://www.redfin.com/AL/Lineville/40-Acres-Cooper-Dr-36266/unit-40-Acres/home/102183852,Greater Alabama MLS,735276,Southeastern Realty & Auction,N,Y,33.3362173049677,-85.7566070556641,false
