SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,274 Colonial Ln,Odenville,AL,35120,169900,4,3.0,Plantation Pines,,39204,2004,2,Garage,91,Active,,,,,169900,,,http://www.redfin.com/AL/Odenville/274-Colonial-Ln-35120/home/80637591,Greater Alabama MLS,736415,RE/MAX Hometown Properties,N,Y,33.69187,-86.428454,false
MLS Listing,Vacant Land,6985 Old Acton Rd #1037,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,23958,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/6985-Old-Acton-Rd-35120/unit-1037/home/101763851,Greater Alabama MLS,619952,RE/MAX Realty Brokers,N,Y,33.6479855,-86.4953204,false
MLS Listing,Vacant Land,40 Euclid Trc #31,Odenville,AL,35120,19900,,,Alla Don,,43560,,0,,145,Active,,,,2015-12-22,22900,,,http://www.redfin.com/AL/Odenville/40-Euclid-TRCE-35120/unit-31/home/101765696,Greater Alabama MLS,624880,Lovejoy Realty,N,Y,33.6499785,-86.4673516,false
MLS Listing,Vacant Land,7155 Old Acton Rd #1024,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,20908,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/7155-Old-Acton-Rd-35120/unit-1024/home/101763639,Greater Alabama MLS,619961,RE/MAX Realty Brokers,N,Y,33.6563835,-86.4905167,false
MLS Listing,Vacant Land,7045 Old Acton Rd #1031,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,26571,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/7045-Old-Acton-Rd-35120/unit-1031/home/101763640,Greater Alabama MLS,619964,RE/MAX Realty Brokers,N,Y,33.6535028,-86.4917075,false
MLS Listing,Vacant Land,7025 Old Acton Rd #1033,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,22215,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/7025-Old-Acton-Rd-35120/unit-1033/home/101763641,Greater Alabama MLS,619965,RE/MAX Realty Brokers,N,Y,33.6528752,-86.4921045,false
MLS Listing,Vacant Land,7015 Old Acton Rd #1034,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,21344,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/7015-Old-Acton-Rd-35120/unit-1034/home/101763642,Greater Alabama MLS,619966,RE/MAX Realty Brokers,N,Y,33.6525614,-86.4923029,false
MLS Listing,Vacant Land,7035 Old Acton Rd #1032,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,23958,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/7035-Old-Acton-Rd-35120/unit-1032/home/101763852,Greater Alabama MLS,619957,RE/MAX Realty Brokers,N,Y,33.653189,-86.491906,false
MLS Listing,Vacant Land,7235 Old Acton Rd #1016,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,23086,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/7235-Old-Acton-Rd-35120/unit-1016/home/101763853,Greater Alabama MLS,619958,RE/MAX Realty Brokers,N,Y,33.6594252,-86.4878941,false
MLS Listing,Vacant Land,7195 Old Acton Rd #1020,Odenville,AL,35120,8900,,,The Terrace At Woodland Ridge,,20473,,0,,145,Active,,,,,8900,,,http://www.redfin.com/AL/Odenville/7195-Old-Acton-Rd-35120/unit-1020/home/101763854,Greater Alabama MLS,619959,RE/MAX Realty Brokers,N,Y,33.6582369,-86.4888261,false
MLS Listing,Single Family Residential,200 Brookside Ln,Odenville,AL,35120,159900,3,2.0,Hunters Crossing,,21344,2005,2,Garage,145,Active,,,,,159900,,,http://www.redfin.com/AL/Odenville/200-Brookside-Ln-35120/home/80637605,Greater Alabama MLS,731374,Kell Realty,N,Y,33.684835,-86.434628,false
