SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,5229 Vintage Way,Mccalla,AL,35111,259990,4,2.5,Vintage Trace,,130,2001,2,Garage,22,Active,,,,,259990,2004-04-02,256850.0,http://www.redfin.com/AL/McCalla/5229-Vintage-Way-35111/home/80819850,Greater Alabama MLS,742196,RE/MAX Advantage,N,Y,33.316655,-87.010013,false
MLS Listing,Single Family Residential,4672 Clubview Dr,Mccalla,AL,35022,164900,3,2.0,Letson Farms,,,2002,2,Garage,27,Active,,,,,164900,2002-01-22,137714.0,http://www.redfin.com/AL/Bessemer/4672-Clubview-Dr-35022/home/80815284,Greater Alabama MLS,741699,Brik Realty,N,Y,33.326824,-86.9933439,false
MLS Listing,Single Family Residential,6151 N Clubview Cir,Bessemer,AL,35022,159900,3,2.0,Letson Farms,,6098,2005,2,Garage,26,Active,,,,,159900,2005-08-09,164205.0,http://www.redfin.com/AL/Bessemer/6151-N-Clubview-Cir-35022/home/80827838,Greater Alabama MLS,741874,RE/MAX Advantage,N,Y,33.329012,-86.991165,false
MLS Listing,Single Family Residential,5613 Cedar Creek Park Dr,Bessemer,AL,35022,213800,3,2.0,Cedar Creek,,11325,2016,2,Garage,75,Active,,,,,213800,,,http://www.redfin.com/AL/Bessemer/5613-S-Park-Dr-35022/home/102591295,Greater Alabama MLS,737354,RealtySouth-Huntsville-BHM,N,Y,33.3493194580078,-87.0033798217773,false
MLS Listing,Single Family Residential,5862 Plantation Pine Dr,Mccalla,AL,35111,179900,3,2.5,Plantation Pines,,21780,1996,2,Garage,145,Active,,,,2016-02-25,189000,,,http://www.redfin.com/AL/McCalla/5862-Plantation-Pine-Dr-35111/home/80807187,Greater Alabama MLS,732032,RealtySouth-I459 Southwest,N,Y,33.3222,-87.038569,false
MLS Listing,Single Family Residential,100 Quinncrest Rd,Bessemer,AL,35022,135000,3,2.0,Roberts,,17816,1947,2,,50,Active,,,,,135000,,,http://www.redfin.com/AL/Bessemer/100-Quinncrest-Rd-35022/home/81021577,Greater Alabama MLS,739593,LAH - Hoover Branch,N,Y,33.359637,-86.9939179,false
MLS Listing,Single Family Residential,437 Surrey Cir,Bessemer,AL,35022,136900,3,2.5,Carriage Hill,,9147,1999,2,Garage,23,Active,,,,,136900,,,http://www.redfin.com/AL/Bessemer/437-Surrey-Cir-35022/home/80812939,Greater Alabama MLS,742078,Advanced Realty,N,Y,33.351748,-87.001731,false
MLS Listing,Single Family Residential,113 Westwood Dr SW,Bessemer,AL,35022,189900,3,2.0,Pine Crest,,37026,1972,3,Garage,23,Active,,,,,189900,,,http://www.redfin.com/AL/Bessemer/113-Westwood-Dr-SW-35022/home/81021543,Greater Alabama MLS,742135,RE/MAX Advantage,N,Y,33.360875,-86.994791,false
MLS Listing,Single Family Residential,712 Belview St,Bessemer,AL,35020,117900,3,2.0,Tenn Land Co Eastern Val,,1089,1960,0,,28,Active,,,,,117900,,,http://www.redfin.com/AL/Bessemer/712-Belview-St-35020/home/81017841,Greater Alabama MLS,741624,RE/MAX First Choice,N,Y,33.367031,-86.970343,false
MLS Listing,Single Family Residential,5105 Overlook Cir,Bessemer,AL,35022,215000,4,2.5,Letson Farms,,8712,2004,2,Garage,22,Active,,,,,215000,2004-07-07,208369.0,http://www.redfin.com/AL/Bessemer/5105-Overlook-Cir-35022/home/80824920,Greater Alabama MLS,742215,RealtySouth-Northern Office,N,Y,33.324802,-86.996202,false
MLS Listing,Single Family Residential,5948 Ridgeline Dr,Bessemer,AL,35022,179900,3,2.5,Rosser Farms,,43,2009,1,Garage,42,Active,,,,2016-03-01,184900,,,http://www.redfin.com/AL/Bessemer/5948-Ridgeline-Dr-35022/home/80833759,Greater Alabama MLS,740410,Ingram Moore Realty,N,Y,33.3343149,-86.982659,false
MLS Listing,Single Family Residential,4282 Candle Brook Ln,Bessemer,AL,35022,109000,3,2.0,Candle Brook Downs,,10018,1999,0,,22,Active,,,,,109000,2015-11-25,49999.0,http://www.redfin.com/AL/Bessemer/4282-Candle-Brook-Ln-35022/home/81043101,Greater Alabama MLS,742262,"Trading Earth, Inc.",N,Y,33.354528,-86.976389,false
MLS Listing,Single Family Residential,6357 Letson Farm Trl,Mccalla,AL,35111,207900,4,2.5,Letson Farms,,1089,2005,2,Garage,21,Active,,,,,207900,,,http://www.redfin.com/AL/McCalla/6357-Letson-Farm-Trl-35111/home/103994585,Greater Alabama MLS,742297,Essential Properties and Int,N,Y,33.3200911,-86.9985137,false
MLS Listing,Single Family Residential,222 Alabama St,Bessemer,AL,35020,64900,3,2.0,Jonesboro,,21780,1930,3,Garage,27,Active,,,,,64900,2006-05-10,64000.0,http://www.redfin.com/AL/Bessemer/222-Alabama-St-35020/home/81016773,Greater Alabama MLS,741687,RealtySouth-I459 Southwest,N,Y,33.379761,-86.9611,false
MLS Listing,Single Family Residential,805 Hall Ave,Bessemer,AL,35020,26500,3,1.0,Bessemer,,5662,1950,0,,23,Active,,,,,26500,1992-04-01,36637.0,http://www.redfin.com/AL/Bessemer/805-Hall-Ave-35020/home/81014944,Greater Alabama MLS,742029,OWNERS.COM,N,Y,33.387958,-86.9583169,false
MLS Listing,Single Family Residential,800 Woodridge Rd,Bessemer,AL,35022,209900,3,3.0,Woodland Hills,,16988,1963,2,Garage,22,Active,,,,,209900,2006-11-16,171000.0,http://www.redfin.com/AL/Bessemer/800-Woodridge-Rd-35022/home/81017499,Greater Alabama MLS,742233,Lucas and Associates,N,Y,33.374754,-86.9867079,false
MLS Listing,Single Family Residential,214 9th St S,Bessemer,AL,35020,73900,4,2.0,Tenn Land Co Eastern Val,,20037,1930,0,,76,Active,,,,,73900,2013-12-16,30000.0,http://www.redfin.com/AL/Bessemer/214-9th-St-S-35020/home/81015499,Greater Alabama MLS,737264,Prime Investment Brokers,N,Y,33.387851,-86.956136,false
MLS Listing,Single Family Residential,113 Quinncrest Dr #1,Bessemer,AL,35022,199000,3,3.0,,,36154,2015,2,Garage,145,Active,,,,,199000,,,http://www.redfin.com/AL/Bessemer/113-Quinncrest-Rd-35022/unit-1/home/101748855,Greater Alabama MLS,570987,RealtySouth-I459 Southwest,N,Y,33.360423,-86.992743,false
MLS Listing,Single Family Residential,122 Bannerman Rd,Bessemer,AL,35022,69900,3,1.0,,,15245,1963,0,,145,Active,,,,,69900,,,http://www.redfin.com/AL/Bessemer/122-Bannerman-Rd-SW-35022/home/81019488,Greater Alabama MLS,591478,Bob Watkins Realty,N,Y,33.344983,-86.992039,false
MLS Listing,Single Family Residential,5446 Cedar Creek Dr,Bessemer,AL,35022,258550,4,3.0,Cedar Creek,,10018,2016,2,Garage,75,Active,,,,,258550,,,http://www.redfin.com/AL/Bessemer/5446-Cedar-Creek-Dr-35022/home/102590422,Greater Alabama MLS,737347,RealtySouth-Huntsville-BHM,N,Y,33.346575,-87.003098,false
MLS Listing,Single Family Residential,5418 Cedar Creek Dr,Bessemer,AL,35022,262050,5,3.0,Cedar Creek,,10890,2016,2,Garage,75,Active,,,,,262050,,,http://www.redfin.com/AL/Bessemer/5418-Cedar-Creek-Dr-35022/home/80839920,Greater Alabama MLS,737349,RealtySouth-Huntsville-BHM,N,Y,33.346322,-87.001254,false
MLS Listing,Single Family Residential,5286 Cedar Creek Ln,Bessemer,AL,35022,290150,5,4.0,Cedar Creek,,10454,2016,2,Garage,75,Active,,,,,290150,,,http://www.redfin.com/AL/Bessemer/5286-Cedar-Creek-Ln-35022/home/102589126,Greater Alabama MLS,737345,RealtySouth-Huntsville-BHM,N,Y,33.347667,-87.003489,false
MLS Listing,Single Family Residential,6655 Newbridge Dr,Mccalla,AL,35022,223070,4,2.5,Mccalla Trace,,,2016,2,Garage,65,Active,,,,2016-01-21,220645,,,http://www.redfin.com/AL/Bessemer/6655-Newbridge-Dr-35022/home/102876706,Greater Alabama MLS,738150,D R Horton Homes,N,Y,33.3485984802246,-87.0141983032227,false
MLS Listing,Single Family Residential,6280 Clubview Cir S,Bessemer,AL,35022,152000,3,2.0,Letson Farms,,43,2004,1,Garage,72,Active,,,,2016-02-19,157000,,,http://www.redfin.com/AL/Bessemer/6280-S-Clubview-Cir-35022/home/80824678,Greater Alabama MLS,737625,LAH - Hoover Branch,N,Y,33.327225,-86.988946,false
MLS Listing,Single Family Residential,6178 Clubview Cir N,Bessemer,AL,35022,164999,3,2.0,Letson Farms,,6098,2003,4,Garage,78,Active,,,,2016-02-23,174900,,,http://www.redfin.com/AL/Bessemer/6178-N-Clubview-Cir-35022/home/80822040,Greater Alabama MLS,737027,RE/MAX Southern Homes-280,N,Y,33.327953,-86.9911939,false
MLS Listing,Single Family Residential,5084 Rosser Farms Dr,Mccalla,AL,35022,224900,3,2.5,Rosser Farms,,871,2012,2,Garage,31,Active,,,,,224900,2012-07-02,29000.0,http://www.redfin.com/AL/Bessemer/5084-Rosser-Farms-Pkwy-35022/home/80841013,Greater Alabama MLS,741373,"Ingram & Associates, LLC",N,Y,33.342388,-86.984089,false
MLS Listing,Single Family Residential,5234 Meadow Ridge Trl,Bessemer,AL,35022,234900,4,3.0,Rosser Farms,,7405,2015,2,Garage,145,Active,,,,,234900,,,http://www.redfin.com/AL/Bessemer/5234-Meadow-Ridge-Trl-35022/unit-339/home/101748911,Greater Alabama MLS,722530,"Ingram & Associates, LLC",N,Y,33.343046,-86.982801,false
