Veterans Memorial Stadium,30000,Troy,Alabama,1950,Football,Troy Trojans
Alabama State stadium,30000,Montgomery,Alabama,2012,Football,Alabama State Hornets
Louis Crews Stadium,21000,Huntsville,Alabama,1996,Football,Alabama A&M Bulldogs
Legion Field,71594,Birmingham,Alabama,1926,Football,"UAB Blazers, BBVA Compass Bowl"
Ladd Peebles Stadium,40646,Mobile,Alabama,1948,Football,"South Alabama Jaguars, Senior Bowl andGoDaddy.com Bowl"
Jordan-Hare Stadium[14],87451,Auburn,Alabama,1939,Football,Auburn Tigers
Cramton Bowl,24600,Montgomery,Alabama,1922,Football,Alabama State Hornets
Bryant-Denny Stadium[6],101821,Tuscaloosa,Alabama,1929,Football,Alabama Crimson Tide
University of Phoenix Stadium,63400,Glendale,Arizona,2006,Football,Arizona Cardinals and Fiesta Bowl
Sun Devil Stadium,73378,Tempe,Arizona,1958,Football,Arizona State Sun Devils
Chase Field[23],49033,Phoenix,Arizona,1998,Baseball,Arizona Diamondbacks
Arizona Stadium,57803,Tucson,Arizona,1928,Football,Arizona Wildcats
War Memorial Stadium,53727,Little Rock,Arkansas,1948,Football,Arkansas Razorbacks (secondary to Razorback Stadium)
ASU Stadium,30964,Jonesboro,Arkansas,1974,Football,Arkansas State Red Wolves
StubHub Center,27000,Carson,California,2003,Soccer,Los Angeles Galaxy
Stanford Stadium,50000,Stanford,California,1921;2006,Football,Stanford Cardinal
Spartan Stadium,30456,San Jose,California,1933,Football,San Jose State Spartans
Rose Bowl,92542,Pasadena,California,1922,Football,"UCLA Bruins, the annual Rose Bowl Game"
Qualcomm Stadium,71294,San Diego,California,1967,Multi-purpose,"San Diego Chargers, San Diego State Aztecs, Holiday Bowl, Poinsettia Bowl"
O.co Coliseum,63026,Oakland,California,1966,Multi-purpose,"Oakland Raiders, Oakland Athletics"
Los Angeles Memorial Coliseum,93607,Los Angeles,California,1923,Football,"USC Trojans,Los Angeles Rams"
Levi's Stadium,68500,Santa Clara,California,2014,Football,"San Francisco 49ers, San Jose Earthquakes"
Hughes Stadium,20311,Sacramento,California,1928,Multi-purpose,Various sporting events
Hornet Stadium,21650,Sacramento,California,1969,Football,Sacramento State Hornets
Dodger Stadium[18],56000,Los Angeles,California,1962,Baseball,Los Angeles Dodgers
Candlestick Park,70207,San Francisco,California,1960,Multi-purpose,no home team
California Memorial Stadium,62717,Berkeley,California,1923,Football,California Golden Bears
Bulldog Stadium,41031,Fresno,California,1980,Football,Fresno State Bulldogs
AT T Park,41503,San Francisco,California,2000,Baseball,"San Francisco Giants, Fight Hunger Bowl"
Angel Stadium of Anaheim[27],45050,Anaheim,California,1966,Baseball,Los Angeles Angels of Anaheim
Sonny Lubick Field at Hughes Stadium,34400,Fort Collins,Colorado,1968,Football,Colorado State Rams
Mile High Stadium,76125,Denver,Colorado,2001,Football,Denver Broncos
Folsom Field,53750,Boulder,Colorado,1924,Football,Colorado Buffaloes
Falcon Stadium,52480,Colorado Springs,Colorado,1962,Football,Air Force Falcons
Coors Field[19],50445,Denver,Colorado,1995,Baseball,Colorado Rockies
Yale Bowl,64269,New Haven,Connecticut,1914,Football,Yale Bulldogs
Rentschler Field,40000,East Hartford,Connecticut,2003,Football,"Connecticut Huskies, Hartford Colonials"
Delaware Stadium,22000,Newark,Delaware,1952,Football,Delaware Fightin' Blue Hens
RFK Stadium,56692,"Washington, D.C.",District of Columbia,1961,Multi-purpose,"D.C. United, Military Bowl"
Nationals Park[32],41888,"Washington, D.C.",District of Columbia,2008,Baseball,Washington Nationals
Tropicana Field[46],36973,St. Petersburg,Florida,1990,Baseball,"Tampa Bay Rays, Beef 'O' Brady's Bowl"
The Florida Citrus Bowl,70000,Orlando,Florida,1936,Football,"Orlando City SC, Jones Tigers, annual Florida Classic,Capital One Bowl, Champs Sports Bowl, and East-West Shrine Game"
Sun Life Stadium,65326,Miami Gardens,Florida,1987,Football,"Miami Dolphins, Miami Hurricanes, and annual Orange Bowl"
Raymond James Stadium,65857,Tampa,Florida,1998,Football,"Tampa Bay Buccaneers, Tampa Bay Buccaneers,South Florida Bulls, Outback Bowl"
Marlins Park[45],37000,Miami,Florida,2012,Baseball,Miami Marlins
Lockhart Stadium,20450,Fort Lauderdale,Florida,1959,Soccer,Fort Lauderdale Strikers
FIU Stadium,20000,Miami,Florida,1995,Football,"FIU Golden Panthers, Miami FC"
FAU Stadium,30000,Boca Raton,Florida,2011,Football,Florida Atlantic Owls
EverBank Field,76867,Jacksonville,Florida,1949;1995,Football,"Jacksonville Jaguars, Florida vs. Georgia Football Classic, Gator Bowl"
Bright House Networks Stadium,45301,Orlando,Florida,2007,Football,UCF Knights
Bragg Memorial Stadium,25500,Tallahassee,Florida,1957,Football,Florida A&M Rattlers
Bobby Bowden Field at Doak Campbell Stadium,82300,Tallahassee,Florida,1950,Football,Florida State Seminoles
Ben Hill Griffin Stadium[13],88548,Gainesville,Florida,1930,Football,Florida Gators
Turner Field[21],50096,Atlanta,Georgia,1996,Baseball,Atlanta Braves
Sanford Stadium[10],92746,Athens,Georgia,1929,Football,Georgia Bulldogs
Georgia Dome,71228,Atlanta,Georgia,1992,Football,"Atlanta Falcons,Georgia State Panthers,SEC Championship Game,Chick-fil-A Bowl"
Bobby Dodd Stadium at Historic Grant Field,55000,Atlanta,Georgia,1913,Football,Georgia Tech Yellow Jackets
Aloha Stadium,50000,Honolulu,Hawaii,1975,Football,"Hawaii Warriors, local high schools and Pro Bowl"
Bronco Stadium,37000,Boise,Idaho,1970,Football,"Boise State Broncos,Famous Idaho Potato Bowl"
Wrigley Field[35][36],41160,Chicago,Illinois,1914,Baseball,Chicago Cubs
U.S. Cellular Field[38],40615,Chicago,Illinois,1991,Baseball,Chicago White Sox
Toyota Park,20000,Bridgeview,Illinois,2006,Soccer,Chicago Fire Soccer Club
Soldier Field,61500,Chicago,Illinois,1924;2003,Football,Chicago Bears
Ryan Field,47130,Evanston,Illinois,1996,Football,Northwestern Wildcats
Memorial Stadium,62872,Champaign,Illinois,1923,Football,Illinois Fighting Illini
Brigham Field at Huskie Stadium,31000,DeKalb,Illinois,1965,Football,Northern Illinois Huskies
Ross-Ade Stadium,62500,West Lafayette,Indiana,1924,Football,Purdue Boilermakers
Notre Dame Stadium,80795,Notre Dame,Indiana,1930,Football,Notre Dame Fighting Irish
Memorial Stadium,53500,Bloomington,Indiana,1960,Football,Indiana Hoosiers
Lucas Oil Stadium,63000,Indianapolis,Indiana,2008,Football,Indianapolis Colts
John B. and June M. Scheumann Stadium,25400,Muncie,Indiana,1967,Football,Ball State Cardinals
Kinnick Stadium,70585,Iowa City,Iowa,1929,Football,Iowa Hawkeyes
Jack Trice Stadium,61500,Ames,Iowa,1975,Football,Iowa State Cyclones
University of Kansas Memorial Stadium,50071,Lawrence,Kansas,1921,Football,Kansas Jayhawks
Bill Snyder Family Football Stadium,52200,Manhattan,Kansas,1968,Football,Kansas State Wildcats
Roy Kidd Stadium,20000,Richmond,Kentucky,1969,Football,Eastern Kentucky Colonels
Papa John's Cardinal Stadium,56000,Louisville,Kentucky,1998,Football,Louisville Cardinals
Houchens Industries ? L. T. Smith Stadium at Jimmy Feix Field,22000,Bowling Green,Kentucky,1968,Football,Western Kentucky Hilltoppers
Commonwealth Stadium,67606,Lexington,Kentucky,1973,Football,Kentucky Wildcats
Tiger Stadium[5],102321,Baton Rouge,Louisiana,1924,Football,LSU Tigers
Mercedes-Benz Superdome,73370,New Orleans,Louisiana,1975,Football,"New Orleans Saints, Tulane Green Wave; also hosts annual Sugar Bowl, New Orleans Bowl, and Bayou Classic"
Malone Stadium,30427,Monroe,Louisiana,1978,Football,Louisiana Monroe Warhawks
Joe Aillet Stadium,30600,Ruston,Louisiana,1960,Football,Louisiana Tech Bulldogs
Independence Stadium,50832,Shreveport,Louisiana,1925,Football,"no home team, Independence Bowl"
Eddie Robinson Stadium,25600,Grambling,Louisiana,1983,Football,Grambling State Tigers
Cajun Field,31000,Lafayette,Louisiana,1971,Football,Louisiana-Lafayette Ragin' Cajuns
Benson Field at Yulman Stadium,30000,New Orleans,Louisiana,2014,Football,Tulane Green Wave
Ace W. Mumford Stadium,29000,Baton Rouge,Louisiana,1928,Football,Southern Jaguars
Oriole Park at Camden Yards[24],48876,Baltimore,Maryland,1992,Baseball,Baltimore Orioles
Navy-Marine Corps Memorial Stadium,34000,Annapolis,Maryland,1959,Football,"Navy Midshipmen, Chesapeake Bayhawks"
M T Bank Stadium,71008,Baltimore,Maryland,1998,Football,Baltimore Ravens
FedExField[15],82000,Landover,Maryland,1997,Football,Washington Redskins
Byrd Stadium,51500,College Park,Maryland,1950,Football,Maryland Terrapins
Harvard Stadium,30323,Allston,Massachusetts,1903,Football,"Harvard Crimson, Boston Cannons"
Gillette Stadium,68756,Foxborough,Massachusetts,2002,Football,"New England Revolution, New England Patriots, UMass Minutemen"
Fitton Field,23500,Worcester,Massachusetts,1924,Football,Holy Cross Crusaders
